1745420226.5386322 N:   54, t: 36792086, dt: 17133, ENC_DEG: 31.40, REF:  0.00, VEL_RAW: -1.28, VEL_AVG:  0.10, I: -7.90, D:  0.02, VEL_OUT: -16.62, MS_MPC: 27320.15, ax:  0.03, ay:  0.01, az:  0.99, gx: -0.06, gy: -0.70, gz: -0.00, OX:  0.01
1745420226.6290915 N:   55, t: 36811302, dt: 19216, ENC_DEG: 31.38, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.18, I: -8.07, D: -0.07, VEL_OUT: -18.65, MS_MPC: 27316.77, ax:  0.03, ay:  0.02, az:  0.99, gx: -0.06, gy: -0.70, gz: -0.12, OX:  0.00
1745420226.6639998 N:   56, t: 36831227, dt: 19925, ENC_DEG: 31.49, REF:  0.00, VEL_RAW:  5.51, VEL_AVG:  0.52, I: -8.59, D: -0.34, VEL_OUT: -25.83, MS_MPC: 27333.63, ax:  0.03, ay:  0.02, az:  0.98, gx:  0.18, gy: -0.89, gz: -0.18, OX:  0.03
1745420226.7786915 N:   57, t: 36851458, dt: 20231, ENC_DEG: 31.36, REF:  0.00, VEL_RAW: -6.52, VEL_AVG: -0.45, I: -9.04, D:  0.07, VEL_OUT: -21.82, MS_MPC: 27313.40, ax:  0.03, ay:  0.02, az:  0.98, gx:  0.43, gy: -1.19, gz: -0.18, OX:  0.03
1745420226.8385904 N:   58, t: 36871715, dt: 20257, ENC_DEG: 31.40, REF:  0.00, VEL_RAW:  2.17, VEL_AVG: -0.09, I: -9.12, D:  0.36, VEL_OUT: -15.48, MS_MPC: 27320.15, ax:  0.04, ay:  0.02, az:  0.98, gx:  0.79, gy: -1.25, gz: -0.37, OX:  0.03
1745420226.8445172 N:   59, t: 36896112, dt: 24397, ENC_DEG: 31.42, REF:  0.00, VEL_RAW:  0.90, VEL_AVG: -0.10, I: -9.23, D: -0.02, VEL_OUT: -19.69, MS_MPC: 27323.52, ax:  0.03, ay:  0.02, az:  0.98, gx:  1.28, gy: -1.56, gz: -0.67, OX:  0.00
1745420226.8505006 N:   62, t: 36957653, dt: 26270, ENC_DEG: 31.38, REF:  0.00, VEL_RAW: -1.67, VEL_AVG: -0.41, I: -9.94, D: -0.22, VEL_OUT: -26.18, MS_MPC: 27316.77, ax:  0.03, ay:  0.01, az:  1.00, gx:  1.53, gy: -1.86, gz: -1.53, OX: -0.07
1745420226.857482  N:   66, t: 37031955, dt: 20470, ENC_DEG: 31.40, REF:  0.00, VEL_RAW:  2.15, VEL_AVG:  0.07, I: -10.65, D:  0.15, VEL_OUT: -20.45, MS_MPC: 27320.15, ax:  0.03, ay:  0.01, az:  1.00, gx:  0.12, gy: -1.98, gz: -0.61, OX:  0.01
1745420226.8634653 N:   67, t: 37131110, dt: 99155, ENC_DEG: 31.38, REF:  0.00, VEL_RAW: -0.22, VEL_AVG:  0.14, I: -10.80, D: -0.08, VEL_OUT: -23.80, MS_MPC: 27316.77, ax:  0.02, ay:  0.01, az:  0.99, gx: -0.06, gy: -0.95, gz: -0.85, OX: -0.02
1745420226.9552588 N:   68, t: 37152668, dt: 21558, ENC_DEG: 31.38, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.32, I: -11.11, D: -0.17, VEL_OUT: -27.12, MS_MPC: 27316.77, ax:  0.02, ay:  0.01, az:  1.00, gx:  0.37, gy: -0.40, gz: -0.49, OX:  0.01
1745420226.9612405 N:   69, t: 37173653, dt: 20985, ENC_DEG: 31.40, REF:  0.00, VEL_RAW:  1.05, VEL_AVG:  0.31, I: -11.43, D:  0.00, VEL_OUT: -25.98, MS_MPC: 27320.15, ax:  0.02, ay:  0.01, az:  1.00, gx:  0.49, gy: -0.21, gz: -0.61, OX:  0.01
