1745420133.072453  N:   52, t: 27964808, dt: 20091, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -1.09, VEL_AVG: -0.12, I: -7.59, D: -0.09, VEL_OUT: -17.33, MS_MPC: 22029.90, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.24, gy:  0.18, gz:  0.31, OX: -0.01
1745420133.0784373 N:   54, t: 28084800, dt: 20112, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  1.09, VEL_AVG: -0.21, I: -7.92, D: -0.09, VEL_OUT: -18.81, MS_MPC: 22035.04, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.49, gy:  0.06, gz:  0.24, OX:  0.03
1745420133.1741807 N:   55, t: 28126706, dt: 41906, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  0.52, VEL_AVG: -0.10, I: -8.02, D:  0.11, VEL_OUT: -15.86, MS_MPC: 22040.17, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.67, gy: -0.12, gz: -0.18, OX:  0.00
1745420133.180165  N:   56, t: 28144021, dt: 17315, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.10, I: -8.12, D:  0.00, VEL_OUT: -17.20, MS_MPC: 22040.17, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.73, gy:  0.12, gz: -0.31, OX: -0.00
1745420133.1861491 N:   57, t: 28164065, dt: 20044, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.12, I: -8.23, D: -0.02, VEL_OUT: -17.86, MS_MPC: 22040.17, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.43, gy:  0.12, gz: -0.06, OX: -0.01
1745420133.2948585 N:   58, t: 28185048, dt: 20983, ENC_DEG:  4.48, REF:  0.00, VEL_RAW: -5.24, VEL_AVG: -0.33, I: -8.56, D: -0.21, VEL_OUT: -22.54, MS_MPC: 22014.50, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.37, gy:  0.12, gz: -0.12, OX: -0.01
1745420133.3527021 N:   60, t: 28229527, dt: 26226, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  0.84, VEL_AVG:  0.41, I: -9.15, D: -0.23, VEL_OUT: -24.62, MS_MPC: 22035.04, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.06, gz:  0.61, OX:  0.05
1745420133.3586855 N:   61, t: 28244569, dt: 15042, ENC_DEG:  4.53, REF:  0.00, VEL_RAW: -2.92, VEL_AVG: -0.13, I: -9.28, D:  0.28, VEL_OUT: -17.03, MS_MPC: 22024.77, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.06, gy:  0.18, gz:  0.31, OX:  0.02
1745420133.3646693 N:   62, t: 28263771, dt: 19202, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  3.43, VEL_AVG:  0.24, I: -9.51, D: -0.11, VEL_OUT: -22.46, MS_MPC: 22040.17, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.18, gy:  0.12, gz:  0.31, OX: -0.01
1745420133.370655  N:   66, t: 28343334, dt: 19075, ENC_DEG:  4.51, REF:  0.00, VEL_RAW: -2.30, VEL_AVG: -0.29, I: -10.00, D: -0.28, VEL_OUT: -25.70, MS_MPC: 22019.63, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.00, gy: -0.06, gz:  0.37, OX: -0.02
1745420133.3776484 N:   69, t: 28404855, dt: 19128, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  1.15, VEL_AVG:  0.02, I: -10.25, D:  0.05, VEL_OUT: -20.26, MS_MPC: 22040.17, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.24, gy: -0.18, gz: -0.12, OX: -0.00
1745420133.4750373 N:   70, t: 28426499, dt: 21644, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -1.02, VEL_AVG:  0.38, I: -10.63, D: -0.35, VEL_OUT: -28.53, MS_MPC: 22035.04, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.12, gy: -0.37, gz: -0.06, OX:  0.01
1745420133.4810188 N:   71, t: 28444807, dt: 18308, ENC_DEG:  4.51, REF:  0.00, VEL_RAW: -3.60, VEL_AVG: -0.23, I: -10.85, D:  0.15, VEL_OUT: -22.46, MS_MPC: 22019.63, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.00, gy: -0.37, gz:  0.00, OX: -0.00
1745420133.486996  N:   72, t: 28463680, dt: 18873, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  3.49, VEL_AVG: -0.00, I: -10.86, D:  0.22, VEL_OUT: -19.55, MS_MPC: 22035.04, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.37, gz:  0.06, OX:  0.00
1745420133.5917463 N:   73, t: 28483810, dt: 20130, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -1.09, VEL_AVG:  0.15, I: -11.01, D: -0.14, VEL_OUT: -24.93, MS_MPC: 22029.90, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy: -0.31, gz: -0.24, OX: -0.02
1745420133.598696  N:   75, t: 28527294, dt: 17168, ENC_DEG:  4.53, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.12, I: -11.33, D:  0.09, VEL_OUT: -22.91, MS_MPC: 22024.77, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.18, gy: -0.18, gz: -0.12, OX: -0.00
1745420133.6575398 N:   76, t: 28549370, dt: 22076, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  1.00, VEL_AVG:  0.11, I: -11.44, D:  0.00, VEL_OUT: -23.96, MS_MPC: 22029.90, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.43, gy: -0.24, gz: -0.24, OX: -0.00
1745420133.7143874 N:   77, t: 28564719, dt: 15349, ENC_DEG:  4.53, REF:  0.00, VEL_RAW: -1.43, VEL_AVG: -0.13, I: -11.57, D: -0.02, VEL_OUT: -24.58, MS_MPC: 22024.77, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.37, gy: -0.31, gz: -0.18, OX: -0.00
1745420133.7203712 N:   80, t: 28624316, dt: 17053, ENC_DEG:  4.53, REF:  0.00, VEL_RAW: -1.29, VEL_AVG: -0.23, I: -11.86, D: -0.19, VEL_OUT: -27.95, MS_MPC: 22024.77, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.00, gz: -0.18, OX: -0.00
1745420133.7263548 N:   81, t: 28664225, dt: 39909, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  1.10, VEL_AVG: -0.23, I: -12.09, D: -0.00, VEL_OUT: -26.56, MS_MPC: 22035.04, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.31, gy:  0.00, gz: -0.24, OX: -0.02
1745420133.7323525 N:   83, t: 28708546, dt: 24192, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  0.91, VEL_AVG:  0.14, I: -12.47, D:  0.10, VEL_OUT: -25.27, MS_MPC: 22035.04, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.12, gy:  0.12, gz: -0.37, OX:  0.02
1745420133.773239  N:   86, t: 28764076, dt: 19103, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -1.15, VEL_AVG: -0.05, I: -12.79, D: -0.03, VEL_OUT: -26.38, MS_MPC: 22029.90, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.18, gy: -0.18, gz: -0.55, OX: -0.01
1745420133.778242  N:   87, t: 28783919, dt: 19843, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  1.11, VEL_AVG:  0.04, I: -12.83, D:  0.01, VEL_OUT: -25.90, MS_MPC: 22035.04, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.43, gy: -0.43, gz: -0.67, OX: -0.04
1745420133.7851994 N:   88, t: 28803452, dt: 19533, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -1.12, VEL_AVG: -0.14, I: -12.97, D: -0.10, VEL_OUT: -28.30, MS_MPC: 22029.90, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.24, gy: -0.31, gz: -0.43, OX: -0.02
1745420133.8330734 N:   89, t: 28826302, dt: 22850, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.02, I: -12.99, D:  0.12, VEL_OUT: -24.96, MS_MPC: 22029.90, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.18, gy: -0.18, gz: -0.43, OX: -0.02
1745420133.8390622 N:   90, t: 28843370, dt: 17068, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  1.29, VEL_AVG:  0.18, I: -13.16, D: -0.16, VEL_OUT: -29.73, MS_MPC: 22035.04, ax:  0.00, ay: -0.01, az:  1.01, gx: -0.12, gy: -0.43, gz: -0.37, OX:  0.00
1745420133.845042  N:   91, t: 28864706, dt: 21336, ENC_DEG:  4.53, REF:  0.00, VEL_RAW: -2.06, VEL_AVG: -0.16, I: -13.32, D:  0.02, VEL_OUT: -27.96, MS_MPC: 22024.77, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.31, gz: -0.06, OX:  0.01
1745420133.8520195 N:   92, t: 28883687, dt: 18981, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  1.16, VEL_AVG:  0.05, I: -13.37, D:  0.11, VEL_OUT: -26.14, MS_MPC: 22029.90, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.18, gy: -0.06, gz:  0.24, OX:  0.01
1745420133.9577503 N:   93, t: 28906023, dt: 22336, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.04, I: -13.41, D:  0.00, VEL_OUT: -27.22, MS_MPC: 22029.90, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.12, gy:  0.06, gz:  0.43, OX:  0.01
1745420133.96372   N:   94, t: 28925050, dt: 19027, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  1.15, VEL_AVG:  0.14, I: -13.56, D: -0.10, VEL_OUT: -29.54, MS_MPC: 22035.04, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.00, gz:  0.49, OX:  0.01
1745420133.969704  N:   95, t: 28943206, dt: 18156, ENC_DEG:  4.48, REF:  0.00, VEL_RAW: -4.84, VEL_AVG: -0.34, I: -13.89, D: -0.19, VEL_OUT: -33.06, MS_MPC: 22014.50, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.31, gy: -0.06, gz:  0.31, OX:  0.02
1745420133.9757004 N:   96, t: 28967454, dt: 24248, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  2.72, VEL_AVG: -0.02, I: -13.92, D:  0.31, VEL_OUT: -24.95, MS_MPC: 22029.90, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.49, gy:  0.06, gz:  0.31, OX: -0.01
1745420133.981674  N:   98, t: 29005026, dt: 19327, ENC_DEG:  4.51, REF:  0.00, VEL_RAW:  1.14, VEL_AVG: -0.26, I: -14.62, D:  0.19, VEL_OUT: -29.89, MS_MPC: 22019.63, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.73, gy: -0.06, gz:  0.00, OX: -0.03
1745420133.9877129 N:   99, t: 29023730, dt: 18704, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  2.35, VEL_AVG: -0.15, I: -14.77, D:  0.10, VEL_OUT: -30.03, MS_MPC: 22029.90, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.49, gy: -0.06, gz:  0.06, OX: -0.00
