1746087626.4523954 N:   48, t: 34148086, dt: 21000, ENC_DEG:  4.66, REF:  0.00, VEL_RAW: -2.09, VEL_AVG: -0.18, I: -6.01, D: -0.17, VEL_OUT: -15.51, MS_MPC: 22055.56, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.31, gy: -0.46, gz: -1.40, OX: -0.07
1746087626.4583771 N:   49, t: 34167303, dt: 19217, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  2.29, VEL_AVG:  0.02, I: -6.02, D:  0.16, VEL_OUT: -10.60, MS_MPC: 22065.81, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.55, gy: -0.52, gz: -1.46, OX: -0.03
1746087626.4643614 N:   50, t: 34187672, dt: 20369, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.10, I: -6.12, D: -0.09, VEL_OUT: -14.17, MS_MPC: 22065.81, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.73, gy: -0.27, gz: -0.79, OX:  0.01
1746087626.4703465 N:   54, t: 34267539, dt: 19023, ENC_DEG:  4.73, REF:  0.00, VEL_RAW:  3.46, VEL_AVG:  0.12, I: -6.67, D:  0.12, VEL_OUT: -13.34, MS_MPC: 22070.94, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.00, gy:  0.15, gz: -0.61, OX: -0.02
1746087626.567904  N:   55, t: 34327373, dt: 59834, ENC_DEG:  4.70, REF:  0.00, VEL_RAW: -0.37, VEL_AVG: -0.21, I: -6.88, D: -0.09, VEL_OUT: -16.73, MS_MPC: 22065.81, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.18, gy:  0.09, gz: -0.18, OX: -0.02
1746087626.573949  N:   56, t: 34352831, dt: 25458, ENC_DEG:  4.66, REF:  0.00, VEL_RAW: -1.73, VEL_AVG: -0.25, I: -7.13, D: -0.04, VEL_OUT: -17.22, MS_MPC: 22055.56, ax:  0.01, ay: -0.00, az:  0.99, gx: -0.24, gy:  0.21, gz: -0.06, OX:  0.03
1746087626.5799522 N:   57, t: 34373658, dt: 20827, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  2.11, VEL_AVG:  0.23, I: -7.36, D:  0.02, VEL_OUT: -16.80, MS_MPC: 22065.81, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.49, gy:  0.03, gz: -0.18, OX:  0.01
1746087626.585939  N:   58, t: 34389707, dt: 16049, ENC_DEG:  4.68, REF:  0.00, VEL_RAW: -1.37, VEL_AVG: -0.06, I: -7.42, D:  0.17, VEL_OUT: -13.70, MS_MPC: 22060.69, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.37, gy: -0.21, gz: -0.61, OX: -0.00
1746087626.5917394 N:   60, t: 34431079, dt: 22363, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  0.98, VEL_AVG:  0.20, I: -7.68, D: -0.14, VEL_OUT: -18.76, MS_MPC: 22065.81, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.43, gy:  0.03, gz:  0.06, OX:  0.00
1746087626.598081  N:   61, t: 34447621, dt: 16542, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.01, I: -7.69, D:  0.19, VEL_OUT: -13.55, MS_MPC: 22065.81, ax:  0.02, ay:  0.00, az:  1.00, gx: -0.37, gy:  0.09, gz:  0.12, OX:  0.04
1746087626.629966  N:   62, t: 34470609, dt: 22988, ENC_DEG:  4.66, REF:  0.00, VEL_RAW: -1.91, VEL_AVG: -0.15, I: -7.84, D: -0.14, VEL_OUT: -18.61, MS_MPC: 22055.56, ax:  0.02, ay:  0.00, az:  0.99, gx: -0.18, gy:  0.21, gz: -0.31, OX: -0.04
1746087626.690357  N:   63, t: 34488673, dt: 18064, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  2.43, VEL_AVG:  0.15, I: -7.98, D:  0.00, VEL_OUT: -17.38, MS_MPC: 22065.81, ax:  0.02, ay: -0.00, az:  0.99, gx:  0.24, gy: -0.27, gz: -0.73, OX: -0.02
1746087626.6963856 N:   64, t: 34508012, dt: 19339, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.07, I: -8.06, D:  0.07, VEL_OUT: -16.13, MS_MPC: 22065.81, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.40, gz: -0.92, OX: -0.02
1746087626.7023306 N:   65, t: 34528706, dt: 20694, ENC_DEG:  4.66, REF:  0.00, VEL_RAW: -2.12, VEL_AVG:  0.12, I: -8.18, D: -0.05, VEL_OUT: -18.11, MS_MPC: 22055.56, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.40, gz: -0.55, OX: -0.01
1746087626.7448392 N:   66, t: 34548003, dt: 19297, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  2.28, VEL_AVG:  0.03, I: -8.21, D:  0.10, VEL_OUT: -15.68, MS_MPC: 22065.81, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.12, gy: -0.21, gz: -0.12, OX:  0.08
