1746087364.0176919 N:   52, t: 34103680, dt: 20143, ENC_DEG: 20.04, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.21, I: -11.01, D: -0.01, VEL_OUT: -24.14, MS_MPC: 25345.64, ax:  0.01, ay: -0.01, az:  0.99, gx: -0.03, gy: -1.10, gz: -0.82, OX: -0.01
1746087364.1255033 N:   53, t: 34127436, dt: 23756, ENC_DEG: 20.02, REF:  0.00, VEL_RAW: -0.92, VEL_AVG:  0.03, I: -11.05, D:  0.17, VEL_OUT: -20.71, MS_MPC: 25341.40, ax:  0.01, ay: -0.00, az:  0.99, gx: -0.09, gy: -1.10, gz: -0.21, OX:  0.03
1746087364.1315088 N:   54, t: 34145461, dt: 18025, ENC_DEG: 20.02, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.03, I: -11.08, D:  0.00, VEL_OUT: -22.50, MS_MPC: 25341.40, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.27, gy: -1.22, gz: -0.58, OX: -0.02
1746087364.137452  N:   55, t: 34163467, dt: 18006, ENC_DEG: 19.93, REF:  0.00, VEL_RAW: -4.88, VEL_AVG: -0.28, I: -11.36, D: -0.25, VEL_OUT: -28.05, MS_MPC: 25324.46, ax: -0.00, ay: -0.01, az:  1.01, gx:  0.09, gy: -1.46, gz: -0.58, OX: -0.02
1746087364.1434731 N:   56, t: 34183748, dt: 20281, ENC_DEG: 20.02, REF:  0.00, VEL_RAW:  4.33, VEL_AVG: -0.19, I: -11.56, D:  0.09, VEL_OUT: -24.15, MS_MPC: 25341.40, ax: -0.00, ay: -0.01, az:  1.02, gx:  0.03, gy: -1.16, gz: -0.09, OX: -0.01
1746087364.1494186 N:   58, t: 34227091, dt: 24426, ENC_DEG: 20.02, REF:  0.00, VEL_RAW: -0.90, VEL_AVG: -0.16, I: -11.72, D: -0.16, VEL_OUT: -26.65, MS_MPC: 25341.40, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.15, gy:  0.06, gz:  1.86, OX:  0.06
1746087364.185618  N:   59, t: 34246517, dt: 19426, ENC_DEG: 20.04, REF:  0.00, VEL_RAW:  1.13, VEL_AVG:  0.28, I: -12.00, D: -0.12, VEL_OUT: -27.93, MS_MPC: 25345.64, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.34, gy: -0.06, gz:  1.56, OX: -0.01
1746087364.1915913 N:   60, t: 34265923, dt: 19406, ENC_DEG: 20.00, REF:  0.00, VEL_RAW: -2.26, VEL_AVG: -0.10, I: -12.11, D:  0.17, VEL_OUT: -23.53, MS_MPC: 25337.17, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.03, gy: -0.24, gz:  0.82, OX: -0.13
1746087364.1975715 N:   61, t: 34284389, dt: 18466, ENC_DEG: 20.00, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.01, I: -12.12, D:  0.09, VEL_OUT: -23.47, MS_MPC: 25337.17, ax: -0.00, ay: -0.01, az:  1.01, gx:  0.15, gy: -0.24, gz:  0.64, OX: -0.06
1746087364.2459857 N:   62, t: 34308921, dt: 24532, ENC_DEG: 20.04, REF:  0.00, VEL_RAW:  1.79, VEL_AVG:  0.04, I: -12.16, D: -0.03, VEL_OUT: -25.09, MS_MPC: 25345.64, ax: -0.00, ay: -0.00, az:  1.01, gx: -0.46, gy:  0.06, gz:  1.25, OX:  0.12
1746087364.3053036 N:   63, t: 34327844, dt: 18923, ENC_DEG: 20.02, REF:  0.00, VEL_RAW: -1.16, VEL_AVG: -0.05, I: -12.22, D: -0.01, VEL_OUT: -25.02, MS_MPC: 25341.40, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.89, gy:  0.18, gz:  1.37, OX:  0.15
