1746087990.112856  N:   56, t: 28809974, dt: 22651, ENC_DEG: 48.34, REF:  0.00, VEL_RAW: -1.94, VEL_AVG:  0.14, I: -24.92, D: -0.01, VEL_OUT: -51.30, MS_MPC: 29271.93, ax:  0.01, ay:  0.01, az:  1.01, gx: -0.03, gy: -0.09, gz: -0.21, OX: -0.00
1746087990.169648  N:   57, t: 28829959, dt: 19985, ENC_DEG: 48.32, REF:  0.00, VEL_RAW: -1.10, VEL_AVG:  0.24, I: -25.16, D: -0.10, VEL_OUT: -53.67, MS_MPC: 29270.39, ax:  0.01, ay:  0.01, az:  1.02, gx: -0.34, gy:  0.09, gz:  0.03, OX:  0.02
1746087990.1756327 N:   58, t: 28848025, dt: 18066, ENC_DEG: 48.36, REF:  0.00, VEL_RAW:  2.43, VEL_AVG:  0.27, I: -25.43, D: -0.04, VEL_OUT: -53.95, MS_MPC: 29273.47, ax:  0.02, ay:  0.01, az:  1.02, gx: -0.34, gy:  0.40, gz:  0.27, OX:  0.04
1746087990.181427  N:   59, t: 28868689, dt: 20664, ENC_DEG: 48.34, REF:  0.00, VEL_RAW: -1.06, VEL_AVG:  0.28, I: -25.71, D: -0.00, VEL_OUT: -54.22, MS_MPC: 29271.93, ax:  0.02, ay:  0.01, az:  1.01, gx: -0.46, gy:  0.58, gz:  0.70, OX:  0.05
1746087990.1884117 N:   60, t: 28889807, dt: 21118, ENC_DEG: 48.36, REF:  0.00, VEL_RAW:  1.04, VEL_AVG:  0.05, I: -25.76, D:  0.22, VEL_OUT: -49.84, MS_MPC: 29273.47, ax:  0.02, ay:  0.02, az:  1.00, gx: -0.46, gy:  0.82, gz:  1.13, OX:  0.06
1746087990.2339084 N:   62, t: 28928184, dt: 19177, ENC_DEG: 48.41, REF:  0.00, VEL_RAW:  1.15, VEL_AVG:  0.24, I: -26.07, D: -0.18, VEL_OUT: -56.42, MS_MPC: 29276.54, ax:  0.02, ay:  0.01, az:  0.99, gx: -0.21, gy:  0.70, gz:  1.01, OX:  0.01
1746087990.2388847 N:   63, t: 28947392, dt: 19208, ENC_DEG: 48.34, REF:  0.00, VEL_RAW: -3.43, VEL_AVG: -0.14, I: -26.20, D:  0.11, VEL_OUT: -52.71, MS_MPC: 29271.93, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.15, gy:  0.21, gz:  1.07, OX:  0.01
1746087990.245889  N:   64, t: 28968667, dt: 21275, ENC_DEG: 48.34, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.05, I: -26.25, D:  0.09, VEL_OUT: -52.14, MS_MPC: 29271.93, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.40, gy: -0.09, gz:  0.21, OX:  0.01
1746087990.2936275 N:   65, t: 28987197, dt: 18530, ENC_DEG: 48.36, REF:  0.00, VEL_RAW:  1.19, VEL_AVG: -0.05, I: -26.30, D:  0.00, VEL_OUT: -53.08, MS_MPC: 29273.47, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.46, gy: -0.15, gz: -0.27, OX:  0.02
1746087990.298844  N:   66, t: 29008503, dt: 21306, ENC_DEG: 48.34, REF:  0.00, VEL_RAW: -1.03, VEL_AVG: -0.13, I: -26.44, D: -0.09, VEL_OUT: -55.08, MS_MPC: 29271.93, ax:  0.02, ay:  0.02, az:  1.00, gx: -0.52, gy: -0.27, gz: -0.21, OX:  0.00
