1746087205.3101418 N:   40, t: 80271569, dt: 25374, ENC_DEG: 19.21, REF:  0.00, VEL_RAW: -2.60, VEL_AVG:  0.02, I: -6.46, D:  0.22, VEL_OUT: -10.94, MS_MPC: 25183.81, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.40, gy: -0.12, gz:  0.18, OX: -0.00
1746087205.363758  N:   41, t: 80288927, dt: 17358, ENC_DEG: 19.21, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.17, I: -6.63, D: -0.15, VEL_OUT: -16.43, MS_MPC: 25183.81, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.15, gy: -0.18, gz:  0.18, OX:  0.00
1746087205.3699849 N:   42, t: 80307813, dt: 18886, ENC_DEG: 19.23, REF:  0.00, VEL_RAW:  1.16, VEL_AVG:  0.18, I: -6.80, D: -0.01, VEL_OUT: -15.49, MS_MPC: 25188.09, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.03, gy:  0.06, gz:  0.00, OX:  0.00
1746087205.3769429 N:   43, t: 80326066, dt: 18253, ENC_DEG: 19.21, REF:  0.00, VEL_RAW: -1.20, VEL_AVG: -0.02, I: -6.83, D:  0.16, VEL_OUT: -12.32, MS_MPC: 25183.81, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.21, gy:  0.12, gz: -0.37, OX: -0.00
1746087205.38295   N:   44, t: 80345865, dt: 19799, ENC_DEG: 19.25, REF:  0.00, VEL_RAW:  2.22, VEL_AVG:  0.07, I: -6.90, D: -0.05, VEL_OUT: -15.02, MS_MPC: 25192.38, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.58, gy: -0.06, gz:  0.00, OX: -0.02
1746087205.423599  N:   45, t: 80371134, dt: 25269, ENC_DEG: 19.27, REF:  0.00, VEL_RAW:  0.87, VEL_AVG:  0.25, I: -7.15, D: -0.18, VEL_OUT: -18.52, MS_MPC: 25196.66, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.40, gy:  0.00, gz:  0.18, OX:  0.00
1746087205.4302506 N:   46, t: 80387154, dt: 16020, ENC_DEG: 19.16, REF:  0.00, VEL_RAW: -6.86, VEL_AVG: -0.23, I: -7.37, D:  0.02, VEL_OUT: -16.85, MS_MPC: 25175.23, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.40, gy:  0.06, gz:  0.37, OX:  0.03
1746087205.484863  N:   47, t: 80407049, dt: 19895, ENC_DEG: 19.21, REF:  0.00, VEL_RAW:  2.21, VEL_AVG:  0.15, I: -7.53, D:  0.07, VEL_OUT: -15.85, MS_MPC: 25183.81, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.40, gy:  0.12, gz:  0.12, OX:  0.02
1746087205.4908469 N:   48, t: 80426247, dt: 19198, ENC_DEG: 19.21, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.21, I: -7.74, D: -0.06, VEL_OUT: -18.24, MS_MPC: 25183.81, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.15, gy: -0.18, gz: -0.18, OX: -0.02
1746087205.4958322 N:   49, t: 80450681, dt: 24434, ENC_DEG: 19.23, REF:  0.00, VEL_RAW:  0.90, VEL_AVG: -0.07, I: -7.81, D:  0.15, VEL_OUT: -14.83, MS_MPC: 25188.09, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.03, gy: -0.12, gz:  0.06, OX: -0.00
