1746026983.4028141 N:   84, t: 77565816, dt: 18092, ENC_DEG:  4.59, REF:  0.00, VEL_RAW: -1.21, VEL_AVG:  0.42, I: -13.68, D: -0.35, VEL_OUT: -35.05, MS_MPC: 22040.17, ax: -0.01, ay: -0.00, az:  1.00, gx:  0.61, gy: -0.31, gz: -0.95, OX: -0.00
1746026983.4616733 N:   85, t: 77585131, dt: 19315, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -1.14, VEL_AVG:  0.02, I: -13.70, D:  0.39, VEL_OUT: -23.69, MS_MPC: 22035.04, ax: -0.01, ay: -0.01, az:  1.00, gx:  1.04, gy: -0.06, gz: -1.07, OX: -0.01
1746026983.4676406 N:   88, t: 77649146, dt: 24229, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  0.91, VEL_AVG:  0.18, I: -14.31, D: -0.10, VEL_OUT: -31.45, MS_MPC: 22040.17, ax:  0.00, ay: -0.01, az:  1.00, gx:  1.04, gy:  0.06, gz: -0.58, OX: -0.10
1746026983.4736242 N:   89, t: 77665757, dt: 16611, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  1.32, VEL_AVG:  0.09, I: -14.40, D:  0.09, VEL_OUT: -28.84, MS_MPC: 22045.30, ax:  0.00, ay: -0.01, az:  1.00, gx:  1.22, gy:  0.18, gz: -0.58, OX: -0.13
1746026983.4796069 N:   94, t: 77765251, dt: 15065, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  2.92, VEL_AVG: -0.10, I: -14.65, D: -0.07, VEL_OUT: -30.99, MS_MPC: 22045.30, ax: -0.03, ay: -0.01, az:  1.01, gx:  0.00, gy:  0.49, gz: -0.58, OX: -0.06
1746026983.4856074 N:   96, t: 77808732, dt: 22266, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  0.99, VEL_AVG:  0.08, I: -14.83, D:  0.02, VEL_OUT: -30.24, MS_MPC: 22040.17, ax: -0.01, ay: -0.02, az:  1.00, gx: -0.31, gy:  1.16, gz: -0.52, OX: -0.01
1746026983.491575  N:   97, t: 77844994, dt: 36262, ENC_DEG:  4.53, REF:  0.00, VEL_RAW: -1.82, VEL_AVG:  0.02, I: -14.86, D:  0.06, VEL_OUT: -29.38, MS_MPC: 22024.77, ax: -0.01, ay: -0.01, az:  1.00, gx: -0.49, gy:  0.06, gz: -0.82, OX:  0.07
1746026983.6381829 N:   98, t: 77865857, dt: 20863, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  2.11, VEL_AVG:  0.29, I: -15.14, D: -0.26, VEL_OUT: -35.81, MS_MPC: 22035.04, ax: -0.01, ay: -0.01, az:  1.00, gx: -0.24, gy: -0.12, gz: -1.19, OX:  0.03
1746026983.70102   N:   99, t: 77886138, dt: 20281, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -1.08, VEL_AVG:  0.10, I: -15.25, D:  0.19, VEL_OUT: -29.66, MS_MPC: 22029.90, ax: -0.01, ay: -0.01, az:  1.00, gx:  0.43, gy: -0.55, gz: -1.86, OX:  0.02
1746026983.7069983 N:  100, t: 77905128, dt: 18990, ENC_DEG:  4.48, REF:  0.00, VEL_RAW: -3.47, VEL_AVG: -0.26, I: -15.51, D: -0.16, VEL_OUT: -35.25, MS_MPC: 22014.50, ax: -0.01, ay: -0.00, az:  1.00, gx:  0.49, gy: -0.85, gz: -1.74, OX:  0.05
1746026983.7129843 N:  101, t: 77925262, dt: 20134, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  3.27, VEL_AVG: -0.10, I: -15.61, D:  0.16, VEL_OUT: -30.59, MS_MPC: 22029.90, ax: -0.02, ay:  0.00, az:  1.00, gx:  1.16, gy: -1.16, gz: -2.29, OX:  0.04
1746026983.718968  N:  104, t: 77989020, dt: 23226, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -2.84, VEL_AVG:  0.09, I: -16.60, D:  0.34, VEL_OUT: -30.64, MS_MPC: 22029.90, ax: -0.02, ay: -0.01, az:  0.99, gx:  2.50, gy: -2.20, gz: -3.27, OX: -0.01
1746026983.7249532 N:  106, t: 78045256, dt: 19040, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.23, I: -16.85, D: -0.21, VEL_OUT: -38.10, MS_MPC: 22029.90, ax: -0.01, ay: -0.01, az:  1.01, gx:  2.08, gy: -2.44, gz: -4.24, OX:  0.00
