1746027586.9511795 N:   51, t: 42619663, dt: 20311, ENC_DEG:  4.40, REF:  0.00, VEL_RAW: -4.33, VEL_AVG:  0.14, I: -21.97, D:  0.10, VEL_OUT: -44.35, MS_MPC: 21993.95, ax: -0.01, ay:  0.02, az:  1.00, gx: -1.50, gy:  0.82, gz:  1.46, OX:  0.10
1746027586.9571655 N:   52, t: 42640339, dt: 20676, ENC_DEG:  4.42, REF:  0.00, VEL_RAW:  1.06, VEL_AVG:  0.05, I: -22.03, D:  0.09, VEL_OUT: -43.65, MS_MPC: 21999.09, ax: -0.01, ay:  0.02, az:  1.00, gx: -1.25, gy:  0.70, gz:  1.10, OX: -0.00
1746027587.0090241 N:   53, t: 42660688, dt: 20349, ENC_DEG:  4.44, REF:  0.00, VEL_RAW:  1.08, VEL_AVG:  0.34, I: -22.37, D: -0.29, VEL_OUT: -51.06, MS_MPC: 22004.22, ax: -0.01, ay:  0.02, az:  1.00, gx: -1.07, gy:  0.52, gz:  0.18, OX: -0.04
1746027587.015008  N:   54, t: 42685259, dt: 24571, ENC_DEG:  4.44, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.48, I: -22.85, D: -0.14, VEL_OUT: -51.87, MS_MPC: 22004.22, ax: -0.01, ay:  0.02, az:  1.00, gx: -0.82, gy:  0.70, gz:  0.06, OX: -0.02
1746027587.020992  N:   55, t: 42700431, dt: 15172, ENC_DEG:  4.40, REF:  0.00, VEL_RAW: -2.90, VEL_AVG:  0.12, I: -22.97, D:  0.36, VEL_OUT: -43.63, MS_MPC: 21993.95, ax: -0.01, ay:  0.01, az:  1.00, gx: -0.95, gy:  0.76, gz:  0.43, OX: -0.02
1746027587.026976  N:   56, t: 42721469, dt: 21038, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.18, I: -23.15, D: -0.05, VEL_OUT: -48.57, MS_MPC: 21993.95, ax: -0.01, ay:  0.01, az:  0.99, gx: -0.52, gy:  0.76, gz:  1.22, OX:  0.01
1746027587.0708675 N:   57, t: 42741793, dt: 20324, ENC_DEG:  4.42, REF:  0.00, VEL_RAW:  1.08, VEL_AVG: -0.09, I: -23.23, D:  0.09, VEL_OUT: -46.43, MS_MPC: 21999.09, ax: -0.00, ay:  0.02, az:  0.99, gx: -0.21, gy:  0.70, gz:  1.16, OX:  0.02
1746027587.0768437 N:   58, t: 42761031, dt: 19238, ENC_DEG:  4.42, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.00, I: -23.24, D:  0.08, VEL_OUT: -45.69, MS_MPC: 21999.09, ax: -0.00, ay:  0.02, az:  0.99, gx:  0.09, gy:  0.95, gz:  0.61, OX: -0.01
1746027587.1306975 N:   59, t: 42780217, dt: 19186, ENC_DEG:  4.46, REF:  0.00, VEL_RAW:  2.29, VEL_AVG:  0.46, I: -23.70, D: -0.45, VEL_OUT: -56.51, MS_MPC: 22009.37, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.27, gy:  0.70, gz:  0.55, OX:  0.01
1746027587.1905391 N:   60, t: 42799078, dt: 18861, ENC_DEG:  4.40, REF:  0.00, VEL_RAW: -3.50, VEL_AVG: -0.29, I: -23.99, D:  0.16, VEL_OUT: -49.26, MS_MPC: 21993.95, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.64, gy:  0.58, gz:  0.61, OX: -0.02
1746027587.2453928 N:   61, t: 42819496, dt: 20418, ENC_DEG:  4.44, REF:  0.00, VEL_RAW:  2.15, VEL_AVG:  0.25, I: -24.24, D:  0.05, VEL_OUT: -50.50, MS_MPC: 22004.22, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.70, gy:  0.34, gz:  0.49, OX:  0.02
1746027587.2513766 N:   62, t: 42839566, dt: 20070, ENC_DEG:  4.48, REF:  0.00, VEL_RAW:  2.19, VEL_AVG: -0.07, I: -24.31, D:  0.18, VEL_OUT: -47.58, MS_MPC: 22014.50, ax:  0.00, ay:  0.02, az:  1.00, gx:  1.01, gy:  0.64, gz:  0.61, OX:  0.03
1746027587.257361  N:   63, t: 42860155, dt: 20589, ENC_DEG:  4.42, REF:  0.00, VEL_RAW: -3.20, VEL_AVG:  0.02, I: -24.33, D:  0.05, VEL_OUT: -48.38, MS_MPC: 21999.09, ax: -0.00, ay:  0.02, az:  1.00, gx:  1.25, gy:  0.40, gz:  0.49, OX:  0.01
1746027587.2633445 N:   66, t: 42920211, dt: 20596, ENC_DEG:  4.40, REF:  0.00, VEL_RAW: -3.20, VEL_AVG: -0.24, I: -24.71, D: -0.22, VEL_OUT: -54.06, MS_MPC: 21993.95, ax: -0.01, ay:  0.02, az:  1.00, gx:  1.86, gy: -0.15, gz: -1.04, OX:  0.02
1746027587.2693515 N:   68, t: 42962791, dt: 23441, ENC_DEG:  4.46, REF:  0.00, VEL_RAW:  0.94, VEL_AVG:  0.27, I: -25.17, D: -0.08, VEL_OUT: -53.79, MS_MPC: 22009.37, ax:  0.00, ay:  0.02, az:  0.99, gx:  2.04, gy:  0.52, gz: -0.37, OX: -0.02
1746027587.3112586 N:   69, t: 42982097, dt: 19306, ENC_DEG:  4.40, REF:  0.00, VEL_RAW: -3.41, VEL_AVG: -0.11, I: -25.27, D:  0.16, VEL_OUT: -50.02, MS_MPC: 21993.95, ax:  0.00, ay:  0.01, az:  1.00, gx:  2.23, gy:  0.52, gz: -0.49, OX: -0.14
1746027587.4269066 N:   70, t: 43000408, dt: 18311, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.11, I: -25.38, D:  0.00, VEL_OUT: -51.83, MS_MPC: 21993.95, ax: -0.00, ay:  0.00, az:  1.00, gx:  1.68, gy:  0.03, gz: -0.31, OX: -0.13
1746027587.4867468 N:   71, t: 43020617, dt: 20209, ENC_DEG:  4.42, REF:  0.00, VEL_RAW:  1.09, VEL_AVG: -0.21, I: -25.59, D: -0.10, VEL_OUT: -54.25, MS_MPC: 21999.09, ax: -0.01, ay: -0.00, az:  1.00, gx:  0.76, gy:  0.64, gz:  0.31, OX:  0.30
1746027587.49274   N:   72, t: 43040603, dt: 19986, ENC_DEG:  4.44, REF:  0.00, VEL_RAW:  1.10, VEL_AVG:  0.18, I: -25.76, D:  0.03, VEL_OUT: -52.96, MS_MPC: 22004.22, ax: -0.01, ay: -0.00, az:  0.99, gx:  0.21, gy:  1.01, gz:  0.85, OX:  0.05
1746027587.54559   N:   73, t: 43059547, dt: 18944, ENC_DEG:  4.42, REF:  0.00, VEL_RAW: -1.16, VEL_AVG: -0.10, I: -25.86, D:  0.07, VEL_OUT: -51.99, MS_MPC: 21999.09, ax: -0.00, ay:  0.01, az:  0.98, gx: -0.21, gy:  0.58, gz:  0.98, OX:  0.09
1746027587.6672664 N:   76, t: 43122060, dt: 17114, ENC_DEG:  4.37, REF:  0.00, VEL_RAW: -3.85, VEL_AVG: -0.43, I: -26.56, D: -0.36, VEL_OUT: -61.02, MS_MPC: 21988.80, ax: -0.01, ay:  0.01, az:  1.00, gx: -0.40, gy: -0.03, gz: -1.34, OX: -0.02
1746027587.7859647 N:   78, t: 43182502, dt: 16968, ENC_DEG:  4.44, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.04, I: -26.90, D:  0.27, VEL_OUT: -51.51, MS_MPC: 22004.22, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.58, gy: -1.07, gz: -2.26, OX: -0.06
1746027587.8507736 N:   79, t: 43225531, dt: 43029, ENC_DEG:  4.44, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.23, I: -27.13, D: -0.19, VEL_OUT: -58.46, MS_MPC: 22004.22, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.95, gy: -2.23, gz: -1.65, OX:  0.11
1746027587.8567588 N:   81, t: 43260876, dt: 17103, ENC_DEG:  4.44, REF:  0.00, VEL_RAW:  3.85, VEL_AVG: -0.00, I: -27.74, D:  0.61, VEL_OUT: -49.45, MS_MPC: 22004.22, ax: -0.01, ay:  0.01, az:  1.00, gx:  1.37, gy: -2.23, gz: -1.46, OX:  0.15
