1746027464.729616  N:   50, t: 31142478, dt: 21442, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.03, I: -18.28, D:  0.27, VEL_OUT: -34.15, MS_MPC: 22029.90, ax:  0.03, ay:  0.04, az:  1.00, gx: -1.43, gy: -4.97, gz: -7.57, OX:  0.01
1746027464.735602  N:   51, t: 31161722, dt: 19244, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.15, I: -18.44, D: -0.12, VEL_OUT: -39.64, MS_MPC: 22035.04, ax:  0.03, ay:  0.03, az:  0.99, gx: -1.31, gy: -5.28, gz: -8.36, OX: -0.06
1746027464.8453062 N:   52, t: 31182613, dt: 20891, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.05, I: -18.48, D:  0.11, VEL_OUT: -36.38, MS_MPC: 22035.04, ax:  0.03, ay:  0.03, az:  0.99, gx: -0.89, gy: -4.91, gz: -8.06, OX: -0.00
1746027464.8512897 N:   53, t: 31200932, dt: 18319, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -1.20, VEL_AVG: -0.23, I: -18.72, D: -0.19, VEL_OUT: -41.61, MS_MPC: 22029.90, ax:  0.03, ay:  0.03, az:  1.00, gx: -0.40, gy: -4.49, gz: -7.75, OX: -0.05
1746027464.8572726 N:   54, t: 31221901, dt: 20969, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.06, I: -18.77, D:  0.17, VEL_OUT: -36.38, MS_MPC: 22029.90, ax:  0.02, ay:  0.01, az:  1.00, gx: -0.03, gy: -4.06, gz: -7.14, OX: -0.18
1746027464.8632612 N:   55, t: 31240205, dt: 18304, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.03, I: -18.81, D:  0.03, VEL_OUT: -37.68, MS_MPC: 22029.90, ax:  0.02, ay:  0.01, az:  1.00, gx:  0.27, gy: -2.78, gz: -4.94, OX: -0.07
1746027464.906142  N:   58, t: 31302199, dt: 21538, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.26, I: -19.25, D: -0.20, VEL_OUT: -43.07, MS_MPC: 22045.30, ax:  0.01, ay:  0.01, az:  1.01, gx:  0.70, gy: -0.15, gz: -1.04, OX: -0.00
1746027464.912142  N:   59, t: 31321808, dt: 19609, ENC_DEG:  4.59, REF:  0.00, VEL_RAW: -1.12, VEL_AVG:  0.08, I: -19.33, D:  0.18, VEL_OUT: -37.60, MS_MPC: 22040.17, ax:  0.01, ay:  0.01, az:  1.01, gx:  0.95, gy:  1.07, gz:  0.18, OX:  0.01
1746027464.918152  N:   60, t: 31340987, dt: 19179, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.08, I: -19.41, D: -0.00, VEL_OUT: -39.69, MS_MPC: 22045.30, ax:  0.01, ay:  0.01, az:  1.01, gx:  0.70, gy:  2.11, gz:  1.83, OX:  0.02
1746027464.968974  N:   61, t: 31361534, dt: 20547, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -2.14, VEL_AVG:  0.09, I: -19.51, D: -0.01, VEL_OUT: -40.10, MS_MPC: 22035.04, ax:  0.01, ay:  0.02, az:  1.01, gx:  0.58, gy:  2.72, gz:  2.62, OX:  0.08
1746027464.9749582 N:   62, t: 31380234, dt: 18700, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  1.18, VEL_AVG:  0.19, I: -19.70, D: -0.10, VEL_OUT: -42.31, MS_MPC: 22040.17, ax:  0.02, ay:  0.02, az:  1.00, gx:  0.58, gy:  3.20, gz:  2.75, OX:  0.01
1746027464.9809473 N:   63, t: 31400567, dt: 20333, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -1.08, VEL_AVG:  0.01, I: -19.71, D:  0.19, VEL_OUT: -37.64, MS_MPC: 22035.04, ax:  0.02, ay:  0.02, az:  0.99, gx:  0.46, gy:  3.88, gz:  3.48, OX: -0.00
1746027464.9879243 N:   64, t: 31422645, dt: 22078, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  1.99, VEL_AVG:  0.17, I: -19.88, D: -0.17, VEL_OUT: -43.16, MS_MPC: 22045.30, ax:  0.02, ay:  0.02, az:  0.99, gx:  0.58, gy:  3.51, gz:  4.03, OX: -0.01
1746027465.0288172 N:   65, t: 31441903, dt: 19258, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -2.28, VEL_AVG:  0.08, I: -19.96, D:  0.09, VEL_OUT: -39.86, MS_MPC: 22035.04, ax:  0.02, ay:  0.02, az:  1.00, gx:  0.46, gy:  2.84, gz:  3.54, OX:  0.02
1746027465.0348    N:   66, t: 31461973, dt: 20070, ENC_DEG:  4.53, REF:  0.00, VEL_RAW: -2.19, VEL_AVG: -0.10, I: -20.06, D: -0.02, VEL_OUT: -41.28, MS_MPC: 22024.77, ax:  0.02, ay:  0.02, az:  1.00, gx:  0.27, gy:  2.53, gz:  3.48, OX: -0.02
1746027465.0886803 N:   67, t: 31480451, dt: 18478, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  4.76, VEL_AVG:  0.30, I: -20.36, D: -0.20, VEL_OUT: -45.67, MS_MPC: 22045.30, ax:  0.02, ay:  0.02, az:  0.99, gx:  0.40, gy:  2.23, gz:  3.48, OX:  0.02
1746027465.0956364 N:   68, t: 31502193, dt: 21742, ENC_DEG:  4.64, REF:  0.00, VEL_RAW:  1.01, VEL_AVG:  0.29, I: -20.66, D:  0.00, VEL_OUT: -44.23, MS_MPC: 22050.43, ax:  0.02, ay:  0.03, az:  0.99, gx:  0.46, gy:  1.31, gz:  2.99, OX:  0.10
1746027465.1016192 N:   69, t: 31520219, dt: 18026, ENC_DEG:  4.62, REF:  0.00, VEL_RAW: -1.22, VEL_AVG:  0.00, I: -20.66, D:  0.29, VEL_OUT: -38.44, MS_MPC: 22045.30, ax:  0.02, ay:  0.03, az:  0.99, gx:  0.52, gy:  0.46, gz:  2.44, OX:  0.03
1746027465.1076405 N:   70, t: 31543933, dt: 23714, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -2.78, VEL_AVG: -0.23, I: -20.89, D: -0.22, VEL_OUT: -46.30, MS_MPC: 22029.90, ax:  0.02, ay:  0.03, az:  0.99, gx:  0.89, gy: -0.27, gz:  1.28, OX:  0.00
1746027465.1494925 N:   71, t: 31567155, dt: 23222, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.13, I: -21.02, D:  0.09, VEL_OUT: -42.46, MS_MPC: 22029.90, ax:  0.01, ay:  0.03, az:  0.99, gx:  0.82, gy: -0.95, gz:  0.43, OX: -0.00
1746027465.2073395 N:   72, t: 31580269, dt: 13114, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  3.35, VEL_AVG:  0.05, I: -21.07, D:  0.09, VEL_OUT: -41.78, MS_MPC: 22040.17, ax:  0.01, ay:  0.03, az:  1.00, gx:  0.82, gy: -1.01, gz:  0.12, OX: -0.02
1746027465.2652116 N:   73, t: 31600838, dt: 20569, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -2.14, VEL_AVG:  0.05, I: -21.12, D: -0.00, VEL_OUT: -42.74, MS_MPC: 22029.90, ax:  0.01, ay:  0.03, az:  0.99, gx:  0.52, gy: -1.13, gz: -0.55, OX: -0.03
1746027465.2711668 N:   74, t: 31622938, dt: 22100, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  2.98, VEL_AVG:  0.20, I: -21.32, D: -0.15, VEL_OUT: -46.15, MS_MPC: 22045.30, ax:  0.01, ay:  0.03, az:  0.99, gx:  0.40, gy: -1.50, gz: -0.85, OX: -0.01
1746027465.2781584 N:   75, t: 31641913, dt: 18975, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -2.32, VEL_AVG:  0.10, I: -21.42, D:  0.10, VEL_OUT: -42.78, MS_MPC: 22035.04, ax:  0.01, ay:  0.03, az:  1.00, gx:  0.09, gy: -1.68, gz: -1.16, OX: -0.00
1746027465.2841332 N:   76, t: 31664470, dt: 22557, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -0.97, VEL_AVG: -0.15, I: -21.57, D: -0.05, VEL_OUT: -45.16, MS_MPC: 22029.90, ax:  0.01, ay:  0.03, az:  1.00, gx: -0.15, gy: -1.43, gz: -1.10, OX:  0.02
1746027465.290117  N:   79, t: 31723176, dt: 22720, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -1.93, VEL_AVG: -0.12, I: -22.17, D:  0.32, VEL_OUT: -42.35, MS_MPC: 22029.90, ax:  0.01, ay:  0.03, az:  1.00, gx:  0.03, gy: -1.19, gz: -1.46, OX: -0.02
1746027465.3290117 N:   80, t: 31740402, dt: 17226, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  1.28, VEL_AVG: -0.10, I: -22.26, D:  0.02, VEL_OUT: -45.29, MS_MPC: 22035.04, ax:  0.01, ay:  0.02, az:  1.00, gx:  0.27, gy: -1.25, gz: -1.71, OX: -0.01
1746027465.335008  N:   81, t: 31761546, dt: 21144, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -1.04, VEL_AVG: -0.08, I: -22.35, D:  0.01, VEL_OUT: -45.37, MS_MPC: 22029.90, ax:  0.01, ay:  0.02, az:  1.00, gx:  0.64, gy: -0.95, gz: -1.65, OX: -0.05
1746027465.4478154 N:   82, t: 31782576, dt: 21030, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  3.13, VEL_AVG:  0.41, I: -22.76, D: -0.33, VEL_OUT: -52.88, MS_MPC: 22045.30, ax:  0.02, ay:  0.01, az:  1.00, gx:  0.52, gy: -0.46, gz: -0.98, OX: -0.01
1746027465.4537976 N:   83, t: 31800933, dt: 18357, ENC_DEG:  4.59, REF:  0.00, VEL_RAW: -1.20, VEL_AVG:  0.31, I: -23.07, D:  0.10, VEL_OUT: -48.24, MS_MPC: 22040.17, ax:  0.02, ay:  0.01, az:  0.99, gx:  0.82, gy: -0.27, gz: -0.49, OX:  0.02
1746027465.5046616 N:   84, t: 31820956, dt: 20023, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -2.19, VEL_AVG: -0.15, I: -23.22, D:  0.16, VEL_OUT: -46.37, MS_MPC: 22029.90, ax:  0.02, ay:  0.02, az:  0.99, gx:  1.01, gy: -0.58, gz: -0.37, OX:  0.00
