1746089639.3652868 N:   47, t: 30450758, dt: 20070, ENC_DEG: 28.70, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.25, I: -10.41, D: -0.16, VEL_OUT: -24.89, MS_MPC: 26891.38, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.06, gz:  0.15, OX: -0.03
1746089639.3716142 N:   48, t: 30473988, dt: 23230, ENC_DEG: 28.63, REF:  0.00, VEL_RAW: -2.84, VEL_AVG: -0.15, I: -10.55, D:  0.10, VEL_OUT: -21.59, MS_MPC: 26880.58, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.18, gy: -0.06, gz:  0.34, OX:  0.01
1746089639.3775346 N:   49, t: 30491356, dt: 17368, ENC_DEG: 28.72, REF:  0.00, VEL_RAW:  5.06, VEL_AVG:  0.37, I: -10.92, D: -0.22, VEL_OUT: -27.74, MS_MPC: 26894.98, ax: -0.00, ay: -0.01, az:  1.00, gx: -0.31, gy: -0.06, gz:  0.52, OX: -0.07
1746089639.417507  N:   50, t: 30510086, dt: 18730, ENC_DEG: 28.68, REF:  0.00, VEL_RAW: -2.35, VEL_AVG:  0.01, I: -10.93, D:  0.36, VEL_OUT: -18.32, MS_MPC: 26887.78, ax: -0.01, ay: -0.00, az:  1.01, gx: -0.43, gy:  0.18, gz:  0.70, OX:  0.03
1746089639.4234903 N:   51, t: 30530702, dt: 20616, ENC_DEG: 28.61, REF:  0.00, VEL_RAW: -3.20, VEL_AVG:  0.03, I: -10.96, D: -0.02, VEL_OUT: -22.44, MS_MPC: 26876.98, ax: -0.01, ay: -0.00, az:  1.01, gx: -0.61, gy:  0.24, gz:  0.46, OX:  0.01
1746089639.4296985 N:   52, t: 30550196, dt: 19494, ENC_DEG: 28.65, REF:  0.00, VEL_RAW:  2.25, VEL_AVG:  0.12, I: -11.08, D: -0.09, VEL_OUT: -24.20, MS_MPC: 26884.18, ax: -0.01, ay: -0.00, az:  1.00, gx: -0.49, gy:  0.43, gz:  0.09, OX: -0.00
1746089639.4785292 N:   53, t: 30573771, dt: 23575, ENC_DEG: 28.68, REF:  0.00, VEL_RAW:  0.93, VEL_AVG:  0.27, I: -11.35, D: -0.16, VEL_OUT: -27.01, MS_MPC: 26887.78, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.55, gy:  0.18, gz:  0.03, OX:  0.00
1746089639.4834754 N:   54, t: 30592056, dt: 18285, ENC_DEG: 28.65, REF:  0.00, VEL_RAW: -1.20, VEL_AVG: -0.03, I: -11.38, D:  0.25, VEL_OUT: -20.60, MS_MPC: 26884.18, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.31, gy:  0.24, gz:  0.09, OX: -0.01
1746089639.490461  N:   55, t: 30610185, dt: 18129, ENC_DEG: 28.72, REF:  0.00, VEL_RAW:  3.64, VEL_AVG:  0.27, I: -11.65, D: -0.25, VEL_OUT: -28.51, MS_MPC: 26894.98, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.37, gy:  0.43, gz:  0.40, OX:  0.01
1746089639.5378714 N:   56, t: 30634138, dt: 23953, ENC_DEG: 28.65, REF:  0.00, VEL_RAW: -2.75, VEL_AVG: -0.06, I: -11.71, D:  0.21, VEL_OUT: -21.88, MS_MPC: 26884.18, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.12, gy:  0.31, gz:  0.27, OX:  0.01
1746089639.5434093 N:   57, t: 30651405, dt: 17267, ENC_DEG: 28.72, REF:  0.00, VEL_RAW:  3.82, VEL_AVG:  0.49, I: -12.21, D: -0.43, VEL_OUT: -33.66, MS_MPC: 26894.98, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.24, gz:  0.34, OX: -0.00
