1746089780.9042473 N:   64, t: 36413234, dt: 20703, ENC_DEG: 37.90, REF:  0.00, VEL_RAW: -3.18, VEL_AVG: -0.48, I: -12.37, D: -0.37, VEL_OUT: -33.22, MS_MPC: 28231.88, ax: -0.04, ay:  0.02, az:  1.02, gx: -1.01, gy:  0.24, gz:  2.53, OX:  0.26
1746089780.9102461 N:   65, t: 36436803, dt: 23569, ENC_DEG: 37.90, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.58, I: -12.95, D: -0.10, VEL_OUT: -32.63, MS_MPC: 28231.88, ax: -0.04, ay:  0.03, az:  1.01, gx: -0.82, gy:  1.46, gz:  1.68, OX:  0.03
1746089780.91547   N:   66, t: 36453220, dt: 16417, ENC_DEG: 37.95, REF:  0.00, VEL_RAW:  2.68, VEL_AVG: -0.64, I: -13.59, D: -0.06, VEL_OUT: -34.16, MS_MPC: 28237.42, ax: -0.03, ay:  0.04, az:  0.99, gx:  0.58, gy:  2.32, gz:  0.58, OX:  0.08
1746089780.9593558 N:   67, t: 36471930, dt: 18710, ENC_DEG: 37.95, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.99, I: -14.57, D: -0.35, VEL_OUT: -42.49, MS_MPC: 28237.42, ax: -0.03, ay:  0.05, az:  0.97, gx:  2.04, gy:  2.08, gz: -0.64, OX:  0.08
1746089781.015251  N:   68, t: 36492311, dt: 20381, ENC_DEG: 37.99, REF:  0.00, VEL_RAW:  2.16, VEL_AVG: -0.81, I: -15.38, D:  0.18, VEL_OUT: -37.03, MS_MPC: 28242.95, ax: -0.03, ay:  0.08, az:  0.97, gx:  3.14, gy:  1.83, gz: -0.64, OX:  0.23
1746089781.0231512 N:   69, t: 36513739, dt: 21428, ENC_DEG: 38.10, REF:  0.00, VEL_RAW:  5.13, VEL_AVG: -0.38, I: -15.76, D:  0.43, VEL_OUT: -31.04, MS_MPC: 28256.73, ax: -0.04, ay:  0.08, az:  0.98, gx:  3.57, gy:  1.22, gz: -3.81, OX:  0.03
1746089781.030133  N:   70, t: 36533524, dt: 19785, ENC_DEG: 38.17, REF:  0.00, VEL_RAW:  3.33, VEL_AVG:  0.17, I: -15.93, D:  0.21, VEL_OUT: -31.50, MS_MPC: 28264.98, ax: -0.05, ay:  0.07, az:  1.02, gx:  3.14, gy:  1.04, gz: -8.27, OX: -0.07
1746089781.0351667 N:   71, t: 36552583, dt: 19059, ENC_DEG: 38.15, REF:  0.00, VEL_RAW: -1.15, VEL_AVG:  0.17, I: -16.10, D:  0.00, VEL_OUT: -33.89, MS_MPC: 28262.23, ax: -0.03, ay:  0.04, az:  1.02, gx:  1.43, gy:  0.24, gz: -15.35, OX: -0.15
1746089781.0786648 N:   72, t: 36577140, dt: 24557, ENC_DEG: 38.15, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.08, I: -16.18, D:  0.09, VEL_OUT: -32.29, MS_MPC: 28262.23, ax: -0.01, ay: -0.05, az:  1.02, gx:  0.15, gy: -1.53, gz: -16.02, OX: -0.51
1746089781.0845532 N:   73, t: 36594091, dt: 16951, ENC_DEG: 38.04, REF:  0.00, VEL_RAW: -6.48, VEL_AVG: -0.62, I: -16.80, D: -0.54, VEL_OUT: -45.15, MS_MPC: 28248.47, ax: -0.03, ay: -0.12, az:  1.02, gx: -1.68, gy: -3.30, gz: -7.54, OX: -0.79
1746089781.1383758 N:   74, t: 36613231, dt: 19140, ENC_DEG: 37.93, REF:  0.00, VEL_RAW: -5.74, VEL_AVG: -0.57, I: -17.37, D:  0.05, VEL_OUT: -39.92, MS_MPC: 28234.65, ax: -0.04, ay: -0.12, az:  1.02, gx: -4.73, gy: -2.38, gz:  3.20, OX:  0.33
1746089781.143945  N:   75, t: 36632738, dt: 19507, ENC_DEG: 37.84, REF:  0.00, VEL_RAW: -4.51, VEL_AVG: -0.65, I: -18.02, D: -0.08, VEL_OUT: -43.30, MS_MPC: 28223.56, ax: -0.03, ay: -0.07, az:  1.01, gx: -5.89, gy:  0.12, gz: 12.79, OX:  0.47
1746089781.150267  N:   76, t: 36654101, dt: 21363, ENC_DEG: 37.79, REF:  0.00, VEL_RAW: -2.06, VEL_AVG: -0.55, I: -18.57, D:  0.09, VEL_OUT: -41.74, MS_MPC: 28218.00, ax: -0.02, ay: -0.01, az:  1.00, gx: -5.71, gy:  2.44, gz: 18.59, OX:  0.49
1746089781.1982973 N:   77, t: 36673560, dt: 19459, ENC_DEG: 37.79, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.55, I: -19.12, D:  0.00, VEL_OUT: -43.78, MS_MPC: 28218.00, ax: -0.01, ay:  0.06, az:  0.98, gx: -3.94, gy:  1.89, gz: 16.45, OX:  0.40
1746089781.2041962 N:   78, t: 36692813, dt: 19253, ENC_DEG: 37.77, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.87, I: -20.00, D: -0.32, VEL_OUT: -51.89, MS_MPC: 28215.22, ax: -0.01, ay:  0.08, az:  0.98, gx: -1.31, gy:  0.92, gz: 10.28, OX:  0.12
1746089781.2106164 N:   79, t: 36712695, dt: 19882, ENC_DEG: 37.86, REF:  0.00, VEL_RAW:  4.42, VEL_AVG: -0.50, I: -20.50, D:  0.37, VEL_OUT: -42.35, MS_MPC: 28226.34, ax: -0.02, ay:  0.05, az:  0.99, gx:  1.86, gy: -0.31, gz:  2.84, OX: -0.39
1746089781.216682  N:   80, t: 36733149, dt: 20454, ENC_DEG: 37.93, REF:  0.00, VEL_RAW:  3.22, VEL_AVG: -0.41, I: -20.91, D:  0.09, VEL_OUT: -45.09, MS_MPC: 28234.65, ax: -0.03, ay:  0.04, az:  1.00, gx:  3.51, gy: -0.92, gz: -0.34, OX: -0.06
1746089781.222082  N:   81, t: 36753648, dt: 20499, ENC_DEG: 38.06, REF:  0.00, VEL_RAW:  6.43, VEL_AVG: -0.31, I: -21.22, D:  0.11, VEL_OUT: -44.41, MS_MPC: 28251.23, ax: -0.04, ay:  0.03, az:  1.01, gx:  4.61, gy: -0.61, gz: -2.78, OX: -0.27
1746089781.2281275 N:   82, t: 36771906, dt: 18258, ENC_DEG: 38.15, REF:  0.00, VEL_RAW:  4.81, VEL_AVG: -0.18, I: -21.40, D:  0.12, VEL_OUT: -43.39, MS_MPC: 28262.23, ax: -0.04, ay:  0.02, az:  1.01, gx:  4.30, gy: -0.12, gz: -2.17, OX: -0.13
1746089781.259713  N:   83, t: 36793220, dt: 21314, ENC_DEG: 38.21, REF:  0.00, VEL_RAW:  3.09, VEL_AVG:  0.17, I: -21.57, D:  0.01, VEL_OUT: -44.75, MS_MPC: 28270.46, ax: -0.03, ay:  0.01, az:  1.01, gx:  3.27, gy: -0.12, gz: -0.52, OX: -0.07
1746089781.320147  N:   84, t: 36814075, dt: 20855, ENC_DEG: 38.23, REF:  0.00, VEL_RAW:  1.05, VEL_AVG:  0.26, I: -21.83, D: -0.09, VEL_OUT: -47.13, MS_MPC: 28273.20, ax: -0.02, ay:  0.02, az:  1.01, gx:  1.31, gy: -0.55, gz:  0.89, OX:  0.18
