1746089491.2771938 N:   75, t: 27063457, dt: 18380, ENC_DEG: 42.87, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.57, I: -28.31, D: -0.11, VEL_OUT: -63.42, MS_MPC: 28799.02, ax: -0.03, ay: -0.02, az:  1.00, gx:  0.49, gy:  1.04, gz:  1.04, OX: -0.02
1746089491.2829828 N:   76, t: 27087918, dt: 24461, ENC_DEG: 42.80, REF:  0.00, VEL_RAW: -2.69, VEL_AVG:  0.34, I: -28.65, D:  0.22, VEL_OUT: -58.47, MS_MPC: 28792.30, ax: -0.02, ay: -0.02, az:  1.00, gx:  0.43, gy:  0.98, gz:  0.18, OX:  0.00
1746089491.289972  N:   77, t: 27104266, dt: 16348, ENC_DEG: 42.72, REF:  0.00, VEL_RAW: -5.38, VEL_AVG: -0.26, I: -28.91, D:  0.08, VEL_OUT: -59.67, MS_MPC: 28783.31, ax: -0.02, ay: -0.02, az:  1.00, gx:  0.18, gy:  0.67, gz: -0.24, OX:  0.00
1746089491.3373728 N:   78, t: 27123946, dt: 19680, ENC_DEG: 42.72, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.70, I: -29.62, D: -0.44, VEL_OUT: -70.66, MS_MPC: 28783.31, ax: -0.01, ay: -0.02, az:  1.00, gx:  0.06, gy:  0.92, gz: -0.61, OX:  0.00
1746089491.3443494 N:   79, t: 27143122, dt: 19176, ENC_DEG: 42.76, REF:  0.00, VEL_RAW:  2.29, VEL_AVG: -0.51, I: -30.13, D:  0.19, VEL_OUT: -63.47, MS_MPC: 28787.81, ax: -0.01, ay: -0.03, az:  1.00, gx: -0.12, gy:  0.49, gz: -0.61, OX: -0.03
1746089491.394461  N:   80, t: 27169571, dt: 26449, ENC_DEG: 42.63, REF:  0.00, VEL_RAW: -4.98, VEL_AVG: -1.09, I: -31.22, D: -0.58, VEL_OUT: -79.18, MS_MPC: 28774.28, ax: -0.01, ay: -0.03, az:  1.01, gx: -0.43, gy:  0.06, gz: -0.73, OX: -0.00
1746089491.39941   N:   81, t: 27186269, dt: 16698, ENC_DEG: 42.74, REF:  0.00, VEL_RAW:  6.58, VEL_AVG: -0.45, I: -31.67, D:  0.65, VEL_OUT: -61.34, MS_MPC: 28785.56, ax: -0.01, ay: -0.03, az:  1.01, gx: -0.67, gy: -0.31, gz: -0.79, OX:  0.01
1746089491.4567797 N:   82, t: 27203330, dt: 17061, ENC_DEG: 42.80, REF:  0.00, VEL_RAW:  3.86, VEL_AVG: -0.44, I: -32.11, D:  0.01, VEL_OUT: -68.50, MS_MPC: 28792.30, ax: -0.01, ay: -0.02, az:  0.99, gx: -0.49, gy: -0.43, gz: -1.22, OX:  0.05
1746089491.5729413 N:   83, t: 27222691, dt: 19361, ENC_DEG: 42.78, REF:  0.00, VEL_RAW: -1.13, VEL_AVG: -0.44, I: -32.54, D:  0.00, VEL_OUT: -69.46, MS_MPC: 28790.05, ax: -0.01, ay: -0.02, az:  0.98, gx: -0.31, gy: -0.92, gz: -1.95, OX: -0.01
1746089491.5789242 N:   84, t: 27248131, dt: 25440, ENC_DEG: 42.72, REF:  0.00, VEL_RAW: -2.59, VEL_AVG: -0.42, I: -32.96, D:  0.02, VEL_OUT: -69.93, MS_MPC: 28783.31, ax: -0.01, ay: -0.03, az:  0.99, gx:  0.31, gy: -2.08, gz: -3.36, OX: -0.13
