1746005245.5096009 N:   46, t: 54285356, dt: 21428, ENC_DEG: 21.93, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.11, I: -5.29, D: -0.04, VEL_OUT: -12.08, MS_MPC: 25703.98, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.12, gy: -0.67, gz: -0.98, OX: -0.02
1746005245.5155873 N:   47, t: 54303935, dt: 18579, ENC_DEG: 21.91, REF:  0.00, VEL_RAW: -1.18, VEL_AVG: -0.18, I: -5.47, D: -0.08, VEL_OUT: -13.55, MS_MPC: 25699.88, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.24, gy: -0.31, gz: -0.79, OX: -0.01
1746005245.556337  N:   48, t: 54324324, dt: 20389, ENC_DEG: 21.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.17, I: -5.64, D:  0.02, VEL_OUT: -12.80, MS_MPC: 25699.88, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.12, gy: -0.43, gz: -0.49, OX:  0.02
1746005245.5672863 N:   49, t: 54344618, dt: 20294, ENC_DEG: 21.89, REF:  0.00, VEL_RAW: -1.08, VEL_AVG: -0.08, I: -5.72, D:  0.09, VEL_OUT: -11.34, MS_MPC: 25695.77, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.00, gy: -0.31, gz: -0.24, OX:  0.06
1746005245.6168933 N:   50, t: 54367272, dt: 22654, ENC_DEG: 21.93, REF:  0.00, VEL_RAW:  1.94, VEL_AVG:  0.08, I: -5.80, D: -0.00, VEL_OUT: -12.47, MS_MPC: 25703.98, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.00, gy: -0.37, gz: -0.73, OX: -0.01
1746005245.6225424 N:   51, t: 54388280, dt: 21008, ENC_DEG: 21.91, REF:  0.00, VEL_RAW: -1.05, VEL_AVG: -0.00, I: -5.81, D:  0.08, VEL_OUT: -10.87, MS_MPC: 25699.88, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.24, gy: -0.37, gz: -0.79, OX: -0.02
1746005245.6285293 N:   52, t: 54404298, dt: 16018, ENC_DEG: 21.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.11, I: -5.91, D: -0.10, VEL_OUT: -13.89, MS_MPC: 25699.88, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.37, gy: -0.31, gz: -0.73, OX: -0.00
1746005245.6345527 N:   53, t: 54428314, dt: 24016, ENC_DEG: 21.89, REF:  0.00, VEL_RAW: -0.91, VEL_AVG: -0.18, I: -6.10, D: -0.08, VEL_OUT: -14.77, MS_MPC: 25695.77, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.43, gy: -0.37, gz: -0.61, OX: -0.01
1746005245.6768768 N:   54, t: 54445632, dt: 17318, ENC_DEG: 22.00, REF:  0.00, VEL_RAW:  6.34, VEL_AVG:  0.43, I: -6.53, D: -0.25, VEL_OUT: -19.92, MS_MPC: 25716.28, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.31, gy: -0.43, gz: -0.49, OX: -0.01
1746005245.7321553 N:   55, t: 54463852, dt: 18220, ENC_DEG: 21.93, REF:  0.00, VEL_RAW: -3.62, VEL_AVG:  0.04, I: -6.57, D:  0.40, VEL_OUT: -9.53, MS_MPC: 25703.98, ax:  0.01, ay: -0.00, az:  0.99, gx:  0.31, gy: -0.18, gz: -0.37, OX:  0.00
1746005245.7371013 N:   56, t: 54484518, dt: 20666, ENC_DEG: 21.93, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.13, I: -6.70, D: -0.09, VEL_OUT: -15.62, MS_MPC: 25703.98, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.37, gy:  0.06, gz: -0.43, OX: -0.02
1746005245.7432284 N:   57, t: 54503949, dt: 19431, ENC_DEG: 21.89, REF:  0.00, VEL_RAW: -2.26, VEL_AVG: -0.15, I: -6.85, D: -0.02, VEL_OUT: -15.43, MS_MPC: 25695.77, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.06, gy: -0.24, gz: -0.31, OX:  0.05
1746005245.7492194 N:   58, t: 54524352, dt: 20403, ENC_DEG: 21.91, REF:  0.00, VEL_RAW:  1.08, VEL_AVG: -0.06, I: -6.91, D:  0.09, VEL_OUT: -13.54, MS_MPC: 25699.88, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.12, gy: -0.24, gz: -0.61, OX: -0.01
1746005245.7995894 N:   59, t: 54543919, dt: 19567, ENC_DEG: 22.00, REF:  0.00, VEL_RAW:  4.49, VEL_AVG:  0.41, I: -7.32, D: -0.35, VEL_OUT: -22.24, MS_MPC: 25716.28, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.43, gz: -0.49, OX:  0.01
1746005245.8550172 N:   60, t: 54567299, dt: 23380, ENC_DEG: 21.89, REF:  0.00, VEL_RAW: -4.70, VEL_AVG:  0.02, I: -7.34, D:  0.39, VEL_OUT: -10.96, MS_MPC: 25695.77, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.24, gy: -0.18, gz: -0.24, OX:  0.02
1746005245.8610024 N:   61, t: 54585337, dt: 18038, ENC_DEG: 21.91, REF:  0.00, VEL_RAW:  1.22, VEL_AVG:  0.21, I: -7.55, D: -0.19, VEL_OUT: -19.13, MS_MPC: 25699.88, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.00, gy: -0.18, gz: -0.06, OX:  0.03
1746005245.8660324 N:   62, t: 54606725, dt: 21388, ENC_DEG: 21.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.05, I: -7.60, D:  0.16, VEL_OUT: -14.08, MS_MPC: 25699.88, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.55, gy:  0.12, gz:  0.12, OX:  0.03
1746005245.8720107 N:   63, t: 54625839, dt: 19114, ENC_DEG: 21.89, REF:  0.00, VEL_RAW: -1.15, VEL_AVG:  0.04, I: -7.64, D:  0.01, VEL_OUT: -15.60, MS_MPC: 25695.77, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.67, gy:  0.18, gz:  0.00, OX:  0.07
1746005245.8789582 N:   65, t: 54663640, dt: 19767, ENC_DEG: 21.93, REF:  0.00, VEL_RAW: -1.11, VEL_AVG:  0.33, I: -8.31, D:  0.02, VEL_OUT: -19.75, MS_MPC: 25703.98, ax:  0.00, ay: -0.00, az:  0.99, gx:  0.49, gy: -0.37, gz: -1.22, OX: -0.13
1746005245.916852  N:   66, t: 54684970, dt: 21330, ENC_DEG: 21.91, REF:  0.00, VEL_RAW: -1.03, VEL_AVG: -0.29, I: -8.60, D:  0.04, VEL_OUT: -19.63, MS_MPC: 25699.88, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.18, gy: -0.61, gz: -1.40, OX: -0.02
1746005245.973696  N:   67, t: 54704169, dt: 19199, ENC_DEG: 21.86, REF:  0.00, VEL_RAW: -2.29, VEL_AVG: -0.17, I: -8.78, D:  0.11, VEL_OUT: -18.19, MS_MPC: 25691.67, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.24, gy: -0.85, gz: -1.10, OX: -0.00
1746005245.9796796 N:   68, t: 54725968, dt: 21799, ENC_DEG: 21.93, REF:  0.00, VEL_RAW:  3.02, VEL_AVG:  0.08, I: -8.85, D:  0.10, VEL_OUT: -17.50, MS_MPC: 25703.98, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.67, gy: -0.79, gz: -0.73, OX:  0.02
