1746004637.5073678 N:   69, t: 60977028, dt: 20442, ENC_DEG: 50.65, REF:  0.00, VEL_RAW: -1.07, VEL_AVG:  0.08, I: -13.53, D: -0.06, VEL_OUT: -28.38, MS_MPC: 29416.71, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.06, gz:  0.18, OX: -0.00
1746004637.5137105 N:   70, t: 60997210, dt: 20182, ENC_DEG: 50.56, REF:  0.00, VEL_RAW: -4.35, VEL_AVG: -0.55, I: -14.07, D: -0.47, VEL_OUT: -38.35, MS_MPC: 29411.84, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.00, gy: -0.31, gz:  0.00, OX: -0.03
1746004637.5200207 N:   71, t: 61018555, dt: 21345, ENC_DEG: 50.65, REF:  0.00, VEL_RAW:  4.12, VEL_AVG:  0.10, I: -14.17, D:  0.45, VEL_OUT: -24.76, MS_MPC: 29416.71, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.12, gy: -0.61, gz: -0.24, OX: -0.01
1746004637.5696168 N:   72, t: 61035789, dt: 17234, ENC_DEG: 50.63, REF:  0.00, VEL_RAW: -1.28, VEL_AVG: -0.10, I: -14.27, D: -0.00, VEL_OUT: -29.54, MS_MPC: 29415.50, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.12, gy: -0.43, gz: -0.24, OX: -0.03
1746004637.575588  N:   73, t: 61057242, dt: 21453, ENC_DEG: 50.65, REF:  0.00, VEL_RAW:  1.02, VEL_AVG: -0.10, I: -14.37, D: -0.01, VEL_OUT: -29.83, MS_MPC: 29416.71, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.12, gy: -0.18, gz:  0.31, OX: -0.00
1746004637.5803761 N:   74, t: 61082269, dt: 25027, ENC_DEG: 50.56, REF:  0.00, VEL_RAW: -3.51, VEL_AVG: -0.11, I: -14.48, D: -0.01, VEL_OUT: -30.20, MS_MPC: 29411.84, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.06, gz:  0.49, OX:  0.06
1746004637.6271975 N:   75, t: 61097115, dt: 14846, ENC_DEG: 50.67, REF:  0.00, VEL_RAW:  7.40, VEL_AVG:  0.50, I: -14.99, D: -0.39, VEL_OUT: -38.90, MS_MPC: 29417.91, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.06, gz:  0.12, OX:  0.01
1746004637.633202  N:   76, t: 61117391, dt: 20276, ENC_DEG: 50.65, REF:  0.00, VEL_RAW: -1.08, VEL_AVG:  0.32, I: -15.31, D:  0.18, VEL_OUT: -31.99, MS_MPC: 29416.71, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.06, gy: -0.31, gz: -0.06, OX: -0.02
1746004637.6396847 N:   77, t: 61138548, dt: 21157, ENC_DEG: 50.65, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.32, I: -15.63, D:  0.00, VEL_OUT: -34.46, MS_MPC: 29416.71, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.06, gy: -0.55, gz: -0.12, OX: -0.02
1746004637.6879532 N:   78, t: 61157777, dt: 19229, ENC_DEG: 50.67, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.13, I: -15.76, D:  0.19, VEL_OUT: -30.90, MS_MPC: 29417.91, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.18, gy:  0.00, gz:  0.24, OX: -0.00
1746004637.7468364 N:   79, t: 61175754, dt: 17977, ENC_DEG: 50.65, REF:  0.00, VEL_RAW: -1.22, VEL_AVG:  0.29, I: -16.04, D: -0.16, VEL_OUT: -36.53, MS_MPC: 29416.71, ax: -0.01, ay: -0.00, az:  1.00, gx: -0.24, gy:  0.06, gz:  0.24, OX:  0.04
1746004637.7522707 N:   80, t: 61196919, dt: 21165, ENC_DEG: 50.63, REF:  0.00, VEL_RAW: -1.04, VEL_AVG:  0.01, I: -16.05, D:  0.28, VEL_OUT: -29.45, MS_MPC: 29415.50, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.37, gy:  0.06, gz:  0.12, OX:  0.00
1746004637.7583728 N:   81, t: 61222691, dt: 25772, ENC_DEG: 50.69, REF:  0.00, VEL_RAW:  2.56, VEL_AVG:  0.31, I: -16.37, D: -0.30, VEL_OUT: -38.89, MS_MPC: 29419.12, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.24, gy: -0.18, gz:  0.06, OX:  0.03
1746004637.764334  N:   82, t: 61237952, dt: 15261, ENC_DEG: 50.65, REF:  0.00, VEL_RAW: -2.88, VEL_AVG:  0.44, I: -16.80, D: -0.12, VEL_OUT: -39.20, MS_MPC: 29416.71, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.37, gy: -0.12, gz: -0.43, OX:  0.00
1746004637.8081143 N:   84, t: 61278237, dt: 22230, ENC_DEG: 50.60, REF:  0.00, VEL_RAW: -0.99, VEL_AVG:  0.02, I: -16.83, D: -0.01, VEL_OUT: -33.88, MS_MPC: 29414.28, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.18, gy: -0.06, gz:  0.18, OX:  0.01
1746004637.81318   N:   85, t: 61297590, dt: 19353, ENC_DEG: 50.69, REF:  0.00, VEL_RAW:  4.54, VEL_AVG:  0.31, I: -17.14, D: -0.29, VEL_OUT: -40.29, MS_MPC: 29419.12, ax: -0.01, ay:  0.00, az:  1.00, gx: -0.18, gy: -0.24, gz:  0.12, OX: -0.01
1746004637.8191674 N:   86, t: 61316799, dt: 19209, ENC_DEG: 50.60, REF:  0.00, VEL_RAW: -4.58, VEL_AVG:  0.22, I: -17.36, D:  0.09, VEL_OUT: -36.02, MS_MPC: 29414.28, ax: -0.01, ay:  0.00, az:  1.00, gx:  0.06, gy: -0.43, gz: -0.06, OX: -0.02
1746004637.86861   N:   87, t: 61335850, dt: 19051, ENC_DEG: 50.67, REF:  0.00, VEL_RAW:  3.46, VEL_AVG: -0.11, I: -17.46, D:  0.11, VEL_OUT: -34.90, MS_MPC: 29417.91, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.49, gz: -0.24, OX: -0.36
1746004637.8741274 N:   88, t: 61357230, dt: 21380, ENC_DEG: 50.63, REF:  0.00, VEL_RAW: -2.06, VEL_AVG: -0.19, I: -17.65, D: -0.08, VEL_OUT: -38.01, MS_MPC: 29415.50, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.00, gy: -0.61, gz: -0.06, OX: -0.02
1746004637.880629  N:   89, t: 61377329, dt: 20099, ENC_DEG: 50.67, REF:  0.00, VEL_RAW:  2.19, VEL_AVG: -0.01, I: -17.66, D:  0.18, VEL_OUT: -33.57, MS_MPC: 29417.91, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.73, gz: -0.18, OX: -0.07
1746004637.927829  N:   90, t: 61396604, dt: 19275, ENC_DEG: 50.63, REF:  0.00, VEL_RAW: -2.28, VEL_AVG: -0.29, I: -17.95, D: -0.28, VEL_OUT: -41.68, MS_MPC: 29415.50, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.12, gy: -0.73, gz: -0.24, OX: -0.01
1746004637.934176  N:   91, t: 61415871, dt: 19267, ENC_DEG: 50.60, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.29, I: -18.24, D:  0.01, VEL_OUT: -39.27, MS_MPC: 29414.28, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.06, gy: -0.55, gz:  0.00, OX:  0.00
1746004637.9403872 N:   92, t: 61436885, dt: 21014, ENC_DEG: 50.71, REF:  0.00, VEL_RAW:  5.23, VEL_AVG:  0.24, I: -18.48, D:  0.05, VEL_OUT: -38.83, MS_MPC: 29420.33, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.24, gy: -0.31, gz:  0.49, OX:  0.04
1746004637.9877603 N:   93, t: 61457243, dt: 20358, ENC_DEG: 50.60, REF:  0.00, VEL_RAW: -5.40, VEL_AVG: -0.43, I: -18.90, D: -0.19, VEL_OUT: -43.96, MS_MPC: 29414.28, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.24, gy: -0.18, gz:  0.18, OX: -0.03
1746004637.9935162 N:   94, t: 61476537, dt: 19294, ENC_DEG: 50.67, REF:  0.00, VEL_RAW:  3.42, VEL_AVG:  0.10, I: -19.00, D:  0.33, VEL_OUT: -35.70, MS_MPC: 29417.91, ax: -0.01, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.49, gz: -0.12, OX:  0.00
