1746004861.1974282 N:   43, t: 45147979, dt: 16172, ENC_DEG: 54.03, REF:  0.00, VEL_RAW:  1.36, VEL_AVG:  0.23, I: -8.58, D: -0.01, VEL_OUT: -19.64, MS_MPC: 29562.28, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.43, gy:  0.18, gz: -0.24, OX: -0.01
1746004861.2034113 N:   44, t: 45166170, dt: 18191, ENC_DEG: 54.01, REF:  0.00, VEL_RAW: -1.21, VEL_AVG: -0.13, I: -8.71, D:  0.11, VEL_OUT: -17.61, MS_MPC: 29561.61, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.49, gy:  0.43, gz: -0.06, OX: -0.03
1746004861.2502875 N:   45, t: 45186422, dt: 20252, ENC_DEG: 54.03, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.26, I: -8.97, D: -0.14, VEL_OUT: -21.91, MS_MPC: 29562.28, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.31, gy:  1.04, gz:  0.79, OX:  0.04
1746004861.256271  N:   46, t: 45209385, dt: 22963, ENC_DEG: 54.03, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.09, I: -9.06, D:  0.17, VEL_OUT: -17.27, MS_MPC: 29562.28, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.49, gy:  0.67, gz:  0.43, OX:  0.02
1746004861.30801   N:   47, t: 45228664, dt: 19279, ENC_DEG: 54.01, REF:  0.00, VEL_RAW: -1.14, VEL_AVG:  0.17, I: -9.23, D: -0.08, VEL_OUT: -21.01, MS_MPC: 29561.61, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.67, gy:  0.31, gz:  0.06, OX:  0.02
1746004861.3140023 N:   48, t: 45249397, dt: 20733, ENC_DEG: 54.01, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.01, I: -9.24, D:  0.16, VEL_OUT: -16.97, MS_MPC: 29561.61, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.98, gy:  0.06, gz: -0.67, OX: -0.05
1746004861.3199768 N:   49, t: 45267636, dt: 18239, ENC_DEG: 54.01, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.01, I: -9.25, D:  0.00, VEL_OUT: -18.61, MS_MPC: 29561.61, ax:  0.00, ay: -0.00, az:  0.99, gx:  0.92, gy:  0.18, gz: -0.85, OX: -0.02
1746004861.3259609 N:   50, t: 45286435, dt: 18799, ENC_DEG: 54.05, REF:  0.00, VEL_RAW:  2.34, VEL_AVG:  0.02, I: -9.27, D: -0.01, VEL_OUT: -18.82, MS_MPC: 29562.94, ax:  0.00, ay: -0.00, az:  0.99, gx:  0.73, gy:  0.18, gz: -0.61, OX:  0.00
1746004861.370525  N:   51, t: 45306729, dt: 20294, ENC_DEG: 53.99, REF:  0.00, VEL_RAW: -3.25, VEL_AVG: -0.15, I: -9.42, D: -0.13, VEL_OUT: -21.67, MS_MPC: 29560.93, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.73, gy:  0.31, gz: -0.06, OX:  0.01
1746004861.376509  N:   52, t: 45328081, dt: 21352, ENC_DEG: 53.99, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.15, I: -9.57, D:  0.00, VEL_OUT: -20.65, MS_MPC: 29560.93, ax: -0.00, ay:  0.00, az:  1.01, gx:  0.43, gy:  0.18, gz: -0.31, OX: -0.03
