1746521239.3242724 N:   60, t: 25155352, dt: 18244, ENC_DEG: 49.66, REF:  0.00, VEL_RAW:  1.20, VEL_AVG: -0.02, I: -14.72, D:  0.01, VEL_OUT: -29.58, MS_MPC: 29358.95, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.24, gy:  0.00, gz: -0.24, OX: -0.04
1746521239.3782916 N:   61, t: 25174534, dt: 19182, ENC_DEG: 49.62, REF:  0.00, VEL_RAW: -2.29, VEL_AVG: -0.37, I: -15.09, D: -0.35, VEL_OUT: -37.43, MS_MPC: 29356.23, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.06, gy:  0.24, gz:  0.31, OX: -0.06
1746521239.385311  N:   62, t: 25199632, dt: 25098, ENC_DEG: 49.57, REF:  0.00, VEL_RAW: -1.75, VEL_AVG: -0.10, I: -15.19, D:  0.28, VEL_OUT: -28.60, MS_MPC: 29353.49, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.31, gy:  0.49, gz:  0.49, OX:  0.03
1746521239.3902652 N:   64, t: 25235886, dt: 21883, ENC_DEG: 49.62, REF:  0.00, VEL_RAW: -4.02, VEL_AVG:  0.43, I: -16.19, D:  0.15, VEL_OUT: -35.18, MS_MPC: 29356.23, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.61, gy:  0.31, gz:  0.55, OX:  0.02
1746521239.4379525 N:   65, t: 25253372, dt: 17486, ENC_DEG: 49.66, REF:  0.00, VEL_RAW:  2.51, VEL_AVG:  0.38, I: -16.57, D:  0.05, VEL_OUT: -36.37, MS_MPC: 29358.95, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.43, gy:  0.49, gz:  0.12, OX: -0.00
1746521239.4439282 N:   67, t: 25293156, dt: 13541, ENC_DEG: 49.66, REF:  0.00, VEL_RAW: -3.25, VEL_AVG:  0.20, I: -17.10, D:  0.12, VEL_OUT: -35.05, MS_MPC: 29358.95, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.18, gy:  0.31, gz: -0.18, OX: -0.07
1746521239.4489145 N:   68, t: 25314020, dt: 20864, ENC_DEG: 49.64, REF:  0.00, VEL_RAW: -1.05, VEL_AVG:  0.22, I: -17.32, D: -0.02, VEL_OUT: -37.09, MS_MPC: 29357.59, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.06, gy: -0.06, gz: -0.24, OX: -0.01
1746521239.454894  N:   69, t: 25334275, dt: 20255, ENC_DEG: 49.70, REF:  0.00, VEL_RAW:  3.25, VEL_AVG:  0.50, I: -17.82, D: -0.27, VEL_OUT: -43.31, MS_MPC: 29361.65, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.06, gy:  0.12, gz: -0.31, OX: -0.02
1746521239.4608796 N:   70, t: 25356109, dt: 21834, ENC_DEG: 49.64, REF:  0.00, VEL_RAW: -3.02, VEL_AVG:  0.03, I: -17.85, D:  0.47, VEL_OUT: -31.35, MS_MPC: 29357.59, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.18, gy:  0.06, gz: -0.06, OX:  0.00
1746521239.5589685 N:   71, t: 25373142, dt: 17033, ENC_DEG: 49.64, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.20, I: -18.05, D: -0.17, VEL_OUT: -39.87, MS_MPC: 29357.59, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.00, gy:  0.00, gz:  0.06, OX:  0.01
1746521239.5649636 N:   72, t: 25394063, dt: 20921, ENC_DEG: 49.66, REF:  0.00, VEL_RAW:  1.05, VEL_AVG:  0.19, I: -18.24, D:  0.01, VEL_OUT: -38.27, MS_MPC: 29358.95, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.06, gz: -0.12, OX:  0.03
1746521239.5721982 N:   73, t: 25412969, dt: 18906, ENC_DEG: 49.66, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.38, I: -18.63, D: -0.19, VEL_OUT: -42.98, MS_MPC: 29358.95, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.12, gy:  0.06, gz:  0.00, OX: -0.05
1746521239.5772913 N:   74, t: 25433064, dt: 20095, ENC_DEG: 49.70, REF:  0.00, VEL_RAW:  2.19, VEL_AVG:  0.71, I: -19.34, D: -0.33, VEL_OUT: -49.05, MS_MPC: 29361.65, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.12, gy:  0.12, gz:  0.31, OX:  0.02
1746521239.5842414 N:   76, t: 25477649, dt: 22341, ENC_DEG: 49.62, REF:  0.00, VEL_RAW: -0.98, VEL_AVG: -0.05, I: -19.69, D:  0.25, VEL_OUT: -37.33, MS_MPC: 29356.23, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.31, gy:  0.12, gz:  0.18, OX:  0.00
1746521239.6209748 N:   77, t: 25493650, dt: 16001, ENC_DEG: 49.68, REF:  0.00, VEL_RAW:  4.12, VEL_AVG:  0.09, I: -19.77, D: -0.04, VEL_OUT: -40.76, MS_MPC: 29360.30, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.06, gy:  0.06, gz:  0.31, OX: -0.02
1746521239.6265051 N:   78, t: 25518626, dt: 24976, ENC_DEG: 49.68, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.05, I: -19.83, D:  0.03, VEL_OUT: -39.89, MS_MPC: 29360.30, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.18, gy:  0.24, gz:  0.37, OX:  0.02
1746521239.681343  N:   79, t: 25533048, dt: 14422, ENC_DEG: 49.64, REF:  0.00, VEL_RAW: -3.05, VEL_AVG: -0.04, I: -19.86, D:  0.02, VEL_OUT: -39.94, MS_MPC: 29357.59, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.00, gy:  0.24, gz:  0.12, OX: -0.07
1746521239.686341  N:   80, t: 25557387, dt: 24339, ENC_DEG: 49.62, REF:  0.00, VEL_RAW: -0.90, VEL_AVG: -0.03, I: -19.89, D:  0.01, VEL_OUT: -39.91, MS_MPC: 29356.23, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.12, gy: -0.18, gz: -0.12, OX:  0.03
1746521239.6926415 N:   81, t: 25576637, dt: 19250, ENC_DEG: 49.68, REF:  0.00, VEL_RAW:  3.42, VEL_AVG: -0.01, I: -19.90, D:  0.01, VEL_OUT: -39.77, MS_MPC: 29360.30, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.06, gz: -0.24, OX: -0.11
1746521239.699473  N:   82, t: 25596394, dt: 19757, ENC_DEG: 49.62, REF:  0.00, VEL_RAW: -3.34, VEL_AVG: -0.04, I: -19.94, D: -0.03, VEL_OUT: -40.52, MS_MPC: 29356.23, ax:  0.01, ay: -0.00, az:  1.01, gx: -0.12, gy:  0.06, gz:  0.18, OX:  0.02
1746521239.7405248 N:   83, t: 25613117, dt: 16723, ENC_DEG: 49.62, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.04, I: -19.98, D:  0.00, VEL_OUT: -40.33, MS_MPC: 29356.23, ax:  0.01, ay: -0.00, az:  1.01, gx: -0.31, gy:  0.18, gz:  0.24, OX:  0.05
1746521239.747684  N:   84, t: 25633350, dt: 20233, ENC_DEG: 49.64, REF:  0.00, VEL_RAW:  1.09, VEL_AVG: -0.03, I: -20.01, D:  0.00, VEL_OUT: -40.34, MS_MPC: 29357.59, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.24, gy:  0.43, gz:  0.43, OX: -0.01
1746521239.856549  N:   85, t: 25656329, dt: 22979, ENC_DEG: 49.64, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.03, I: -20.04, D:  0.00, VEL_OUT: -40.44, MS_MPC: 29357.59, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.24, gy:  0.31, gz:  0.43, OX:  0.00
1746521239.8629067 N:   86, t: 25675368, dt: 19039, ENC_DEG: 49.68, REF:  0.00, VEL_RAW:  2.31, VEL_AVG: -0.02, I: -20.07, D:  0.01, VEL_OUT: -40.28, MS_MPC: 29360.30, ax:  0.00, ay:  0.00, az:  0.99, gx: -0.12, gy:  0.31, gz:  0.24, OX: -0.00
1746521239.8688908 N:   89, t: 25689267, dt: 3829, ENC_DEG: 49.73, REF:  0.00, VEL_RAW: 22.95, VEL_AVG:  0.40, I: -20.07, D:  0.01, VEL_OUT: -40.28, MS_MPC: 29360.30, ax:  0.00, ay:  0.00, az:  0.99, gx: -0.12, gy:  0.31, gz:  0.24, OX: -0.00
1746521239.8748744 N:   91, t: 25717591, dt: 2747, ENC_DEG: 49.33, REF:  0.00, VEL_RAW:  8.00, VEL_AVG: -0.04, I: -20.07, D:  0.01, VEL_OUT: -40.28, MS_MPC: 29360.30, ax:  0.00, ay:  0.00, az:  0.99, gx: -0.12, gy:  0.31, gz:  0.24, OX: -0.00
1746521239.917426  N:   92, t: 25769253, dt: 51662, ENC_DEG: 48.49, REF:  0.00, VEL_RAW: -16.16, VEL_AVG: -1.32, I: -20.07, D:  0.01, VEL_OUT: -40.28, MS_MPC: 29360.30, ax:  0.00, ay:  0.00, az:  0.99, gx: -0.12, gy:  0.31, gz:  0.24, OX: -0.00
1746521239.9236572 N:   93, t: 25772204, dt: 2951, ENC_DEG: 48.49, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -1.60, I: -20.07, D:  0.01, VEL_OUT: -40.28, MS_MPC: 29360.30, ax:  0.00, ay:  0.00, az:  0.99, gx: -0.12, gy:  0.31, gz:  0.24, OX: -0.00
1746521239.9294348 N:   94, t: 25777415, dt: 5211, ENC_DEG: 48.49, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -1.32, I: -20.07, D:  0.01, VEL_OUT: -40.28, MS_MPC: 29360.30, ax:  0.00, ay:  0.00, az:  0.99, gx: -0.12, gy:  0.31, gz:  0.24, OX: -0.00
1746521239.9354355 N:   95, t: 25780274, dt: 2859, ENC_DEG: 48.34, REF:  0.00, VEL_RAW: -53.78, VEL_AVG: -5.80, I: -20.07, D:  0.01, VEL_OUT: -40.28, MS_MPC: 29360.30, ax:  0.00, ay:  0.00, az:  0.99, gx: -0.12, gy:  0.31, gz:  0.24, OX: -0.00
1746521239.9409673 N:  101, t: 25803654, dt: 3691, ENC_DEG: 48.01, REF:  0.00, VEL_RAW: -17.86, VEL_AVG: -12.86, I: -20.07, D:  0.01, VEL_OUT: -40.28, MS_MPC: 29360.30, ax:  0.00, ay:  0.00, az:  0.99, gx: -0.12, gy:  0.31, gz:  0.24, OX: -0.00
1746521239.9469755 N:  102, t: 25832133, dt: 28479, ENC_DEG: 47.73, REF:  0.00, VEL_RAW: -10.03, VEL_AVG: -12.34, I: -20.07, D:  0.01, VEL_OUT: -40.28, MS_MPC: 29360.30, ax:  0.00, ay:  0.00, az:  0.99, gx: -0.12, gy:  0.31, gz:  0.24, OX: -0.00
1746521239.9529681 N:  103, t: 25835128, dt: 2995, ENC_DEG: 47.66, REF:  0.00, VEL_RAW: -22.01, VEL_AVG: -14.84, I: -20.07, D:  0.01, VEL_OUT: -40.28, MS_MPC: 29360.30, ax:  0.00, ay:  0.00, az:  0.99, gx: -0.12, gy:  0.31, gz:  0.24, OX: -0.00
