1746520300.0855474 N:   61, t: 88644113, dt: 39601, ENC_DEG: 12.37, REF:  0.00, VEL_RAW:  1.66, VEL_AVG:  0.30, I: -8.79, D: -0.15, VEL_OUT: -22.06, MS_MPC: 23783.61, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.12, gy: -0.34, gz: -0.43, OX:  0.04
1746520300.0915656 N:   64, t: 88708836, dt: 23402, ENC_DEG: 12.28, REF:  0.00, VEL_RAW: -1.88, VEL_AVG:  0.07, I: -9.01, D:  0.01, VEL_OUT: -18.59, MS_MPC: 23764.76, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.00, gy: -0.09, gz:  0.00, OX:  0.05
1746520300.1855972 N:   65, t: 88727719, dt: 18883, ENC_DEG: 12.31, REF:  0.00, VEL_RAW:  1.16, VEL_AVG: -0.04, I: -9.05, D:  0.03, VEL_OUT: -18.22, MS_MPC: 23769.47, ax:  0.00, ay:  0.00, az:  1.01, gx:  0.06, gy: -0.15, gz: -0.37, OX: -0.05
1746520300.249576  N:   66, t: 88744901, dt: 17182, ENC_DEG: 12.31, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.24, I: -9.30, D: -0.20, VEL_OUT: -23.01, MS_MPC: 23769.47, ax:  0.00, ay:  0.00, az:  1.01, gx:  0.18, gy: -0.52, gz: -0.79, OX: -0.02
1746520300.308976  N:   67, t: 88766501, dt: 21600, ENC_DEG: 12.26, REF:  0.00, VEL_RAW: -2.03, VEL_AVG: -0.32, I: -9.62, D: -0.08, VEL_OUT: -23.24, MS_MPC: 23760.04, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.27, gz: -0.73, OX: -0.01
1746520300.3149617 N:   68, t: 88784791, dt: 18290, ENC_DEG: 12.35, REF:  0.00, VEL_RAW:  4.81, VEL_AVG:  0.18, I: -9.79, D:  0.15, VEL_OUT: -19.89, MS_MPC: 23778.90, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.18, gy: -0.27, gz: -0.61, OX:  0.05
1746520300.320949  N:   70, t: 88824373, dt: 19207, ENC_DEG: 12.31, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.10, I: -9.98, D: -0.02, VEL_OUT: -21.20, MS_MPC: 23769.47, ax:  0.00, ay: -0.00, az:  1.01, gx: -0.18, gy: -0.09, gz: -0.67, OX: -0.02
1746520300.3269298 N:   73, t: 88885219, dt: 21371, ENC_DEG: 12.31, REF:  0.00, VEL_RAW: -1.03, VEL_AVG: -0.12, I: -10.58, D: -0.01, VEL_OUT: -22.48, MS_MPC: 23769.47, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.61, gy: -0.03, gz: -0.18, OX:  0.03
1746520300.331915  N:   76, t: 88943787, dt: 19438, ENC_DEG: 12.33, REF:  0.00, VEL_RAW:  1.13, VEL_AVG:  0.25, I: -10.94, D: -0.25, VEL_OUT: -26.86, MS_MPC: 23774.19, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.18, gy:  0.34, gz:  0.00, OX: -0.01
1746520300.369684  N:   77, t: 88964109, dt: 20322, ENC_DEG: 12.28, REF:  0.00, VEL_RAW: -2.16, VEL_AVG: -0.03, I: -10.96, D:  0.22, VEL_OUT: -19.97, MS_MPC: 23764.76, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.18, gy:  0.27, gz:  0.18, OX:  0.00
