1746520396.3777258 N:   51, t: 28769967, dt: 21575, ENC_DEG: 52.63, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.17, I: -10.13, D: -0.12, VEL_OUT: -23.19, MS_MPC: 29511.94, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.31, gy: -0.79, gz: -1.22, OX: -0.04
1746520396.4315846 N:   52, t: 28788233, dt: 18266, ENC_DEG: 52.60, REF:  0.00, VEL_RAW: -1.20, VEL_AVG: -0.17, I: -10.29, D:  0.01, VEL_OUT: -22.17, MS_MPC: 29511.04, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.31, gz: -0.24, OX: -0.01
1746520396.437566  N:   53, t: 28809034, dt: 20801, ENC_DEG: 52.58, REF:  0.00, VEL_RAW: -1.06, VEL_AVG: -0.25, I: -10.55, D: -0.09, VEL_OUT: -24.51, MS_MPC: 29510.13, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.37, gy:  0.06, gz:  0.73, OX:  0.01
1746520396.4435503 N:   54, t: 28827264, dt: 18230, ENC_DEG: 52.58, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.01, I: -10.55, D:  0.25, VEL_OUT: -18.67, MS_MPC: 29510.13, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.31, gy:  0.00, gz:  0.85, OX:  0.05
1746520396.6084385 N:   55, t: 28850246, dt: 22982, ENC_DEG: 52.54, REF:  0.00, VEL_RAW: -1.91, VEL_AVG: -0.19, I: -10.74, D: -0.18, VEL_OUT: -25.19, MS_MPC: 29508.30, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.12, gy: -0.49, gz: -0.31, OX: -0.01
1746520396.6144226 N:   56, t: 28868730, dt: 18484, ENC_DEG: 52.54, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.19, I: -10.93, D:  0.00, VEL_OUT: -23.74, MS_MPC: 29508.30, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.12, gy: -0.61, gz: -0.37, OX:  0.02
1746520396.620409  N:   57, t: 28888952, dt: 20222, ENC_DEG: 52.54, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.28, I: -11.21, D: -0.09, VEL_OUT: -26.19, MS_MPC: 29508.30, ax:  0.01, ay:  0.01, az:  1.01, gx: -0.12, gy: -0.73, gz: -1.10, OX: -0.02
1746520396.6273892 N:   58, t: 28913238, dt: 24286, ENC_DEG: 52.63, REF:  0.00, VEL_RAW:  3.62, VEL_AVG: -0.21, I: -11.42, D:  0.08, VEL_OUT: -24.11, MS_MPC: 29511.94, ax:  0.01, ay:  0.00, az:  1.01, gx:  0.12, gy: -0.73, gz: -0.98, OX: -0.02
1746520396.6333895 N:   62, t: 28988957, dt: 16997, ENC_DEG: 52.56, REF:  0.00, VEL_RAW: -1.29, VEL_AVG: -0.36, I: -12.14, D: -0.11, VEL_OUT: -28.96, MS_MPC: 29509.22, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.06, gz:  0.43, OX:  0.07
1746520396.6722677 N:   63, t: 29047694, dt: 58737, ENC_DEG: 52.56, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.36, I: -12.50, D:  0.00, VEL_OUT: -28.60, MS_MPC: 29509.22, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.06, gy: -0.18, gz: -1.04, OX: -0.01
1746520396.7289252 N:   64, t: 29067841, dt: 20147, ENC_DEG: 52.60, REF:  0.00, VEL_RAW:  2.18, VEL_AVG: -0.08, I: -12.58, D:  0.28, VEL_OUT: -23.12, MS_MPC: 29511.04, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.37, gz: -0.67, OX: -0.08
1746520396.7349098 N:   65, t: 29089486, dt: 21645, ENC_DEG: 52.56, REF:  0.00, VEL_RAW: -2.03, VEL_AVG: -0.16, I: -12.74, D: -0.08, VEL_OUT: -27.88, MS_MPC: 29509.22, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.06, gy: -0.18, gz: -0.43, OX: -0.03
1746520396.7408931 N:   66, t: 29110517, dt: 21031, ENC_DEG: 52.56, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.16, I: -12.90, D:  0.00, VEL_OUT: -27.39, MS_MPC: 29509.22, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.31, gy:  0.49, gz:  0.12, OX:  0.02
1746520396.7862024 N:   67, t: 29129348, dt: 18831, ENC_DEG: 52.58, REF:  0.00, VEL_RAW:  1.17, VEL_AVG:  0.10, I: -12.99, D:  0.06, VEL_OUT: -26.32, MS_MPC: 29510.13, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.37, gy:  0.24, gz:  0.00, OX:  0.01
1746520396.852027  N:   68, t: 29147811, dt: 18463, ENC_DEG: 52.56, REF:  0.00, VEL_RAW: -1.19, VEL_AVG: -0.00, I: -13.00, D:  0.09, VEL_OUT: -25.07, MS_MPC: 29509.22, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.49, gy: -0.06, gz: -0.24, OX:  0.01
1746520396.8580112 N:   69, t: 29169720, dt: 21909, ENC_DEG: 52.56, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.00, I: -13.00, D:  0.00, VEL_OUT: -26.02, MS_MPC: 29509.22, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.37, gy:  0.06, gz: -0.24, OX:  0.01
1746520396.8639946 N:   70, t: 29187697, dt: 17977, ENC_DEG: 52.60, REF:  0.00, VEL_RAW:  2.44, VEL_AVG: -0.10, I: -13.10, D: -0.10, VEL_OUT: -28.18, MS_MPC: 29511.04, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.24, gy:  0.18, gz: -0.06, OX: -0.02
1746520396.8699787 N:   71, t: 29208009, dt: 20312, ENC_DEG: 52.60, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.00, I: -13.10, D:  0.10, VEL_OUT: -25.21, MS_MPC: 29511.04, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.43, gy: -0.31, gz: -0.00, OX: -0.01
1746520396.9208436 N:   74, t: 29268867, dt: 21480, ENC_DEG: 52.60, REF:  0.00, VEL_RAW: -1.02, VEL_AVG:  0.22, I: -13.63, D: -0.02, VEL_OUT: -29.73, MS_MPC: 29511.04, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.31, gy:  0.31, gz:  0.61, OX:  0.05
1746520396.92184   N:   75, t: 29288287, dt: 19420, ENC_DEG: 52.63, REF:  0.00, VEL_RAW:  1.13, VEL_AVG:  0.32, I: -13.95, D: -0.09, VEL_OUT: -32.02, MS_MPC: 29511.94, ax:  0.02, ay:  0.01, az:  1.00, gx: -0.18, gy:  0.12, gz:  0.49, OX: -0.02
1746520396.9228384 N:   76, t: 29308525, dt: 20238, ENC_DEG: 52.58, REF:  0.00, VEL_RAW: -2.17, VEL_AVG: -0.04, I: -13.99, D:  0.27, VEL_OUT: -25.70, MS_MPC: 29510.13, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.18, gy: -0.24, gz:  0.43, OX: -0.01
1746520396.9713306 N:   77, t: 29329291, dt: 20766, ENC_DEG: 52.60, REF:  0.00, VEL_RAW:  1.06, VEL_AVG:  0.21, I: -14.21, D: -0.17, VEL_OUT: -32.22, MS_MPC: 29511.04, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.06, gy:  0.31, gz:  0.24, OX: -0.05
1746520397.0301814 N:   78, t: 29347603, dt: 18312, ENC_DEG: 52.58, REF:  0.00, VEL_RAW: -1.20, VEL_AVG:  0.11, I: -14.32, D:  0.10, VEL_OUT: -28.77, MS_MPC: 29510.13, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.49, gz:  0.55, OX:  0.06
1746520397.0361562 N:   79, t: 29368600, dt: 20997, ENC_DEG: 52.63, REF:  0.00, VEL_RAW:  2.09, VEL_AVG:  0.19, I: -14.51, D: -0.08, VEL_OUT: -31.69, MS_MPC: 29511.94, ax:  0.01, ay:  0.01, az:  0.99, gx:  0.24, gy:  0.24, gz: -0.06, OX:  0.02
1746520397.0421407 N:   80, t: 29392953, dt: 24353, ENC_DEG: 52.63, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.29, I: -14.80, D: -0.10, VEL_OUT: -33.48, MS_MPC: 29511.94, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.24, gy: -0.43, gz: -0.24, OX: -0.01
1746520397.2705052 N:   81, t: 29410017, dt: 17064, ENC_DEG: 52.60, REF:  0.00, VEL_RAW: -1.29, VEL_AVG:  0.18, I: -14.98, D:  0.11, VEL_OUT: -30.71, MS_MPC: 29511.04, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.24, gy: -0.31, gz:  0.00, OX: -0.06
1746520397.3302703 N:   83, t: 29451492, dt: 23514, ENC_DEG: 52.60, REF:  0.00, VEL_RAW:  1.87, VEL_AVG: -0.07, I: -15.28, D:  0.16, VEL_OUT: -29.69, MS_MPC: 29511.04, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.12, gy:  0.12, gz: -0.12, OX:  0.00
1746520397.3362541 N:   84, t: 29470621, dt: 19129, ENC_DEG: 52.60, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.07, I: -15.35, D:  0.00, VEL_OUT: -31.39, MS_MPC: 29511.04, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.37, gy:  0.06, gz: -0.24, OX: -0.01
1746520397.342253  N:   85, t: 29488688, dt: 18067, ENC_DEG: 52.65, REF:  0.00, VEL_RAW:  2.43, VEL_AVG:  0.04, I: -15.38, D:  0.03, VEL_OUT: -30.83, MS_MPC: 29512.84, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.61, gy: -0.06, gz: -0.49, OX: -0.02
1746520397.34822   N:   88, t: 29547320, dt: 17087, ENC_DEG: 52.63, REF:  0.00, VEL_RAW:  5.14, VEL_AVG:  0.16, I: -16.34, D:  0.28, VEL_OUT: -31.53, MS_MPC: 29511.94, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.24, gy:  0.31, gz: -0.31, OX:  0.05
1746520397.3542147 N:   90, t: 29733033, dt: 25058, ENC_DEG: 52.56, REF:  0.00, VEL_RAW: -1.75, VEL_AVG:  0.02, I: -16.43, D:  0.05, VEL_OUT: -32.58, MS_MPC: 29509.22, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.31, gz:  0.18, OX: -0.04
1746520397.3911068 N:   91, t: 29772619, dt: 39586, ENC_DEG: 52.58, REF:  0.00, VEL_RAW:  0.56, VEL_AVG: -0.11, I: -16.54, D: -0.09, VEL_OUT: -35.08, MS_MPC: 29510.13, ax: -0.02, ay:  0.01, az:  1.00, gx: -0.37, gy:  0.37, gz:  1.10, OX:  0.01
1746520397.4469566 N:   92, t: 29790687, dt: 18068, ENC_DEG: 52.65, REF:  0.00, VEL_RAW:  3.65, VEL_AVG:  0.19, I: -16.73, D: -0.09, VEL_OUT: -36.26, MS_MPC: 29512.84, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.73, gy:  0.49, gz:  0.73, OX:  0.14
1746520397.4529402 N:   93, t: 29812453, dt: 21766, ENC_DEG: 52.58, REF:  0.00, VEL_RAW: -3.03, VEL_AVG:  0.05, I: -16.78, D:  0.15, VEL_OUT: -32.61, MS_MPC: 29510.13, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.37, gy: -0.24, gz:  0.12, OX: -0.00
1746520397.4589243 N:   94, t: 29830694, dt: 18241, ENC_DEG: 52.58, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.25, I: -17.04, D: -0.20, VEL_OUT: -38.64, MS_MPC: 29510.13, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.31, gy: -0.43, gz: -0.73, OX: -0.07
