1746520895.6919565 N:   51, t: 29006367, dt: 20126, ENC_DEG: 11.23, REF:  0.00, VEL_RAW: -3.28, VEL_AVG:  0.38, I: -9.70, D:  0.27, VEL_OUT: -20.47, MS_MPC: 23537.02, ax: -0.05, ay:  0.04, az:  1.00, gx: -0.89, gy: -2.14, gz:  2.96, OX: -0.04
1746520895.6988134 N:   52, t: 29026552, dt: 20185, ENC_DEG: 11.30, REF:  0.00, VEL_RAW:  3.27, VEL_AVG:  0.73, I: -10.43, D: -0.35, VEL_OUT: -31.65, MS_MPC: 23551.34, ax: -0.06, ay:  0.04, az:  1.01, gx: -1.56, gy: -2.99, gz:  0.27, OX: -0.03
1746520895.7048216 N:   53, t: 29044724, dt: 18172, ENC_DEG: 11.23, REF:  0.00, VEL_RAW: -3.63, VEL_AVG:  0.43, I: -10.86, D:  0.30, VEL_OUT: -22.96, MS_MPC: 23537.02, ax: -0.06, ay:  0.04, az:  1.01, gx: -2.04, gy: -3.85, gz: -1.43, OX:  0.00
1746520895.7108083 N:   54, t: 29065089, dt: 20365, ENC_DEG: 11.27, REF:  0.00, VEL_RAW:  2.16, VEL_AVG:  0.61, I: -11.47, D: -0.18, VEL_OUT: -30.79, MS_MPC: 23546.57, ax: -0.04, ay:  0.03, az:  1.01, gx: -2.29, gy: -4.64, gz: -3.20, OX:  0.25
1746520895.718849  N:   55, t: 29086527, dt: 21438, ENC_DEG: 11.27, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.32, I: -11.78, D:  0.29, VEL_OUT: -23.88, MS_MPC: 23546.57, ax: -0.03, ay:  0.00, az:  1.03, gx: -2.11, gy: -6.16, gz: -3.94, OX: -0.28
1746520895.8121548 N:   56, t: 29105865, dt: 19338, ENC_DEG: 11.23, REF:  0.00, VEL_RAW: -2.27, VEL_AVG: -0.02, I: -11.81, D:  0.30, VEL_OUT: -20.87, MS_MPC: 23537.02, ax: -0.03, ay: -0.01, az:  1.04, gx: -2.29, gy: -6.71, gz: -2.53, OX: -0.07
1746520895.8733633 N:   57, t: 29125655, dt: 19790, ENC_DEG: 11.25, REF:  0.00, VEL_RAW:  1.11, VEL_AVG: -0.04, I: -11.85, D: -0.02, VEL_OUT: -24.32, MS_MPC: 23541.79, ax: -0.03, ay: -0.01, az:  1.05, gx: -2.41, gy: -6.16, gz: -0.89, OX: -0.05
1746520895.8790183 N:   58, t: 29146045, dt: 20390, ENC_DEG: 11.23, REF:  0.00, VEL_RAW: -1.08, VEL_AVG: -0.32, I: -12.17, D: -0.28, VEL_OUT: -30.38, MS_MPC: 23537.02, ax: -0.03, ay:  0.00, az:  1.03, gx: -2.72, gy: -4.39, gz:  2.59, OX:  0.14
1746520895.8855445 N:   59, t: 29170671, dt: 24626, ENC_DEG: 11.21, REF:  0.00, VEL_RAW: -0.89, VEL_AVG: -0.48, I: -12.66, D: -0.16, VEL_OUT: -31.76, MS_MPC: 23532.24, ax: -0.02, ay:  0.01, az:  1.01, gx: -2.47, gy: -3.78, gz:  3.63, OX:  0.07
1746520895.8905652 N:   61, t: 29205252, dt: 17237, ENC_DEG: 11.23, REF:  0.00, VEL_RAW: -1.27, VEL_AVG: -0.08, I: -12.94, D:  0.12, VEL_OUT: -25.58, MS_MPC: 23537.02, ax: -0.04, ay: -0.01, az:  1.01, gx: -1.50, gy: -2.99, gz:  4.79, OX: -0.03
1746520895.9339736 N:   64, t: 29265090, dt: 19241, ENC_DEG: 11.21, REF:  0.00, VEL_RAW: -2.28, VEL_AVG: -0.38, I: -13.77, D: -0.29, VEL_OUT: -34.19, MS_MPC: 23532.24, ax: -0.06, ay:  0.02, az:  0.99, gx: -0.21, gy:  2.38, gz:  5.22, OX:  0.07
1746520895.940432  N:   65, t: 29287178, dt: 22088, ENC_DEG: 11.25, REF:  0.00, VEL_RAW:  1.99, VEL_AVG:  0.09, I: -13.86, D:  0.28, VEL_OUT: -25.82, MS_MPC: 23541.79, ax: -0.06, ay:  0.02, az:  1.00, gx:  0.52, gy:  3.60, gz:  4.79, OX: -0.01
1746520895.9458702 N:   66, t: 29306417, dt: 19239, ENC_DEG: 11.27, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.01, I: -13.87, D:  0.08, VEL_OUT: -26.97, MS_MPC: 23546.57, ax: -0.06, ay:  0.03, az:  1.00, gx:  0.76, gy:  5.19, gz:  4.79, OX:  0.08
1746520895.9518778 N:   67, t: 29325426, dt: 19009, ENC_DEG: 11.27, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.01, I: -13.88, D:  0.00, VEL_OUT: -27.84, MS_MPC: 23546.57, ax: -0.05, ay:  0.03, az:  1.00, gx:  0.89, gy:  6.35, gz:  4.49, OX:  0.01
1746520895.9966185 N:   68, t: 29350919, dt: 25493, ENC_DEG: 11.25, REF:  0.00, VEL_RAW: -0.86, VEL_AVG:  0.13, I: -14.01, D: -0.12, VEL_OUT: -30.44, MS_MPC: 23541.79, ax: -0.04, ay:  0.03, az:  1.00, gx:  1.19, gy:  6.65, gz:  3.45, OX: -0.01
1746520896.002619  N:   69, t: 29365110, dt: 14191, ENC_DEG: 11.23, REF:  0.00, VEL_RAW: -1.55, VEL_AVG: -0.10, I: -14.10, D:  0.03, VEL_OUT: -28.87, MS_MPC: 23537.02, ax: -0.04, ay:  0.02, az:  1.01, gx:  1.07, gy:  6.59, gz:  2.96, OX: -0.07
1746520896.055113  N:   70, t: 29385448, dt: 20338, ENC_DEG: 11.25, REF:  0.00, VEL_RAW:  1.08, VEL_AVG:  0.08, I: -14.18, D:  0.01, VEL_OUT: -29.08, MS_MPC: 23541.79, ax: -0.04, ay:  0.03, az:  1.01, gx:  0.27, gy:  6.96, gz:  2.59, OX:  0.11
1746520896.1138608 N:   71, t: 29410118, dt: 24670, ENC_DEG: 11.27, REF:  0.00, VEL_RAW:  0.89, VEL_AVG:  0.23, I: -14.42, D: -0.15, VEL_OUT: -32.64, MS_MPC: 23546.57, ax: -0.03, ay:  0.04, az:  1.00, gx: -0.21, gy:  6.29, gz:  2.04, OX:  0.08
1746520896.1198602 N:   72, t: 29426416, dt: 16298, ENC_DEG: 11.25, REF:  0.00, VEL_RAW: -1.35, VEL_AVG: -0.09, I: -14.51, D:  0.14, VEL_OUT: -28.52, MS_MPC: 23541.79, ax: -0.03, ay:  0.04, az:  0.99, gx: -0.21, gy:  4.70, gz:  0.03, OX:  0.02
1746520896.1247644 N:   73, t: 29445418, dt: 19002, ENC_DEG: 11.25, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.01, I: -14.52, D:  0.08, VEL_OUT: -28.43, MS_MPC: 23541.79, ax: -0.04, ay:  0.04, az:  0.99, gx: -0.21, gy:  3.23, gz: -0.82, OX: -0.02
1746520896.171658  N:   74, t: 29465847, dt: 20429, ENC_DEG: 11.25, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.10, I: -14.63, D: -0.09, VEL_OUT: -31.19, MS_MPC: 23541.79, ax: -0.05, ay:  0.03, az:  1.00, gx: -0.27, gy:  2.50, gz: -1.19, OX: -0.06
1746520896.177484  N:   76, t: 29506456, dt: 21300, ENC_DEG: 11.23, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.02, I: -14.82, D:  0.16, VEL_OUT: -28.25, MS_MPC: 23537.02, ax: -0.04, ay:  0.02, az:  1.01, gx: -0.40, gy:  0.49, gz: -1.25, OX: -0.05
1746520896.1834729 N:   77, t: 29525723, dt: 19267, ENC_DEG: 11.25, REF:  0.00, VEL_RAW:  1.14, VEL_AVG: -0.05, I: -14.87, D: -0.04, VEL_OUT: -30.64, MS_MPC: 23541.79, ax: -0.04, ay:  0.02, az:  1.03, gx: -0.40, gy: -1.10, gz: -1.56, OX: -0.03
1746520896.1902885 N:   78, t: 29546080, dt: 20357, ENC_DEG: 11.34, REF:  0.00, VEL_RAW:  4.32, VEL_AVG:  0.21, I: -15.08, D: -0.16, VEL_OUT: -33.85, MS_MPC: 23560.88, ax: -0.03, ay: -0.01, az:  1.04, gx: -0.64, gy: -2.01, gz: -1.13, OX: -0.12
1746520896.2362463 N:   79, t: 29569938, dt: 23858, ENC_DEG: 11.25, REF:  0.00, VEL_RAW: -3.68, VEL_AVG: -0.10, I: -15.18, D:  0.12, VEL_OUT: -30.17, MS_MPC: 23541.79, ax: -0.02, ay: -0.01, az:  1.04, gx: -0.95, gy: -1.89, gz:  0.52, OX: -0.04
1746520896.2422209 N:   80, t: 29588776, dt: 18838, ENC_DEG: 11.21, REF:  0.00, VEL_RAW: -2.33, VEL_AVG: -0.22, I: -15.40, D: -0.12, VEL_OUT: -34.20, MS_MPC: 23532.24, ax: -0.01, ay: -0.01, az:  1.03, gx: -1.43, gy: -1.77, gz:  2.17, OX: -0.01
1746520896.2482095 N:   81, t: 29607019, dt: 18243, ENC_DEG: 11.21, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.09, I: -15.49, D:  0.13, VEL_OUT: -30.58, MS_MPC: 23532.24, ax: -0.01, ay: -0.01, az:  1.02, gx: -1.25, gy: -1.40, gz:  5.04, OX:  0.01
1746520896.2551973 N:   82, t: 29625262, dt: 18243, ENC_DEG: 11.23, REF:  0.00, VEL_RAW:  1.20, VEL_AVG: -0.08, I: -15.57, D:  0.01, VEL_OUT: -31.82, MS_MPC: 23537.02, ax: -0.01, ay:  0.00, az:  1.00, gx: -0.76, gy: -0.79, gz:  6.26, OX:  0.13
1746520896.296412  N:   83, t: 29651087, dt: 25825, ENC_DEG: 11.21, REF:  0.00, VEL_RAW: -0.85, VEL_AVG: -0.22, I: -15.79, D: -0.15, VEL_OUT: -35.27, MS_MPC: 23532.24, ax: -0.02, ay:  0.02, az:  0.99, gx:  0.58, gy:  0.67, gz:  7.11, OX:  0.26
