1746521159.340111  N:   45, t: 25425384, dt: 21057, ENC_DEG: 53.86, REF:  0.00, VEL_RAW: -2.09, VEL_AVG:  0.08, I: -11.21, D:  0.03, VEL_OUT: -22.96, MS_MPC: 29556.80, ax:  0.01, ay: -0.01, az:  1.01, gx:  0.98, gy:  0.31, gz: -1.16, OX: -0.00
1746521159.3455248 N:   46, t: 25445350, dt: 19966, ENC_DEG: 53.90, REF:  0.00, VEL_RAW:  2.20, VEL_AVG: -0.16, I: -11.37, D: -0.08, VEL_OUT: -25.12, MS_MPC: 29558.20, ax:  0.01, ay: -0.01, az:  1.01, gx:  0.98, gy:  0.37, gz: -1.77, OX:  0.00
1746521159.3515093 N:   47, t: 25464292, dt: 18942, ENC_DEG: 53.94, REF:  0.00, VEL_RAW:  2.32, VEL_AVG:  0.42, I: -11.79, D: -0.26, VEL_OUT: -30.41, MS_MPC: 29559.57, ax:  0.01, ay: -0.01, az:  1.00, gx:  1.10, gy:  0.18, gz: -2.14, OX: -0.04
1746521159.4001138 N:   48, t: 25485730, dt: 21438, ENC_DEG: 53.83, REF:  0.00, VEL_RAW: -5.12, VEL_AVG: -0.01, I: -11.79, D:  0.41, VEL_OUT: -19.50, MS_MPC: 29556.11, ax:  0.01, ay: -0.02, az:  1.00, gx:  1.04, gy:  0.37, gz: -1.59, OX: -0.01
1746521159.405301  N:   49, t: 25503918, dt: 18188, ENC_DEG: 53.86, REF:  0.00, VEL_RAW:  1.21, VEL_AVG: -0.22, I: -12.02, D: -0.22, VEL_OUT: -28.43, MS_MPC: 29556.80, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.85, gy:  0.61, gz: -0.49, OX:  0.09
1746521159.4116302 N:   50, t: 25526398, dt: 22480, ENC_DEG: 53.90, REF:  0.00, VEL_RAW:  1.95, VEL_AVG:  0.23, I: -12.24, D: -0.00, VEL_OUT: -26.76, MS_MPC: 29558.20, ax:  0.02, ay: -0.01, az:  0.99, gx:  0.85, gy:  0.79, gz: -0.18, OX:  0.01
1746521159.4592452 N:   51, t: 25543985, dt: 17587, ENC_DEG: 53.92, REF:  0.00, VEL_RAW:  1.25, VEL_AVG:  0.24, I: -12.49, D: -0.02, VEL_OUT: -27.60, MS_MPC: 29558.88, ax:  0.02, ay: -0.00, az:  1.00, gx:  0.79, gy:  0.55, gz:  0.12, OX:  0.04
1746521159.4658773 N:   52, t: 25570339, dt: 26354, ENC_DEG: 53.86, REF:  0.00, VEL_RAW: -2.50, VEL_AVG:  0.04, I: -12.52, D:  0.21, VEL_OUT: -23.31, MS_MPC: 29556.80, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.49, gy:  0.55, gz:  0.00, OX:  0.07
1746521159.4721677 N:   53, t: 25585768, dt: 15429, ENC_DEG: 53.90, REF:  0.00, VEL_RAW:  2.85, VEL_AVG:  0.27, I: -12.79, D: -0.24, VEL_OUT: -30.69, MS_MPC: 29558.20, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.37, gy:  0.24, gz: -0.67, OX:  0.01
1746521159.51937   N:   54, t: 25605670, dt: 19902, ENC_DEG: 53.90, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.17, I: -12.96, D:  0.10, VEL_OUT: -26.57, MS_MPC: 29558.20, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.24, gy:  0.24, gz: -0.92, OX: -0.06
1746521159.5261204 N:   55, t: 25624677, dt: 19007, ENC_DEG: 53.90, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.08, I: -13.04, D:  0.09, VEL_OUT: -25.96, MS_MPC: 29558.20, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.06, gy: -0.06, gz: -1.22, OX: -0.05
1746521159.6416578 N:   56, t: 25646758, dt: 22081, ENC_DEG: 53.90, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.17, I: -13.21, D: -0.09, VEL_OUT: -29.10, MS_MPC: 29558.20, ax:  0.02, ay: -0.01, az:  0.99, gx: -0.43, gy: -0.37, gz: -1.04, OX: -0.07
1746521159.647487  N:   57, t: 25664672, dt: 17914, ENC_DEG: 53.86, REF:  0.00, VEL_RAW: -2.45, VEL_AVG:  0.14, I: -13.36, D:  0.03, VEL_OUT: -27.82, MS_MPC: 29556.80, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.37, gy: -0.55, gz: -0.92, OX: -0.01
1746521159.6534722 N:   58, t: 25684988, dt: 20316, ENC_DEG: 53.92, REF:  0.00, VEL_RAW:  3.24, VEL_AVG:  0.23, I: -13.58, D: -0.09, VEL_OUT: -30.33, MS_MPC: 29558.88, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.49, gy: -0.67, gz: -0.67, OX:  0.02
1746521159.6594913 N:   62, t: 25765752, dt: 19149, ENC_DEG: 53.88, REF:  0.00, VEL_RAW:  2.29, VEL_AVG:  0.03, I: -13.85, D: -0.03, VEL_OUT: -28.22, MS_MPC: 29557.51, ax:  0.02, ay: -0.03, az:  0.99, gx: -0.43, gy: -0.37, gz: -0.79, OX: -0.03
1746521159.6992326 N:   63, t: 25785016, dt: 19264, ENC_DEG: 53.88, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.08, I: -13.93, D: -0.05, VEL_OUT: -29.13, MS_MPC: 29557.51, ax:  0.03, ay: -0.02, az:  1.00, gx:  0.06, gy: -0.24, gz:  0.24, OX:  0.01
1746521159.7054698 N:   64, t: 25804671, dt: 19655, ENC_DEG: 53.88, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.13, I: -14.06, D: -0.05, VEL_OUT: -29.96, MS_MPC: 29557.51, ax:  0.02, ay: -0.02, az:  1.01, gx:  0.31, gy: -0.49, gz:  0.61, OX:  0.03
1746521159.7116868 N:   65, t: 25828128, dt: 23457, ENC_DEG: 53.86, REF:  0.00, VEL_RAW: -0.94, VEL_AVG: -0.18, I: -14.24, D: -0.05, VEL_OUT: -30.86, MS_MPC: 29556.80, ax:  0.02, ay: -0.02, az:  1.01, gx:  0.18, gy:  0.00, gz:  1.46, OX:  0.00
1746521159.759236  N:   66, t: 25844597, dt: 16469, ENC_DEG: 53.90, REF:  0.00, VEL_RAW:  2.67, VEL_AVG:  0.04, I: -14.28, D:  0.15, VEL_OUT: -27.48, MS_MPC: 29558.20, ax:  0.03, ay: -0.02, az:  1.01, gx: -0.37, gy:  0.31, gz:  2.01, OX: -0.01
1746521159.7652419 N:   67, t: 25863887, dt: 19290, ENC_DEG: 53.90, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.04, I: -14.32, D:  0.00, VEL_OUT: -29.02, MS_MPC: 29558.20, ax:  0.02, ay: -0.02, az:  0.99, gx: -0.49, gy:  0.43, gz:  3.05, OX:  0.04
1746521159.7723145 N:   68, t: 25883971, dt: 20084, ENC_DEG: 53.94, REF:  0.00, VEL_RAW:  2.19, VEL_AVG:  0.22, I: -14.54, D: -0.18, VEL_OUT: -33.10, MS_MPC: 29559.57, ax:  0.01, ay: -0.01, az:  0.98, gx: -0.61, gy:  0.55, gz:  3.91, OX:  0.13
1746521159.8212247 N:   69, t: 25905487, dt: 21516, ENC_DEG: 53.88, REF:  0.00, VEL_RAW: -3.06, VEL_AVG:  0.17, I: -14.71, D:  0.05, VEL_OUT: -30.60, MS_MPC: 29557.51, ax:  0.00, ay:  0.00, az:  0.99, gx: -0.24, gy:  0.37, gz:  3.30, OX:  0.10
1746521159.8272064 N:   70, t: 25925686, dt: 20199, ENC_DEG: 53.88, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.10, I: -14.81, D:  0.07, VEL_OUT: -29.94, MS_MPC: 29557.51, ax:  0.00, ay:  0.01, az:  0.99, gx: -0.18, gy: -0.06, gz:  1.89, OX:  0.04
1746521159.833185  N:   71, t: 25945656, dt: 19970, ENC_DEG: 53.90, REF:  0.00, VEL_RAW:  1.10, VEL_AVG:  0.08, I: -14.89, D:  0.02, VEL_OUT: -30.39, MS_MPC: 29558.20, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.12, gy: -0.92, gz: -0.18, OX: -0.05
1746521159.9383478 N:   72, t: 25964938, dt: 19282, ENC_DEG: 53.92, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.37, I: -15.26, D: -0.29, VEL_OUT: -37.03, MS_MPC: 29558.88, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.18, gy: -1.10, gz: -0.55, OX: -0.03
1746521159.9442976 N:   73, t: 25983961, dt: 19023, ENC_DEG: 53.88, REF:  0.00, VEL_RAW: -2.31, VEL_AVG:  0.26, I: -15.51, D:  0.11, VEL_OUT: -32.50, MS_MPC: 29557.51, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.37, gy: -1.16, gz: -0.67, OX: -0.01
1746521159.9502792 N:   74, t: 26005061, dt: 21100, ENC_DEG: 53.86, REF:  0.00, VEL_RAW: -1.04, VEL_AVG: -0.02, I: -15.53, D:  0.24, VEL_OUT: -28.92, MS_MPC: 29556.80, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.61, gy: -1.34, gz: -0.61, OX:  0.05
1746521159.9965656 N:   75, t: 26026669, dt: 21608, ENC_DEG: 53.88, REF:  0.00, VEL_RAW:  1.02, VEL_AVG:  0.06, I: -15.60, D: -0.04, VEL_OUT: -32.25, MS_MPC: 29557.51, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.43, gy: -1.71, gz: -0.98, OX: -0.02
1746521160.0025506 N:   77, t: 26068398, dt: 24419, ENC_DEG: 53.86, REF:  0.00, VEL_RAW:  0.90, VEL_AVG:  0.01, I: -15.75, D:  0.14, VEL_OUT: -30.12, MS_MPC: 29556.80, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.79, gy: -1.22, gz: -1.34, OX: -0.02
1746521160.0075357 N:   78, t: 26088645, dt: 20247, ENC_DEG: 53.90, REF:  0.00, VEL_RAW:  2.17, VEL_AVG: -0.04, I: -15.79, D: -0.03, VEL_OUT: -32.25, MS_MPC: 29558.20, ax:  0.00, ay: -0.00, az:  0.99, gx: -0.55, gy: -1.59, gz: -1.46, OX:  0.02
1746521160.0135207 N:   79, t: 26105907, dt: 17262, ENC_DEG: 53.86, REF:  0.00, VEL_RAW: -2.55, VEL_AVG: -0.25, I: -16.04, D: -0.21, VEL_OUT: -36.68, MS_MPC: 29556.80, ax:  0.01, ay: -0.00, az:  0.99, gx: -0.61, gy: -1.77, gz: -0.98, OX:  0.00
1746521160.0195043 N:   80, t: 26126159, dt: 20252, ENC_DEG: 53.90, REF:  0.00, VEL_RAW:  2.17, VEL_AVG: -0.25, I: -16.29, D: -0.00, VEL_OUT: -35.09, MS_MPC: 29558.20, ax: -0.00, ay:  0.01, az:  1.01, gx: -0.24, gy: -1.77, gz: -0.92, OX:  0.07
1746521160.1196003 N:   81, t: 26145324, dt: 19165, ENC_DEG: 53.83, REF:  0.00, VEL_RAW: -3.44, VEL_AVG: -0.28, I: -16.57, D: -0.03, VEL_OUT: -36.26, MS_MPC: 29556.11, ax: -0.01, ay: -0.00, az:  1.02, gx: -0.49, gy: -1.65, gz: -1.77, OX:  0.05
1746521160.1780956 N:   82, t: 26169064, dt: 23740, ENC_DEG: 53.86, REF:  0.00, VEL_RAW:  0.93, VEL_AVG: -0.20, I: -16.77, D:  0.08, VEL_OUT: -34.82, MS_MPC: 29556.80, ax: -0.00, ay: -0.00, az:  1.02, gx: -0.37, gy: -1.28, gz: -2.38, OX: -0.04
1746521160.2398403 N:   83, t: 26188196, dt: 19132, ENC_DEG: 53.90, REF:  0.00, VEL_RAW:  2.30, VEL_AVG: -0.10, I: -16.88, D:  0.10, VEL_OUT: -33.80, MS_MPC: 29558.20, ax:  0.01, ay: -0.01, az:  1.02, gx: -0.79, gy: -1.10, gz: -2.75, OX: -0.09
1746521160.245982  N:   86, t: 26245760, dt: 20343, ENC_DEG: 53.94, REF:  0.00, VEL_RAW:  3.24, VEL_AVG:  0.26, I: -17.52, D: -0.16, VEL_OUT: -39.24, MS_MPC: 29559.57, ax:  0.01, ay: -0.02, az:  1.00, gx: -0.67, gy:  0.98, gz:  0.92, OX:  0.02
1746521160.2523105 N:   87, t: 26265304, dt: 19544, ENC_DEG: 53.92, REF:  0.00, VEL_RAW: -1.12, VEL_AVG:  0.08, I: -17.60, D:  0.18, VEL_OUT: -34.23, MS_MPC: 29558.88, ax: -0.01, ay: -0.01, az:  1.00, gx: -0.18, gy:  1.10, gz:  1.28, OX:  0.13
