1746522374.9028037 N:   39, t: 26905909, dt: 20263, ENC_DEG: 65.30, REF:  0.00, VEL_RAW: -1.08, VEL_AVG:  0.06, I: -7.26, D: -0.04, VEL_OUT: -15.51, MS_MPC: 29323.19, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.67, gy: -0.24, gz: -0.06, OX: -0.00
1746522374.9087875 N:   40, t: 26925529, dt: 19620, ENC_DEG: 65.33, REF:  0.00, VEL_RAW:  1.12, VEL_AVG:  0.04, I: -7.31, D:  0.01, VEL_OUT: -14.94, MS_MPC: 29321.38, ax: -0.01, ay: -0.00, az:  1.01, gx:  0.73, gy:  0.06, gz:  0.85, OX:  0.07
1746522374.9157712 N:   41, t: 26948907, dt: 23378, ENC_DEG: 65.35, REF:  0.00, VEL_RAW:  0.94, VEL_AVG: -0.14, I: -7.45, D: -0.10, VEL_OUT: -17.35, MS_MPC: 29319.57, ax: -0.01, ay:  0.01, az:  1.01, gx:  0.06, gy:  0.55, gz:  1.40, OX:  0.07
1746522374.9227502 N:   42, t: 26966515, dt: 17608, ENC_DEG: 65.35, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.03, I: -7.48, D:  0.11, VEL_OUT: -14.14, MS_MPC: 29319.57, ax: -0.01, ay:  0.01, az:  1.00, gx: -0.43, gy:  0.49, gz:  1.46, OX: -0.02
1746522374.9586549 N:   43, t: 26987073, dt: 20558, ENC_DEG: 65.33, REF:  0.00, VEL_RAW: -1.07, VEL_AVG: -0.14, I: -7.62, D: -0.11, VEL_OUT: -17.66, MS_MPC: 29321.38, ax: -0.01, ay:  0.00, az:  1.00, gx: -0.55, gy:  0.12, gz:  1.10, OX: -0.02
1746522374.9656363 N:   44, t: 27008484, dt: 21411, ENC_DEG: 65.37, REF:  0.00, VEL_RAW:  2.05, VEL_AVG:  0.44, I: -8.06, D: -0.30, VEL_OUT: -23.53, MS_MPC: 29317.74, ax: -0.01, ay:  0.00, az:  1.00, gx: -0.61, gy:  0.12, gz:  1.10, OX: -0.01
1746522375.0184937 N:   45, t: 27027967, dt: 19483, ENC_DEG: 65.28, REF:  0.00, VEL_RAW: -4.50, VEL_AVG: -0.24, I: -8.30, D:  0.20, VEL_OUT: -17.04, MS_MPC: 29324.99, ax: -0.01, ay:  0.01, az:  0.99, gx: -0.67, gy:  0.00, gz:  0.67, OX:  0.07
1746522375.0244777 N:   46, t: 27046445, dt: 18478, ENC_DEG: 65.37, REF:  0.00, VEL_RAW:  4.76, VEL_AVG:  0.32, I: -8.62, D: -0.07, VEL_OUT: -21.12, MS_MPC: 29317.74, ax: -0.01, ay:  0.01, az:  0.99, gx: -0.43, gy: -0.18, gz:  0.37, OX:  0.02
1746522375.0312324 N:   47, t: 27070914, dt: 24469, ENC_DEG: 65.35, REF:  0.00, VEL_RAW: -0.90, VEL_AVG: -0.08, I: -8.69, D:  0.24, VEL_OUT: -15.82, MS_MPC: 29319.57, ax: -0.01, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.31, gz: -0.31, OX: -0.06
1746522375.0372152 N:   48, t: 27086135, dt: 15221, ENC_DEG: 65.33, REF:  0.00, VEL_RAW: -1.44, VEL_AVG: -0.20, I: -8.89, D: -0.12, VEL_OUT: -20.99, MS_MPC: 29321.38, ax: -0.01, ay:  0.00, az:  1.00, gx: -0.12, gy: -0.24, gz: -0.49, OX: -0.05
1746522375.0791037 N:   49, t: 27107186, dt: 21051, ENC_DEG: 65.33, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.10, I: -9.00, D:  0.10, VEL_OUT: -18.01, MS_MPC: 29321.38, ax: -0.01, ay: -0.01, az:  1.00, gx:  0.00, gy: -0.43, gz: -0.55, OX: -0.03
1746522375.0850887 N:   50, t: 27125263, dt: 18077, ENC_DEG: 65.37, REF:  0.00, VEL_RAW:  2.43, VEL_AVG:  0.19, I: -9.19, D: -0.09, VEL_OUT: -21.21, MS_MPC: 29317.74, ax: -0.01, ay: -0.01, az:  1.00, gx:  0.12, gy: -0.61, gz: -0.92, OX: -0.01
1746522375.1389797 N:   51, t: 27145699, dt: 20436, ENC_DEG: 65.35, REF:  0.00, VEL_RAW: -1.08, VEL_AVG:  0.19, I: -9.38, D: -0.00, VEL_OUT: -20.70, MS_MPC: 29319.57, ax: -0.00, ay: -0.01, az:  1.01, gx:  0.43, gy: -0.85, gz: -0.92, OX: -0.02
1746522375.1449637 N:   52, t: 27168909, dt: 23210, ENC_DEG: 65.33, REF:  0.00, VEL_RAW: -0.95, VEL_AVG:  0.02, I: -9.40, D:  0.17, VEL_OUT: -17.29, MS_MPC: 29321.38, ax: -0.00, ay: -0.01, az:  1.01, gx:  0.73, gy: -0.49, gz: -0.49, OX: -0.01
1746522375.150911  N:   53, t: 27186203, dt: 17294, ENC_DEG: 65.26, REF:  0.00, VEL_RAW: -3.81, VEL_AVG: -0.38, I: -9.78, D: -0.35, VEL_OUT: -26.85, MS_MPC: 29326.80, ax: -0.00, ay: -0.01, az:  1.01, gx:  1.04, gy: -0.43, gz: -0.31, OX:  0.00
1746522375.1977854 N:   54, t: 27206146, dt: 19943, ENC_DEG: 65.30, REF:  0.00, VEL_RAW:  2.20, VEL_AVG: -0.19, I: -9.97, D:  0.18, VEL_OUT: -20.01, MS_MPC: 29323.19, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.92, gy:  0.06, gz:  0.31, OX:  0.00
1746522375.2536736 N:   55, t: 27231169, dt: 25023, ENC_DEG: 65.30, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.10, I: -10.07, D:  0.09, VEL_OUT: -20.27, MS_MPC: 29323.19, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.61, gy:  0.43, gz:  0.98, OX:  0.02
1746522375.259654  N:   56, t: 27247204, dt: 16035, ENC_DEG: 65.33, REF:  0.00, VEL_RAW:  1.37, VEL_AVG: -0.16, I: -10.23, D: -0.06, VEL_OUT: -22.62, MS_MPC: 29321.38, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.61, gy:  0.49, gz:  1.28, OX:  0.02
1746522375.315472  N:   57, t: 27265527, dt: 18323, ENC_DEG: 65.30, REF:  0.00, VEL_RAW: -1.20, VEL_AVG:  0.12, I: -10.35, D:  0.04, VEL_OUT: -21.42, MS_MPC: 29323.19, ax: -0.01, ay: -0.00, az:  1.00, gx:  0.24, gy:  0.61, gz:  1.53, OX:  0.02
