1746522256.819929  N:   64, t: 65294781, dt: 17199, ENC_DEG:  4.26, REF:  0.00, VEL_RAW:  3.83, VEL_AVG:  0.07, I: -8.90, D:  0.35, VEL_OUT: -15.05, MS_MPC: 21963.08, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.31, gz: -0.15, OX: -0.08
1746522256.8249176 N:   65, t: 65316160, dt: 21379, ENC_DEG:  4.26, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.36, I: -9.25, D: -0.28, VEL_OUT: -24.93, MS_MPC: 21963.08, ax:  0.00, ay: -0.00, az:  1.01, gx: -0.12, gy:  0.18, gz: -0.21, OX: -0.03
1746522256.8309386 N:   66, t: 65336329, dt: 20169, ENC_DEG:  4.20, REF:  0.00, VEL_RAW: -3.27, VEL_AVG: -0.10, I: -9.36, D:  0.25, VEL_OUT: -17.22, MS_MPC: 21947.63, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.24, gy:  0.12, gz:  0.15, OX:  0.05
1746522256.8767776 N:   67, t: 65355790, dt: 19461, ENC_DEG:  4.24, REF:  0.00, VEL_RAW:  2.26, VEL_AVG:  0.26, I: -9.62, D: -0.16, VEL_OUT: -23.46, MS_MPC: 21957.93, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.12, gy:  0.37, gz:  0.27, OX:  0.04
1746522256.8837612 N:   68, t: 65380318, dt: 24528, ENC_DEG:  4.26, REF:  0.00, VEL_RAW:  0.90, VEL_AVG:  0.25, I: -9.87, D:  0.02, VEL_OUT: -22.03, MS_MPC: 21963.08, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.12, gy:  0.06, gz: -0.15, OX:  0.06
1746522256.8897421 N:   69, t: 65401495, dt: 21177, ENC_DEG:  4.20, REF:  0.00, VEL_RAW: -3.11, VEL_AVG:  0.23, I: -10.10, D:  0.01, VEL_OUT: -22.37, MS_MPC: 21947.63, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.18, gz: -0.70, OX: -0.01
1746522256.937615  N:   70, t: 65415291, dt: 13796, ENC_DEG:  4.24, REF:  0.00, VEL_RAW:  3.19, VEL_AVG:  0.18, I: -10.28, D:  0.05, VEL_OUT: -21.89, MS_MPC: 21957.93, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.06, gy: -0.18, gz: -0.58, OX:  0.01
1746522256.9436    N:   71, t: 65440580, dt: 25289, ENC_DEG:  4.26, REF:  0.00, VEL_RAW:  0.87, VEL_AVG:  0.25, I: -10.54, D: -0.07, VEL_OUT: -24.34, MS_MPC: 21963.08, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.00, gz: -0.58, OX: -0.02
1746522257.0569057 N:   72, t: 65455572, dt: 14992, ENC_DEG:  4.24, REF:  0.00, VEL_RAW: -1.47, VEL_AVG:  0.13, I: -10.67, D:  0.12, VEL_OUT: -21.44, MS_MPC: 21957.93, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.18, gy: -0.12, gz: -0.40, OX: -0.02
1746522257.062903  N:   73, t: 65475978, dt: 20406, ENC_DEG:  4.24, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.21, I: -10.88, D: -0.08, VEL_OUT: -24.59, MS_MPC: 21957.93, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.18, gy: -0.18, gz: -0.27, OX: -0.04
