1746013246.208455  N:   52, t: 26672669, dt: 19006, ENC_DEG: 76.16, REF:  0.00, VEL_RAW:  3.47, VEL_AVG: -0.06, I: -10.56, D:  0.27, VEL_OUT: -19.00, MS_MPC: 27510.62, ax:  0.01, ay: -0.03, az:  1.00, gx: -0.37, gy: -0.43, gz: -0.31, OX: -0.02
1746013246.2573254 N:   53, t: 26690855, dt: 18186, ENC_DEG: 76.22, REF:  0.00, VEL_RAW:  3.62, VEL_AVG:  0.31, I: -10.87, D: -0.26, VEL_OUT: -27.46, MS_MPC: 27492.79, ax:  0.00, ay: -0.03, az:  1.00, gx: -0.37, gy: -0.37, gz: -0.43, OX: -0.03
1746013246.3161697 N:   54, t: 26711489, dt: 20634, ENC_DEG: 76.20, REF:  0.00, VEL_RAW: -1.06, VEL_AVG:  0.14, I: -11.01, D:  0.18, VEL_OUT: -21.63, MS_MPC: 27498.75, ax:  0.00, ay: -0.03, az:  1.00, gx: -0.06, gy: -0.37, gz: -0.18, OX:  0.03
1746013246.3221695 N:   55, t: 26731729, dt: 20240, ENC_DEG: 76.14, REF:  0.00, VEL_RAW: -3.26, VEL_AVG:  0.27, I: -11.28, D: -0.13, VEL_OUT: -26.50, MS_MPC: 27516.54, ax:  0.00, ay: -0.02, az:  1.00, gx: -0.12, gy: -0.43, gz: -0.00, OX:  0.01
1746013246.3281775 N:   56, t: 26752199, dt: 20470, ENC_DEG: 76.16, REF:  0.00, VEL_RAW:  1.07, VEL_AVG:  0.18, I: -11.46, D:  0.08, VEL_OUT: -23.88, MS_MPC: 27510.62, ax:  0.01, ay: -0.02, az:  1.00, gx:  0.06, gy: -0.18, gz: -0.24, OX: -0.00
1746013246.3341193 N:   57, t: 26771544, dt: 19345, ENC_DEG: 76.14, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.00, I: -11.46, D:  0.18, VEL_OUT: -21.14, MS_MPC: 27516.54, ax:  0.00, ay: -0.03, az:  1.00, gx: -0.06, gy:  0.00, gz:  0.00, OX: -0.04
1746013246.3411033 N:   59, t: 26811216, dt: 19490, ENC_DEG: 76.16, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.06, I: -11.53, D: -0.05, VEL_OUT: -24.18, MS_MPC: 27510.62, ax:  0.00, ay: -0.02, az:  1.00, gx: -0.49, gy:  0.31, gz:  0.67, OX:  0.08
1746013246.4338875 N:   60, t: 26834925, dt: 23709, ENC_DEG: 76.18, REF:  0.00, VEL_RAW:  0.93, VEL_AVG:  0.14, I: -11.67, D: -0.08, VEL_OUT: -25.51, MS_MPC: 27504.69, ax:  0.00, ay: -0.02, az:  1.00, gx: -0.79, gy:  0.12, gz:  0.49, OX:  0.01
1746013246.4946904 N:   61, t: 26850893, dt: 15968, ENC_DEG: 76.20, REF:  0.00, VEL_RAW:  1.38, VEL_AVG:  0.25, I: -11.93, D: -0.11, VEL_OUT: -27.54, MS_MPC: 27498.75, ax:  0.01, ay: -0.02, az:  1.00, gx: -0.92, gy: -0.18, gz:  0.18, OX: -0.03
1746013246.5006797 N:   62, t: 26877423, dt: 26530, ENC_DEG: 76.18, REF:  0.00, VEL_RAW: -0.83, VEL_AVG:  0.28, I: -12.21, D: -0.03, VEL_OUT: -27.45, MS_MPC: 27504.69, ax:  0.01, ay: -0.03, az:  1.00, gx: -1.34, gy: -0.79, gz:  0.12, OX: -0.01
1746013246.6727521 N:   63, t: 26892711, dt: 15288, ENC_DEG: 76.16, REF:  0.00, VEL_RAW: -1.44, VEL_AVG:  0.32, I: -12.52, D: -0.04, VEL_OUT: -28.65, MS_MPC: 27510.62, ax:  0.00, ay: -0.02, az:  0.99, gx: -1.40, gy: -0.73, gz:  0.18, OX:  0.03
1746013246.6777384 N:   65, t: 26934589, dt: 23624, ENC_DEG: 76.25, REF:  0.00, VEL_RAW:  4.65, VEL_AVG:  0.02, I: -12.61, D:  0.05, VEL_OUT: -24.84, MS_MPC: 27486.84, ax: -0.00, ay: -0.02, az:  1.00, gx: -0.98, gy: -0.37, gz: -0.00, OX: -0.00
1746013246.6847215 N:   68, t: 26994675, dt: 17009, ENC_DEG: 76.16, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.11, I: -12.95, D: -0.09, VEL_OUT: -27.84, MS_MPC: 27510.62, ax:  0.00, ay: -0.02, az:  1.00, gx: -0.67, gy: -0.49, gz:  0.06, OX: -0.10
1746013246.689886  N:   69, t: 27012902, dt: 18227, ENC_DEG: 76.14, REF:  0.00, VEL_RAW: -1.21, VEL_AVG: -0.11, I: -13.06, D: -0.01, VEL_OUT: -27.29, MS_MPC: 27516.54, ax:  0.01, ay: -0.03, az:  1.00, gx: -0.73, gy: -0.43, gz:  0.31, OX: -0.03
1746013246.696822  N:   72, t: 27073404, dt: 17001, ENC_DEG: 76.16, REF:  0.00, VEL_RAW:  3.88, VEL_AVG: -0.07, I: -13.55, D:  0.25, VEL_OUT: -25.34, MS_MPC: 27510.62, ax:  0.00, ay: -0.02, az:  1.00, gx: -0.67, gy: -0.37, gz:  0.49, OX:  0.01
1746013246.73643   N:   73, t: 27191426, dt: 118022, ENC_DEG: 76.18, REF:  0.00, VEL_RAW:  0.19, VEL_AVG: -0.17, I: -13.72, D: -0.10, VEL_OUT: -30.12, MS_MPC: 27504.69, ax:  0.00, ay: -0.02, az:  1.01, gx: -0.18, gy: -0.18, gz:  0.55, OX: -0.01
1746013246.7917588 N:   74, t: 27213698, dt: 22272, ENC_DEG: 76.20, REF:  0.00, VEL_RAW:  0.99, VEL_AVG: -0.02, I: -13.73, D:  0.15, VEL_OUT: -26.14, MS_MPC: 27498.75, ax:  0.00, ay: -0.02, az:  1.01, gx: -0.49, gy:  0.12, gz:  0.98, OX:  0.02
1746013246.7977417 N:   75, t: 27233386, dt: 19688, ENC_DEG: 76.14, REF:  0.00, VEL_RAW: -3.35, VEL_AVG: -0.18, I: -13.91, D: -0.16, VEL_OUT: -31.19, MS_MPC: 27516.54, ax:  0.01, ay: -0.02, az:  1.00, gx: -0.49, gy:  0.06, gz:  1.10, OX:  0.04
1746013246.8037279 N:   76, t: 27253485, dt: 20099, ENC_DEG: 76.07, REF:  0.00, VEL_RAW: -3.28, VEL_AVG: -0.35, I: -14.26, D: -0.17, VEL_OUT: -33.76, MS_MPC: 27534.23, ax:  0.01, ay: -0.02, az:  1.00, gx: -0.49, gy: -0.06, gz:  0.55, OX: -0.00
1746013246.8097153 N:   77, t: 27272735, dt: 19250, ENC_DEG: 76.09, REF:  0.00, VEL_RAW:  1.14, VEL_AVG: -0.64, I: -14.91, D: -0.29, VEL_OUT: -39.17, MS_MPC: 27528.34, ax:  0.00, ay: -0.02, az:  1.00, gx: -0.43, gy: -0.12, gz:  0.55, OX: -0.01
