1746013326.5522578 N:   68, t: 25777638, dt: 18281, ENC_DEG: 77.78, REF:  0.00, VEL_RAW: -3.61, VEL_AVG: -0.07, I: -14.25, D: -0.02, VEL_OUT: -29.36, MS_MPC: 27041.16, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.24, gy:  0.06, gz:  0.40, OX:  0.01
1746013326.5583086 N:   69, t: 25797026, dt: 19388, ENC_DEG: 77.78, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.16, I: -14.41, D: -0.09, VEL_OUT: -31.38, MS_MPC: 27041.16, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.12, gy:  0.12, gz:  0.58, OX:  0.02
1746013326.5652893 N:   70, t: 25818033, dt: 21007, ENC_DEG: 77.78, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.16, I: -14.58, D:  0.00, VEL_OUT: -30.76, MS_MPC: 27041.16, ax:  0.02, ay: -0.00, az:  1.00, gx: -0.18, gy:  0.24, gz:  0.82, OX:  0.02
1746013326.6559062 N:   71, t: 25837049, dt: 19016, ENC_DEG: 77.78, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.25, I: -14.83, D: -0.09, VEL_OUT: -33.09, MS_MPC: 27041.16, ax:  0.02, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.06, gz:  0.52, OX:  0.02
1746013326.7168918 N:   72, t: 25857150, dt: 20101, ENC_DEG: 77.78, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.25, I: -15.08, D:  0.00, VEL_OUT: -32.68, MS_MPC: 27041.16, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.37, gy: -0.06, gz: -0.15, OX:  0.01
1746013326.7238736 N:   73, t: 25876637, dt: 19487, ENC_DEG: 77.83, REF:  0.00, VEL_RAW:  2.25, VEL_AVG:  0.30, I: -15.38, D: -0.05, VEL_OUT: -34.22, MS_MPC: 27027.58, ax:  0.02, ay: -0.00, az:  1.00, gx:  0.18, gy: -0.49, gz: -0.34, OX: -0.04
1746013326.7298677 N:   74, t: 25895878, dt: 19241, ENC_DEG: 77.81, REF:  0.00, VEL_RAW: -1.14, VEL_AVG:  0.11, I: -15.49, D:  0.19, VEL_OUT: -30.18, MS_MPC: 27034.38, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.00, gy: -0.55, gz: -0.27, OX: -0.03
1746013326.7358468 N:   76, t: 25937225, dt: 21076, ENC_DEG: 77.89, REF:  0.00, VEL_RAW:  1.04, VEL_AVG:  0.10, I: -15.70, D:  0.01, VEL_OUT: -32.34, MS_MPC: 27007.13, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.24, gy: -0.37, gz: -0.09, OX: -0.03
1746013326.7418985 N:   79, t: 25996393, dt: 15793, ENC_DEG: 77.76, REF:  0.00, VEL_RAW: -4.17, VEL_AVG: -0.48, I: -16.37, D: -0.39, VEL_OUT: -41.49, MS_MPC: 27047.93, ax:  0.02, ay:  0.00, az:  1.00, gx: -0.67, gy:  0.43, gz:  0.70, OX:  0.05
1746013326.7775126 N:   80, t: 26017418, dt: 21025, ENC_DEG: 77.81, REF:  0.00, VEL_RAW:  2.09, VEL_AVG: -0.01, I: -16.38, D:  0.47, VEL_OUT: -28.11, MS_MPC: 27034.38, ax:  0.02, ay:  0.00, az:  1.00, gx: -0.55, gy:  0.24, gz:  0.34, OX:  0.04
1746013326.8389745 N:   81, t: 26036874, dt: 19456, ENC_DEG: 77.87, REF:  0.00, VEL_RAW:  3.39, VEL_AVG:  0.27, I: -16.65, D: -0.26, VEL_OUT: -38.68, MS_MPC: 27013.95, ax:  0.02, ay:  0.00, az:  1.00, gx: -0.18, gy:  0.00, gz:  0.21, OX: -0.01
1746013326.8439212 N:   82, t: 26056670, dt: 19796, ENC_DEG: 77.78, REF:  0.00, VEL_RAW: -4.43, VEL_AVG: -0.10, I: -16.75, D:  0.18, VEL_OUT: -32.70, MS_MPC: 27041.16, ax:  0.02, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.00, gz: -0.15, OX: -0.01
1746013326.84991   N:   83, t: 26075938, dt: 19268, ENC_DEG: 77.78, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.10, I: -16.85, D:  0.00, VEL_OUT: -34.66, MS_MPC: 27041.16, ax:  0.02, ay:  0.00, az:  1.00, gx: -0.12, gy:  0.12, gz: -0.21, OX:  0.02
1746013326.8558893 N:   84, t: 26100988, dt: 25050, ENC_DEG: 77.81, REF:  0.00, VEL_RAW:  0.88, VEL_AVG: -0.02, I: -16.87, D:  0.07, VEL_OUT: -33.24, MS_MPC: 27034.38, ax:  0.02, ay:  0.00, az:  1.00, gx:  0.24, gy:  0.00, gz: -0.46, OX: -0.02
1746013326.9545565 N:   85, t: 26120591, dt: 19603, ENC_DEG: 77.74, REF:  0.00, VEL_RAW: -3.36, VEL_AVG: -0.49, I: -17.36, D: -0.47, VEL_OUT: -44.32, MS_MPC: 27054.69, ax:  0.02, ay: -0.00, az:  1.00, gx:  0.24, gy: -0.24, gz: -0.64, OX: -0.03
1746013327.0141807 N:   86, t: 26138949, dt: 18358, ENC_DEG: 77.89, REF:  0.00, VEL_RAW:  8.38, VEL_AVG:  0.30, I: -17.66, D:  0.19, VEL_OUT: -36.46, MS_MPC: 27007.13, ax:  0.02, ay: -0.00, az:  1.00, gx:  0.31, gy: -0.24, gz: -0.34, OX: -0.01
1746013327.0775738 N:   87, t: 26156162, dt: 17213, ENC_DEG: 77.87, REF:  0.00, VEL_RAW: -1.28, VEL_AVG: -0.08, I: -17.74, D:  0.23, VEL_OUT: -33.96, MS_MPC: 27013.95, ax:  0.02, ay: -0.00, az:  1.00, gx:  0.24, gy: -0.43, gz: -0.15, OX: -0.01
1746013327.083766  N:   88, t: 26177654, dt: 21492, ENC_DEG: 77.81, REF:  0.00, VEL_RAW: -3.07, VEL_AVG: -0.42, I: -18.16, D: -0.34, VEL_OUT: -43.92, MS_MPC: 27034.38, ax:  0.02, ay: -0.00, az:  1.00, gx:  0.06, gy: -0.61, gz:  0.03, OX:  0.01
1746013327.0896916 N:   90, t: 26216212, dt: 19262, ENC_DEG: 77.81, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.13, I: -18.33, D: -0.10, VEL_OUT: -38.92, MS_MPC: 27034.38, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.31, gy: -0.24, gz: -0.03, OX: -0.03
1746013327.132437  N:   94, t: 26286680, dt: 2663, ENC_DEG: 77.85, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.27, I: -18.72, D:  0.03, VEL_OUT: -38.91, MS_MPC: 27020.77, ax:  0.02, ay:  0.00, az:  1.00, gx: -0.49, gy: -0.43, gz:  0.09, OX:  0.05
