1746012560.2173615 N:   72, t: 55602250, dt: 20734, ENC_DEG: 36.92, REF:  0.00, VEL_RAW:  3.18, VEL_AVG: -0.01, I: -14.19, D:  0.65, VEL_OUT: -22.04, MS_MPC: 28104.97, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.61, gy: -0.12, gz:  0.00, OX:  0.03
1746012560.2233033 N:   73, t: 55622501, dt: 20251, ENC_DEG: 36.98, REF:  0.00, VEL_RAW:  3.26, VEL_AVG:  0.45, I: -14.64, D: -0.44, VEL_OUT: -38.11, MS_MPC: 28113.57, ax: -0.00, ay: -0.01, az:  1.01, gx:  0.49, gy: -0.18, gz:  0.06, OX:  0.03
1746012560.2294438 N:   74, t: 55640735, dt: 18234, ENC_DEG: 36.92, REF:  0.00, VEL_RAW: -3.62, VEL_AVG: -0.14, I: -14.78, D:  0.31, VEL_OUT: -27.92, MS_MPC: 28104.97, ax: -0.01, ay: -0.01, az:  1.01, gx:  0.55, gy: -0.24, gz:  0.18, OX:  0.01
1746012560.235346  N:   75, t: 55661589, dt: 20854, ENC_DEG: 36.96, REF:  0.00, VEL_RAW:  2.11, VEL_AVG:  0.30, I: -15.08, D: -0.16, VEL_OUT: -34.70, MS_MPC: 28110.71, ax: -0.00, ay: -0.00, az:  1.01, gx:  0.49, gy: -0.37, gz:  0.12, OX:  0.00
1746012560.2699552 N:   76, t: 55681819, dt: 20230, ENC_DEG: 36.92, REF:  0.00, VEL_RAW: -2.17, VEL_AVG: -0.13, I: -15.21, D:  0.17, VEL_OUT: -30.07, MS_MPC: 28104.97, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.37, gy: -0.18, gz:  0.18, OX:  0.01
1746012560.3832755 N:   77, t: 55701007, dt: 19188, ENC_DEG: 36.89, REF:  0.00, VEL_RAW: -1.15, VEL_AVG: -0.23, I: -15.44, D: -0.10, VEL_OUT: -34.10, MS_MPC: 28102.11, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.49, gy:  0.00, gz:  0.18, OX: -0.04
1746012560.445109  N:   78, t: 55721739, dt: 20732, ENC_DEG: 36.94, REF:  0.00, VEL_RAW:  2.12, VEL_AVG:  0.04, I: -15.48, D:  0.18, VEL_OUT: -29.59, MS_MPC: 28107.84, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.43, gy:  0.00, gz:  0.37, OX:  0.01
1746012560.4490962 N:   79, t: 55741798, dt: 20059, ENC_DEG: 36.89, REF:  0.00, VEL_RAW: -2.19, VEL_AVG:  0.15, I: -15.63, D: -0.10, VEL_OUT: -33.78, MS_MPC: 28102.11, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.49, gy: -0.06, gz:  0.31, OX: -0.00
1746012560.4560797 N:   80, t: 55761986, dt: 20188, ENC_DEG: 36.89, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.21, I: -15.84, D: -0.07, VEL_OUT: -34.48, MS_MPC: 28102.11, ax: -0.01, ay: -0.00, az:  1.00, gx:  0.31, gy:  0.06, gz:  0.43, OX:  0.01
1746012560.4620633 N:   83, t: 55821857, dt: 19356, ENC_DEG: 36.89, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.13, I: -16.73, D:  0.21, VEL_OUT: -32.64, MS_MPC: 28102.11, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.43, gy: -0.24, gz:  0.18, OX:  0.01
