1746536793.4990406 N:   62, t: 30997020, dt: 21286, ENC_DEG:  5.91, REF:  0.00, VEL_RAW:  1.03, VEL_AVG:  0.21, I: -10.11, D: -0.09, VEL_OUT: -23.20, MS_MPC: 22346.02, ax: -0.00, ay:  0.02, az:  1.01, gx:  0.00, gy:  0.98, gz: -3.05, OX: -0.02
1746536793.5054893 N:   63, t: 31016209, dt: 19189, ENC_DEG:  5.87, REF:  0.00, VEL_RAW: -1.89, VEL_AVG: -0.16, I: -10.27, D:  0.05, VEL_OUT: -21.63, MS_MPC: 22335.89, ax:  0.01, ay:  0.01, az:  0.99, gx:  0.43, gy:  1.04, gz: -3.72, OX: -0.07
1746536793.5114722 N:   64, t: 31039732, dt: 23523, ENC_DEG:  5.89, REF:  0.00, VEL_RAW:  1.13, VEL_AVG:  0.03, I: -10.30, D:  0.13, VEL_OUT: -19.60, MS_MPC: 22340.96, ax:  0.01, ay: -0.01, az:  0.99, gx:  0.92, gy:  0.31, gz: -3.85, OX: -0.07
1746536793.5508492 N:   65, t: 31055895, dt: 16163, ENC_DEG:  5.89, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.10, I: -10.41, D: -0.08, VEL_OUT: -22.62, MS_MPC: 22340.96, ax: -0.01, ay: -0.02, az:  1.00, gx:  1.22, gy:  0.43, gz: -3.42, OX: -0.08
1746536793.5566545 N:   66, t: 31077422, dt: 21527, ENC_DEG:  5.89, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.00, I: -10.41, D:  0.10, VEL_OUT: -19.85, MS_MPC: 22340.96, ax:  0.00, ay: -0.02, az:  1.00, gx:  1.34, gy:  0.85, gz: -2.87, OX:  0.04
1746536793.613402  N:   67, t: 31096888, dt: 19466, ENC_DEG:  5.87, REF:  0.00, VEL_RAW: -1.13, VEL_AVG: -0.20, I: -10.61, D: -0.20, VEL_OUT: -25.22, MS_MPC: 22335.89, ax:  0.01, ay: -0.02, az:  1.00, gx:  1.28, gy:  1.16, gz: -2.44, OX: -0.07
1746536793.6217673 N:   68, t: 31118826, dt: 21938, ENC_DEG:  5.85, REF:  0.00, VEL_RAW: -1.00, VEL_AVG: -0.19, I: -10.81, D:  0.01, VEL_OUT: -23.49, MS_MPC: 22330.82, ax:  0.01, ay: -0.04, az:  0.99, gx:  1.04, gy:  0.73, gz: -0.61, OX: -0.06
1746536793.6231742 N:   69, t: 31136249, dt: 17423, ENC_DEG:  5.91, REF:  0.00, VEL_RAW:  3.78, VEL_AVG:  0.21, I: -11.01, D: -0.01, VEL_OUT: -24.21, MS_MPC: 22346.02, ax: -0.01, ay: -0.02, az:  0.99, gx:  0.61, gy:  0.85, gz:  0.85, OX:  0.33
1746536793.6295333 N:   70, t: 31155473, dt: 19224, ENC_DEG:  5.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.13, I: -11.14, D:  0.08, VEL_OUT: -22.79, MS_MPC: 22346.02, ax: -0.01, ay:  0.01, az:  1.00, gx:  0.49, gy:  0.98, gz: -1.22, OX:  0.12
1746536793.7266018 N:   71, t: 31176578, dt: 21105, ENC_DEG:  5.87, REF:  0.00, VEL_RAW: -2.08, VEL_AVG: -0.15, I: -11.29, D: -0.02, VEL_OUT: -24.27, MS_MPC: 22335.89, ax: -0.00, ay: -0.00, az:  1.01, gx:  0.43, gy:  1.04, gz: -3.36, OX: -0.25
1746536793.73327   N:   72, t: 31199881, dt: 23303, ENC_DEG:  5.89, REF:  0.00, VEL_RAW:  0.94, VEL_AVG:  0.34, I: -11.63, D: -0.19, VEL_OUT: -28.66, MS_MPC: 22340.96, ax:  0.00, ay: -0.02, az:  1.02, gx:  0.37, gy:  0.85, gz: -3.60, OX: -0.12
1746536793.7889135 N:   73, t: 31217476, dt: 17595, ENC_DEG:  5.91, REF:  0.00, VEL_RAW:  1.25, VEL_AVG:  0.17, I: -11.80, D:  0.17, VEL_OUT: -23.58, MS_MPC: 22346.02, ax:  0.01, ay: -0.02, az:  1.00, gx: -0.06, gy:  0.92, gz: -1.71, OX:  0.11
1746536793.7953267 N:   74, t: 31237100, dt: 19624, ENC_DEG:  5.89, REF:  0.00, VEL_RAW: -1.12, VEL_AVG: -0.01, I: -11.81, D:  0.16, VEL_OUT: -22.11, MS_MPC: 22340.96, ax:  0.01, ay: -0.02, az:  1.00, gx: -0.24, gy:  0.85, gz: -0.85, OX:  0.00
1746536793.8003113 N:   76, t: 31279841, dt: 21639, ENC_DEG:  5.91, REF:  0.00, VEL_RAW: -1.02, VEL_AVG:  0.14, I: -12.28, D:  0.18, VEL_OUT: -24.19, MS_MPC: 22346.02, ax:  0.00, ay: -0.02, az:  0.99, gx: -0.18, gy:  0.79, gz:  0.61, OX:  0.03
1746536793.8072944 N:   77, t: 31296572, dt: 16731, ENC_DEG:  5.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.14, I: -12.42, D:  0.00, VEL_OUT: -26.27, MS_MPC: 22346.02, ax: -0.00, ay: -0.01, az:  0.99, gx:  0.00, gy:  0.73, gz:  0.98, OX:  0.06
1746536793.812682  N:   79, t: 31341454, dt: 24563, ENC_DEG:  5.89, REF:  0.00, VEL_RAW: -0.89, VEL_AVG:  0.16, I: -12.73, D: -0.02, VEL_OUT: -27.27, MS_MPC: 22340.96, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.37, gy: -0.49, gz: -0.49, OX: -0.01
