1746536425.2672124 N:   72, t: 60218388, dt: 19583, ENC_DEG: 17.14, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.17, I: -10.84, D:  0.00, VEL_OUT: -23.42, MS_MPC: 24774.57, ax:  0.02, ay:  0.01, az:  1.00, gx:  0.37, gy: -0.12, gz:  0.79, OX:  0.02
1746536425.2724683 N:   73, t: 60239432, dt: 21044, ENC_DEG: 17.12, REF:  0.00, VEL_RAW: -1.04, VEL_AVG: -0.17, I: -11.02, D: -0.00, VEL_OUT: -23.79, MS_MPC: 24770.15, ax:  0.02, ay:  0.01, az:  0.99, gx:  0.24, gy: -0.06, gz:  0.67, OX: -0.03
1746536425.2781975 N:   74, t: 60258942, dt: 19510, ENC_DEG: 17.16, REF:  0.00, VEL_RAW:  2.25, VEL_AVG:  0.20, I: -11.22, D: -0.03, VEL_OUT: -24.73, MS_MPC: 24778.99, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.24, gy: -0.24, gz:  0.31, OX: -0.04
1746536425.285121  N:   75, t: 60280600, dt: 21658, ENC_DEG: 17.12, REF:  0.00, VEL_RAW: -2.03, VEL_AVG: -0.21, I: -11.43, D: -0.01, VEL_OUT: -25.08, MS_MPC: 24770.15, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.12, gy: -0.31, gz: -0.12, OX: -0.01
1746536425.3276618 N:   76, t: 60299782, dt: 19182, ENC_DEG: 17.14, REF:  0.00, VEL_RAW:  1.15, VEL_AVG: -0.01, I: -11.44, D:  0.20, VEL_OUT: -20.98, MS_MPC: 24774.57, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.31, gy: -0.67, gz: -1.10, OX: -0.01
1746536425.333642  N:   77, t: 60319105, dt: 19323, ENC_DEG: 17.14, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.07, I: -11.51, D: -0.06, VEL_OUT: -24.34, MS_MPC: 24774.57, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.18, gy: -0.67, gz: -1.16, OX: -0.00
1746536425.3830798 N:   78, t: 60340524, dt: 21419, ENC_DEG: 17.12, REF:  0.00, VEL_RAW: -1.03, VEL_AVG: -0.10, I: -11.61, D: -0.02, VEL_OUT: -24.42, MS_MPC: 24770.15, ax:  0.02, ay:  0.00, az:  1.00, gx: -0.31, gy: -0.73, gz: -0.85, OX:  0.04
1746536425.5047872 N:   79, t: 60359506, dt: 18982, ENC_DEG: 17.10, REF:  0.00, VEL_RAW: -1.16, VEL_AVG: -0.19, I: -11.80, D: -0.10, VEL_OUT: -26.49, MS_MPC: 24765.73, ax:  0.02, ay:  0.00, az:  0.99, gx: -0.49, gy: -0.67, gz: -1.04, OX: -0.03
1746536425.5101137 N:   80, t: 60380128, dt: 20622, ENC_DEG: 17.10, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.30, I: -12.10, D: -0.11, VEL_OUT: -28.27, MS_MPC: 24765.73, ax:  0.02, ay:  0.00, az:  0.99, gx: -0.55, gy: -0.61, gz: -0.49, OX: -0.01
1746536425.5164142 N:   81, t: 60398364, dt: 18236, ENC_DEG: 17.14, REF:  0.00, VEL_RAW:  2.41, VEL_AVG:  0.08, I: -12.18, D:  0.22, VEL_OUT: -22.89, MS_MPC: 24774.57, ax:  0.02, ay:  0.00, az:  1.00, gx: -0.79, gy: -1.22, gz: -0.24, OX: -0.01
