1746537144.3144927 N:   58, t: 29350626, dt: 19370, ENC_DEG:  3.41, REF:  0.00, VEL_RAW: -3.40, VEL_AVG: -0.21, I: -6.20, D: -0.14, VEL_OUT: -15.95, MS_MPC: 21761.48, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.67, gy: -0.37, gz: -0.43, OX:  0.00
1746537144.371412  N:   59, t: 29373339, dt: 22713, ENC_DEG:  3.36, REF:  0.00, VEL_RAW: -1.93, VEL_AVG: -0.27, I: -6.48, D: -0.06, VEL_OUT: -16.30, MS_MPC: 21751.10, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.43, gy: -0.67, gz: -0.31, OX: -0.00
1746537144.4288292 N:   60, t: 29390435, dt: 17096, ENC_DEG:  3.39, REF:  0.00, VEL_RAW:  1.29, VEL_AVG: -0.36, I: -6.84, D: -0.09, VEL_OUT: -18.13, MS_MPC: 21756.29, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.12, gy: -0.43, gz: -0.31, OX:  0.08
1746537144.5549092 N:   61, t: 29414206, dt: 23771, ENC_DEG:  3.45, REF:  0.00, VEL_RAW:  2.77, VEL_AVG:  0.05, I: -6.89, D:  0.31, VEL_OUT: -11.24, MS_MPC: 21771.86, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.06, gy: -0.55, gz: -0.24, OX:  0.04
1746537144.6707263 N:   62, t: 29432327, dt: 18121, ENC_DEG:  3.45, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.04, I: -6.93, D:  0.01, VEL_OUT: -14.17, MS_MPC: 21771.86, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.18, gy: -0.85, gz: -0.43, OX: -0.04
1746537144.7336252 N:   63, t: 29451529, dt: 19202, ENC_DEG:  3.47, REF:  0.00, VEL_RAW:  1.14, VEL_AVG: -0.03, I: -6.96, D:  0.01, VEL_OUT: -14.07, MS_MPC: 21777.05, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.98, gz: -0.67, OX: -0.07
1746537144.7405484 N:   66, t: 29514887, dt: 23368, ENC_DEG:  3.41, REF:  0.00, VEL_RAW: -1.88, VEL_AVG: -0.09, I: -7.44, D:  0.16, VEL_OUT: -14.19, MS_MPC: 21761.48, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.37, gy: -0.18, gz: -0.85, OX:  0.01
1746537144.7465003 N:   70, t: 29590680, dt: 19244, ENC_DEG:  3.41, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.11, I: -7.90, D:  0.06, VEL_OUT: -16.30, MS_MPC: 21761.48, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.37, gy:  0.06, gz:  0.00, OX:  0.03
1746537144.8519506 N:   72, t: 29735712, dt: 24393, ENC_DEG:  3.41, REF:  0.00, VEL_RAW:  1.80, VEL_AVG:  0.28, I: -8.43, D: -0.04, VEL_OUT: -20.14, MS_MPC: 21761.48, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.98, gy: -0.55, gz:  0.31, OX:  0.01
1746537144.8581555 N:   74, t: 29795456, dt: 24380, ENC_DEG:  3.39, REF:  0.00, VEL_RAW: -0.90, VEL_AVG: -0.02, I: -8.50, D:  0.03, VEL_OUT: -16.90, MS_MPC: 21756.29, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.06, gy: -0.61, gz: -0.12, OX: -0.00
