1746536649.7357452 N:   82, t: 29736415, dt: 18151, ENC_DEG:  7.27, REF:  0.00, VEL_RAW: -1.21, VEL_AVG: -0.09, I: -11.42, D:  0.02, VEL_OUT: -23.57, MS_MPC: 22657.76, ax: -0.01, ay: -0.02, az:  1.00, gx: -0.58, gy:  0.49, gz:  0.34, OX: -0.12
1746536649.7411914 N:   83, t: 29899081, dt: 162666, ENC_DEG:  7.32, REF:  0.00, VEL_RAW:  0.27, VEL_AVG:  0.09, I: -11.51, D: -0.00, VEL_OUT: -23.94, MS_MPC: 22667.74, ax: -0.01, ay: -0.02, az:  1.00, gx: -0.21, gy:  0.00, gz: -0.34, OX: -0.01
1746536649.7481925 N:   86, t: 29956052, dt: 18324, ENC_DEG:  7.27, REF:  0.00, VEL_RAW: -2.40, VEL_AVG: -0.29, I: -11.90, D: -0.20, VEL_OUT: -28.74, MS_MPC: 22657.76, ax: -0.01, ay: -0.02, az:  0.99, gx:  0.40, gy: -0.49, gz: -0.21, OX: -0.07
1746536649.9067688 N:   87, t: 30016247, dt: 60195, ENC_DEG:  7.34, REF:  0.00, VEL_RAW:  1.10, VEL_AVG: -0.29, I: -12.20, D:  0.00, VEL_OUT: -27.30, MS_MPC: 22672.73, ax: -0.01, ay: -0.02, az:  1.01, gx:  0.15, gy: -0.55, gz: -0.34, OX:  0.04
1746536649.9129853 N:   88, t: 30037529, dt: 21282, ENC_DEG:  7.30, REF:  0.00, VEL_RAW: -2.06, VEL_AVG: -0.23, I: -12.43, D:  0.06, VEL_OUT: -26.54, MS_MPC: 22662.74, ax: -0.00, ay: -0.02, az:  1.00, gx: -0.34, gy: -0.37, gz: -0.34, OX:  0.02
1746536649.918969  N:   89, t: 30055882, dt: 18353, ENC_DEG:  7.27, REF:  0.00, VEL_RAW: -1.20, VEL_AVG: -0.56, I: -12.98, D: -0.33, VEL_OUT: -34.78, MS_MPC: 22657.76, ax: -0.00, ay: -0.02, az:  1.00, gx: -0.58, gy: -0.37, gz: -0.15, OX:  0.00
1746536649.9252012 N:   90, t: 30075310, dt: 19428, ENC_DEG:  7.30, REF:  0.00, VEL_RAW:  1.13, VEL_AVG: -0.27, I: -13.26, D:  0.28, VEL_OUT: -26.41, MS_MPC: 22662.74, ax: -0.01, ay: -0.02, az:  1.00, gx: -0.82, gy: -0.43, gz:  0.09, OX: -0.01
1746536649.9311786 N:   94, t: 30156210, dt: 18206, ENC_DEG:  7.32, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.21, I: -14.16, D:  0.10, VEL_OUT: -29.37, MS_MPC: 22667.74, ax: -0.01, ay: -0.01, az:  1.00, gx: -0.34, gy:  0.18, gz:  0.21, OX:  0.01
1746536649.9690967 N:   95, t: 30194733, dt: 38523, ENC_DEG:  7.32, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.23, I: -14.39, D: -0.02, VEL_OUT: -31.29, MS_MPC: 22667.74, ax: -0.01, ay: -0.02, az:  1.00, gx: -0.21, gy:  0.43, gz:  0.09, OX: -0.02
1746536649.9749348 N:   96, t: 30217133, dt: 22400, ENC_DEG:  7.30, REF:  0.00, VEL_RAW: -0.98, VEL_AVG: -0.21, I: -14.60, D:  0.02, VEL_OUT: -31.11, MS_MPC: 22662.74, ax: -0.01, ay: -0.02, az:  1.00, gx:  0.15, gy:  0.67, gz: -0.15, OX: -0.06
1746536650.0295377 N:   97, t: 30237580, dt: 20447, ENC_DEG:  7.32, REF:  0.00, VEL_RAW:  1.07, VEL_AVG: -0.21, I: -14.81, D:  0.00, VEL_OUT: -31.71, MS_MPC: 22667.74, ax: -0.01, ay: -0.03, az:  1.00, gx:  0.27, gy:  0.79, gz: -0.09, OX: -0.02
1746536650.0347219 N:   98, t: 30259369, dt: 21789, ENC_DEG:  7.32, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.01, I: -14.82, D:  0.20, VEL_OUT: -27.74, MS_MPC: 22667.74, ax: -0.01, ay: -0.02, az:  1.00, gx:  0.09, gy:  0.67, gz:  0.03, OX:  0.05
1746536650.040882  N:   99, t: 30277548, dt: 18179, ENC_DEG:  7.34, REF:  0.00, VEL_RAW:  1.21, VEL_AVG: -0.00, I: -14.82, D:  0.01, VEL_OUT: -29.55, MS_MPC: 22672.73, ax: -0.01, ay: -0.02, az:  1.00, gx:  0.09, gy:  0.55, gz: -0.27, OX:  0.02
1746536650.0473013 N:  100, t: 30295874, dt: 18326, ENC_DEG:  7.36, REF:  0.00, VEL_RAW:  1.20, VEL_AVG:  0.27, I: -15.09, D: -0.27, VEL_OUT: -35.58, MS_MPC: 22677.71, ax: -0.01, ay: -0.02, az:  1.00, gx: -0.09, gy:  0.49, gz: -0.46, OX: -0.01
1746536650.0891268 N:  101, t: 30318308, dt: 22434, ENC_DEG:  7.34, REF:  0.00, VEL_RAW: -0.98, VEL_AVG:  0.29, I: -15.38, D: -0.02, VEL_OUT: -33.83, MS_MPC: 22672.73, ax: -0.01, ay: -0.02, az:  1.00, gx:  0.03, gy:  0.49, gz: -0.27, OX: -0.01
