1746534950.9866588 N:   62, t: 66355403, dt: 21306, ENC_DEG: 31.31, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.20, I: -12.69, D: -0.17, VEL_OUT: -29.04, MS_MPC: 27306.64, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.43, gy: -0.06, gz: -0.37, OX: -0.02
1746534950.9926481 N:   63, t: 66376193, dt: 20790, ENC_DEG: 31.27, REF:  0.00, VEL_RAW: -2.11, VEL_AVG: -0.27, I: -12.96, D: -0.07, VEL_OUT: -29.33, MS_MPC: 27299.88, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.49, gy: -0.18, gz: -0.73, OX: -0.01
1746534950.998838  N:   64, t: 66394307, dt: 18114, ENC_DEG: 31.33, REF:  0.00, VEL_RAW:  3.64, VEL_AVG: -0.05, I: -13.02, D:  0.21, VEL_OUT: -24.42, MS_MPC: 27310.02, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.31, gy: -0.18, gz: -0.92, OX: -0.07
1746534951.0471137 N:   65, t: 66415160, dt: 20853, ENC_DEG: 31.33, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.22, I: -13.23, D: -0.16, VEL_OUT: -30.27, MS_MPC: 27310.02, ax:  0.00, ay: -0.01, az:  1.01, gx: -0.18, gy: -0.31, gz: -0.98, OX:  0.02
1746534951.053546  N:   66, t: 66434313, dt: 19153, ENC_DEG: 31.36, REF:  0.00, VEL_RAW:  1.15, VEL_AVG:  0.03, I: -13.26, D:  0.19, VEL_OUT: -24.95, MS_MPC: 27313.40, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.31, gy: -0.18, gz: -1.04, OX:  0.03
1746534951.1070604 N:   67, t: 66453758, dt: 19445, ENC_DEG: 31.27, REF:  0.00, VEL_RAW: -4.52, VEL_AVG: -0.14, I: -13.40, D: -0.11, VEL_OUT: -29.25, MS_MPC: 27299.88, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.49, gy:  0.06, gz: -1.16, OX: -0.00
1746534951.1133428 N:   68, t: 66476491, dt: 22733, ENC_DEG: 31.33, REF:  0.00, VEL_RAW:  2.90, VEL_AVG: -0.00, I: -13.40, D:  0.13, VEL_OUT: -25.50, MS_MPC: 27310.02, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.12, gy: -0.06, gz: -1.16, OX: -0.03
1746534951.1187158 N:   69, t: 66494464, dt: 17973, ENC_DEG: 31.29, REF:  0.00, VEL_RAW: -2.45, VEL_AVG: -0.21, I: -13.61, D: -0.20, VEL_OUT: -31.33, MS_MPC: 27303.26, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.00, gy:  0.06, gz: -0.67, OX: -0.03
1746534951.125394  N:   70, t: 66519671, dt: 25207, ENC_DEG: 31.36, REF:  0.00, VEL_RAW:  2.61, VEL_AVG:  0.01, I: -13.62, D:  0.20, VEL_OUT: -25.39, MS_MPC: 27313.40, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.00, gy:  0.55, gz: -0.55, OX: -0.00
1746534951.166675  N:   71, t: 66533821, dt: 14150, ENC_DEG: 31.29, REF:  0.00, VEL_RAW: -4.66, VEL_AVG: -0.38, I: -14.00, D: -0.37, VEL_OUT: -35.44, MS_MPC: 27303.26, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.06, gy:  0.55, gz: -0.43, OX:  0.01
