1746019585.2325358 N:   60, t: 29900905, dt: 21929, ENC_DEG: 74.25, REF:  0.00, VEL_RAW:  3.01, VEL_AVG:  0.23, I: -11.09, D: -0.13, VEL_OUT: -25.77, MS_MPC: 27985.79, ax:  0.00, ay:  0.01, az:  1.01, gx:  0.12, gy: -0.31, gz: -0.31, OX: -0.03
1746019585.238511  N:   61, t: 29919229, dt: 18324, ENC_DEG: 74.20, REF:  0.00, VEL_RAW: -2.40, VEL_AVG:  0.03, I: -11.12, D:  0.20, VEL_OUT: -20.58, MS_MPC: 27995.80, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.12, gy: -0.18, gz: -0.24, OX: -0.00
1746019585.2444963 N:   62, t: 29940245, dt: 21016, ENC_DEG: 74.18, REF:  0.00, VEL_RAW: -1.05, VEL_AVG: -0.16, I: -11.28, D: -0.12, VEL_OUT: -25.32, MS_MPC: 28000.79, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.24, gy:  0.00, gz:  0.06, OX:  0.02
1746019585.2503862 N:   63, t: 29960124, dt: 19879, ENC_DEG: 74.18, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.23, I: -11.50, D: -0.07, VEL_OUT: -26.01, MS_MPC: 28000.79, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.18, gy:  0.12, gz: -0.12, OX:  0.01
1746019585.3480427 N:   64, t: 29979162, dt: 19038, ENC_DEG: 74.18, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.11, I: -11.61, D:  0.12, VEL_OUT: -23.14, MS_MPC: 28000.79, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.00, gy:  0.18, gz: -0.37, OX: -0.04
1746019585.4086998 N:   65, t: 29999240, dt: 20078, ENC_DEG: 74.20, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.27, I: -11.88, D: -0.16, VEL_OUT: -28.00, MS_MPC: 27995.80, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.12, gy:  0.18, gz: -0.37, OX:  0.02
1746019585.4142282 N:   66, t: 30018946, dt: 19706, ENC_DEG: 74.09, REF:  0.00, VEL_RAW: -5.58, VEL_AVG: -0.58, I: -12.46, D: -0.31, VEL_OUT: -33.78, MS_MPC: 28020.65, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.55, gy:  0.31, gz: -0.37, OX: -0.00
1746019585.4694698 N:   67, t: 30039216, dt: 20270, ENC_DEG: 74.16, REF:  0.00, VEL_RAW:  3.25, VEL_AVG: -0.22, I: -12.68, D:  0.36, VEL_OUT: -23.97, MS_MPC: 28005.77, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.55, gy:  0.31, gz:  0.00, OX:  0.00
1746019585.4754562 N:   69, t: 30078964, dt: 19548, ENC_DEG: 74.18, REF:  0.00, VEL_RAW: -1.12, VEL_AVG:  0.04, I: -12.76, D: -0.01, VEL_OUT: -26.03, MS_MPC: 28000.79, ax:  0.00, ay:  0.01, az:  1.01, gx:  0.43, gy:  0.24, gz:  0.49, OX: -0.02
1746019585.481437  N:   72, t: 30142612, dt: 23494, ENC_DEG: 74.18, REF:  0.00, VEL_RAW: -2.81, VEL_AVG: -0.25, I: -13.29, D: -0.01, VEL_OUT: -29.21, MS_MPC: 28000.79, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.12, gy:  0.12, gz:  0.00, OX: -0.02
1746019585.487423  N:   73, t: 30160663, dt: 18051, ENC_DEG: 74.14, REF:  0.00, VEL_RAW: -2.43, VEL_AVG: -0.25, I: -13.54, D: -0.00, VEL_OUT: -29.63, MS_MPC: 28010.74, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.00, gy:  0.31, gz: -0.12, OX:  0.04
1746019585.5295668 N:   75, t: 30203310, dt: 23701, ENC_DEG: 74.16, REF:  0.00, VEL_RAW: -0.93, VEL_AVG: -0.05, I: -13.62, D: -0.02, VEL_OUT: -27.93, MS_MPC: 28005.77, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.00, gy:  0.18, gz: -0.18, OX: -0.02
1746019585.5355916 N:   76, t: 30219262, dt: 15952, ENC_DEG: 74.16, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.05, I: -13.67, D:  0.00, VEL_OUT: -27.82, MS_MPC: 28005.77, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.37, gy:  0.31, gz: -0.24, OX:  0.02
