1746019969.6699703 N:   55, t: 27542163, dt: 18187, ENC_DEG: 59.72, REF:  0.00, VEL_RAW: -2.42, VEL_AVG: -0.32, I: -9.33, D: -0.29, VEL_OUT: -24.72, MS_MPC: 29599.27, ax:  0.00, ay:  0.00, az:  0.99, gx:  0.49, gy:  0.37, gz:  0.06, OX:  0.03
1746019969.7742774 N:   56, t: 27567847, dt: 25684, ENC_DEG: 59.83, REF:  0.00, VEL_RAW:  4.28, VEL_AVG:  0.27, I: -9.59, D:  0.05, VEL_OUT: -21.32, MS_MPC: 29597.08, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.31, gy:  0.24, gz:  0.43, OX:  0.01
1746019969.7808957 N:   57, t: 27587359, dt: 19512, ENC_DEG: 59.74, REF:  0.00, VEL_RAW: -4.50, VEL_AVG: -0.35, I: -9.94, D: -0.08, VEL_OUT: -24.24, MS_MPC: 29598.84, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.55, gy:  0.00, gz:  0.37, OX:  0.02
1746019969.7869005 N:   58, t: 27603472, dt: 16113, ENC_DEG: 59.81, REF:  0.00, VEL_RAW:  4.09, VEL_AVG: -0.01, I: -9.95, D:  0.34, VEL_OUT: -16.59, MS_MPC: 29597.53, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.61, gy: -0.18, gz:  0.37, OX:  0.02
1746019969.7929106 N:   59, t: 27624709, dt: 21237, ENC_DEG: 59.79, REF:  0.00, VEL_RAW: -1.03, VEL_AVG: -0.24, I: -10.19, D: -0.23, VEL_OUT: -24.99, MS_MPC: 29597.97, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.49, gy: -0.37, gz: -0.37, OX:  0.01
1746019969.799065  N:   62, t: 27681341, dt: 14352, ENC_DEG: 59.79, REF:  0.00, VEL_RAW:  3.06, VEL_AVG:  0.15, I: -10.78, D: -0.04, VEL_OUT: -23.41, MS_MPC: 29597.97, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.06, gz: -0.73, OX: -0.07
1746019969.8377237 N:   63, t: 27702285, dt: 20944, ENC_DEG: 59.79, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.15, I: -10.93, D:  0.00, VEL_OUT: -23.32, MS_MPC: 29597.97, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.37, gy: -0.06, gz: -0.24, OX:  0.01
1746019969.8437812 N:   64, t: 27721179, dt: 18894, ENC_DEG: 59.79, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.03, I: -10.96, D:  0.11, VEL_OUT: -21.09, MS_MPC: 29597.97, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.31, gy: -0.18, gz: -0.24, OX: -0.04
1746019969.897824  N:   65, t: 27745991, dt: 24812, ENC_DEG: 59.74, REF:  0.00, VEL_RAW: -1.77, VEL_AVG: -0.03, I: -10.99, D: -0.00, VEL_OUT: -22.37, MS_MPC: 29598.84, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.49, gy: -0.18, gz: -0.49, OX:  0.01
1746019969.9032063 N:   66, t: 27764008, dt: 18017, ENC_DEG: 59.77, REF:  0.00, VEL_RAW:  1.22, VEL_AVG:  0.07, I: -11.06, D: -0.03, VEL_OUT: -23.10, MS_MPC: 29598.41, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.49, gy: -0.12, gz: -0.67, OX:  0.02
1746019969.9090087 N:   67, t: 27782368, dt: 18360, ENC_DEG: 59.74, REF:  0.00, VEL_RAW: -1.20, VEL_AVG:  0.17, I: -11.23, D: -0.10, VEL_OUT: -25.16, MS_MPC: 29598.84, ax:  0.00, ay:  0.01, az:  0.99, gx: -0.24, gy: -0.49, gz: -0.98, OX: -0.00
1746019969.9150128 N:   68, t: 27802727, dt: 20359, ENC_DEG: 59.81, REF:  0.00, VEL_RAW:  3.24, VEL_AVG:  0.08, I: -11.31, D:  0.09, VEL_OUT: -22.57, MS_MPC: 29597.53, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.00, gy: -0.49, gz: -1.16, OX: -0.06
1746019969.957724  N:   69, t: 27822060, dt: 19333, ENC_DEG: 59.77, REF:  0.00, VEL_RAW: -2.27, VEL_AVG:  0.27, I: -11.58, D: -0.19, VEL_OUT: -27.69, MS_MPC: 29598.41, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.37, gy: -0.31, gz: -1.04, OX:  0.00
1746019970.0131786 N:   70, t: 27847217, dt: 25157, ENC_DEG: 59.81, REF:  0.00, VEL_RAW:  1.75, VEL_AVG:  0.07, I: -11.65, D:  0.20, VEL_OUT: -22.07, MS_MPC: 29597.53, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.49, gy: -0.12, gz: -0.85, OX: -0.01
1746019970.0182061 N:   71, t: 27861383, dt: 14166, ENC_DEG: 59.74, REF:  0.00, VEL_RAW: -4.65, VEL_AVG: -0.23, I: -11.88, D: -0.16, VEL_OUT: -27.62, MS_MPC: 29598.84, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.73, gy:  0.00, gz: -0.31, OX:  0.01
