1746019314.287999  N:   77, t: 54435332, dt: 16975, ENC_DEG: 51.68, REF:  0.00, VEL_RAW: -1.29, VEL_AVG: -0.10, I: -14.86, D: -0.09, VEL_OUT: -31.61, MS_MPC: 29469.90, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.18, gz: -0.12, OX: -0.01
1746019314.2942142 N:   78, t: 54452453, dt: 17121, ENC_DEG: 51.66, REF:  0.00, VEL_RAW: -1.28, VEL_AVG: -0.34, I: -15.20, D: -0.24, VEL_OUT: -36.19, MS_MPC: 29468.85, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.12, gy:  0.18, gz:  0.31, OX:  0.02
1746019314.329699  N:   79, t: 54474668, dt: 22215, ENC_DEG: 51.68, REF:  0.00, VEL_RAW:  0.99, VEL_AVG: -0.33, I: -15.53, D:  0.01, VEL_OUT: -34.24, MS_MPC: 29469.90, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.24, gy: -0.06, gz:  0.49, OX:  0.06
1746019314.3896866 N:   80, t: 54493041, dt: 18373, ENC_DEG: 51.72, REF:  0.00, VEL_RAW:  2.39, VEL_AVG:  0.44, I: -15.97, D: -0.11, VEL_OUT: -37.48, MS_MPC: 29472.00, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.31, gy:  0.00, gz:  0.18, OX:  0.01
1746019314.39589   N:   81, t: 54516874, dt: 23833, ENC_DEG: 51.68, REF:  0.00, VEL_RAW: -1.84, VEL_AVG: -0.02, I: -15.99, D:  0.42, VEL_OUT: -27.90, MS_MPC: 29469.90, ax: -0.00, ay:  0.01, az:  0.99, gx: -0.31, gy: -0.12, gz: -0.55, OX: -0.02
1746019314.4018724 N:   82, t: 54534886, dt: 18012, ENC_DEG: 51.68, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.09, I: -16.08, D: -0.08, VEL_OUT: -33.87, MS_MPC: 29469.90, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.31, gy: -0.12, gz: -0.73, OX: -0.01
1746019314.407867  N:   83, t: 54552952, dt: 18066, ENC_DEG: 51.66, REF:  0.00, VEL_RAW: -1.22, VEL_AVG: -0.09, I: -16.17, D:  0.00, VEL_OUT: -33.20, MS_MPC: 29468.85, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.00, gy: -0.37, gz: -0.55, OX:  0.01
1746019314.4148943 N:   84, t: 54572157, dt: 19205, ENC_DEG: 51.68, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.10, I: -16.27, D: -0.01, VEL_OUT: -33.72, MS_MPC: 29469.90, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.31, gz: -0.73, OX: -0.02
1746019314.450521  N:   85, t: 54592570, dt: 20413, ENC_DEG: 51.66, REF:  0.00, VEL_RAW: -1.08, VEL_AVG:  0.19, I: -16.46, D: -0.08, VEL_OUT: -35.59, MS_MPC: 29468.85, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.12, gy: -0.37, gz: -0.49, OX: -0.01
1746019314.5687315 N:   86, t: 54617155, dt: 24585, ENC_DEG: 51.64, REF:  0.00, VEL_RAW: -0.89, VEL_AVG: -0.07, I: -16.53, D:  0.11, VEL_OUT: -32.62, MS_MPC: 29467.79, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.31, gy: -0.12, gz: -0.31, OX: -0.01
