1746176009.666752  N:   47, t: 24475310, dt: 21356, ENC_DEG: 80.14, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.12, I: -7.03, D:  0.00, VEL_OUT: -15.30, MS_MPC: 26244.09, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.55, gy:  1.13, gz:  1.95, OX:  0.02
1746176009.7082486 N:   48, t: 24495202, dt: 19892, ENC_DEG: 80.11, REF:  0.00, VEL_RAW: -1.10, VEL_AVG: -0.18, I: -7.21, D: -0.06, VEL_OUT: -16.84, MS_MPC: 26252.24, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.61, gy:  0.70, gz:  1.40, OX: -0.01
1746176009.7650914 N:   49, t: 24514689, dt: 19487, ENC_DEG: 80.09, REF:  0.00, VEL_RAW: -1.13, VEL_AVG: -0.19, I: -7.40, D: -0.00, VEL_OUT: -16.68, MS_MPC: 26260.37, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.79, gy:  0.15, gz:  1.04, OX: -0.01
1746176009.7707999 N:   50, t: 24535268, dt: 20579, ENC_DEG: 80.14, REF:  0.00, VEL_RAW:  2.14, VEL_AVG: -0.01, I: -7.41, D:  0.18, VEL_OUT: -13.11, MS_MPC: 26244.09, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.98, gy: -0.15, gz:  0.92, OX: -0.03
1746176009.7769513 N:   51, t: 24554983, dt: 19715, ENC_DEG: 80.14, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.09, I: -7.50, D: -0.08, VEL_OUT: -16.75, MS_MPC: 26244.09, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.61, gy: -0.34, gz:  1.10, OX: -0.03
1746176009.78299   N:   52, t: 24574356, dt: 19373, ENC_DEG: 80.11, REF:  0.00, VEL_RAW: -1.13, VEL_AVG: -0.07, I: -7.57, D:  0.02, VEL_OUT: -15.69, MS_MPC: 26252.24, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.49, gy: -0.46, gz:  1.46, OX: -0.02
1746176009.7886505 N:   53, t: 24596699, dt: 22343, ENC_DEG: 80.09, REF:  0.00, VEL_RAW: -0.98, VEL_AVG: -0.16, I: -7.73, D: -0.08, VEL_OUT: -17.82, MS_MPC: 26260.37, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.31, gy: -0.40, gz:  1.83, OX:  0.02
1746176009.8292983 N:   54, t: 24617959, dt: 21260, ENC_DEG: 80.11, REF:  0.00, VEL_RAW:  1.03, VEL_AVG:  0.02, I: -7.75, D:  0.13, VEL_OUT: -14.41, MS_MPC: 26252.24, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.24, gy: -0.09, gz:  2.14, OX:  0.03
1746176009.8352907 N:   55, t: 24634245, dt: 16286, ENC_DEG: 80.16, REF:  0.00, VEL_RAW:  2.70, VEL_AVG:  0.06, I: -7.81, D: -0.04, VEL_OUT: -16.55, MS_MPC: 26235.94, ax:  0.02, ay: -0.00, az:  1.01, gx:  0.06, gy:  0.03, gz:  2.32, OX:  0.06
1746176009.9437609 N:   56, t: 24655697, dt: 21452, ENC_DEG: 80.11, REF:  0.00, VEL_RAW: -2.05, VEL_AVG:  0.05, I: -7.86, D:  0.01, VEL_OUT: -16.15, MS_MPC: 26252.24, ax:  0.02, ay: -0.00, az:  1.00, gx:  0.06, gy:  0.34, gz:  2.26, OX:  0.03
1746176009.950291  N:   57, t: 24679260, dt: 23563, ENC_DEG: 80.11, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.05, I: -7.91, D:  0.00, VEL_OUT: -16.33, MS_MPC: 26252.24, ax:  0.02, ay: -0.00, az:  1.00, gx: -0.18, gy:  0.03, gz:  1.95, OX: -0.00
1746176009.955551  N:   58, t: 24695436, dt: 16176, ENC_DEG: 80.11, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.04, I: -7.95, D:  0.01, VEL_OUT: -16.28, MS_MPC: 26252.24, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.06, gy:  0.09, gz:  2.14, OX: -0.03
