1746175734.0773966 N:   71, t: 51589644, dt: 6343, ENC_DEG: 11.49, REF:  0.00, VEL_RAW: -3.47, VEL_AVG: -16.75, I: -8.73, D: -0.00, VEL_OUT: -17.98, MS_MPC: 24179.23, ax:  0.03, ay: -0.06, az:  0.99, gx: -0.58, gy: -0.27, gz: -0.58, OX: -0.77
1746175734.083385  N:   78, t: 51618233, dt: 3831, ENC_DEG: 11.03, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -17.79, I: -8.73, D: -0.00, VEL_OUT: -17.98, MS_MPC: 24179.23, ax:  0.03, ay: -0.06, az:  0.99, gx: -0.58, gy: -0.27, gz: -0.58, OX: -0.77
1746175734.0894277 N:   80, t: 51630834, dt: 2765, ENC_DEG: 10.79, REF:  0.00, VEL_RAW: -31.80, VEL_AVG: -18.74, I: -8.73, D: -0.00, VEL_OUT: -17.98, MS_MPC: 24179.23, ax:  0.03, ay: -0.06, az:  0.99, gx: -0.58, gy: -0.27, gz: -0.58, OX: -0.77
1746175734.0952628 N:   81, t: 51693053, dt: 62219, ENC_DEG:  9.63, REF:  0.00, VEL_RAW: -18.72, VEL_AVG: -18.19, I: -8.73, D: -0.00, VEL_OUT: -17.98, MS_MPC: 24179.23, ax:  0.03, ay: -0.06, az:  0.99, gx: -0.58, gy: -0.27, gz: -0.58, OX: -0.77
1746175734.10075   N:   82, t: 51696042, dt: 2989, ENC_DEG:  9.52, REF:  0.00, VEL_RAW: -36.76, VEL_AVG: -19.39, I: -8.73, D: -0.00, VEL_OUT: -17.98, MS_MPC: 24179.23, ax:  0.03, ay: -0.06, az:  0.99, gx: -0.58, gy: -0.27, gz: -0.58, OX: -0.77
1746175734.1068242 N:   83, t: 51704043, dt: 8001, ENC_DEG:  9.41, REF:  0.00, VEL_RAW: -13.73, VEL_AVG: -20.25, I: -8.73, D: -0.00, VEL_OUT: -17.98, MS_MPC: 24179.23, ax:  0.03, ay: -0.06, az:  0.99, gx: -0.58, gy: -0.27, gz: -0.58, OX: -0.77
1746175734.1127388 N:   84, t: 51707036, dt: 2993, ENC_DEG:  9.38, REF:  0.00, VEL_RAW: -7.33, VEL_AVG: -19.70, I: -8.73, D: -0.00, VEL_OUT: -17.98, MS_MPC: 24179.23, ax:  0.03, ay: -0.06, az:  0.99, gx: -0.58, gy: -0.27, gz: -0.58, OX: -0.77
1746175734.1806307 N:   85, t: 51714325, dt: 7289, ENC_DEG:  9.27, REF:  0.00, VEL_RAW: -15.08, VEL_AVG: -18.94, I: -8.73, D: -0.00, VEL_OUT: -17.98, MS_MPC: 24179.23, ax:  0.03, ay: -0.06, az:  0.99, gx: -0.58, gy: -0.27, gz: -0.58, OX: -0.77
1746175734.1883605 N:   87, t: 51721493, dt: 2947, ENC_DEG:  9.14, REF:  0.00, VEL_RAW: -14.91, VEL_AVG: -18.56, I: -8.73, D: -0.00, VEL_OUT: -17.98, MS_MPC: 24179.23, ax:  0.03, ay: -0.06, az:  0.99, gx: -0.58, gy: -0.27, gz: -0.58, OX: -0.77
1746175734.2403853 N:   89, t: 51728550, dt: 2927, ENC_DEG:  9.01, REF:  0.00, VEL_RAW: -30.03, VEL_AVG: -17.95, I: -8.73, D: -0.00, VEL_OUT: -17.98, MS_MPC: 24179.23, ax:  0.03, ay: -0.06, az:  0.99, gx: -0.58, gy: -0.27, gz: -0.58, OX: -0.77
1746175734.3008418 N:   90, t: 51732608, dt: 4058, ENC_DEG:  8.99, REF:  0.00, VEL_RAW: -5.41, VEL_AVG: -18.41, I: -8.73, D: -0.00, VEL_OUT: -17.98, MS_MPC: 24179.23, ax:  0.03, ay: -0.06, az:  0.99, gx: -0.58, gy: -0.27, gz: -0.58, OX: -0.77
1746175734.3069668 N:   96, t: 51754045, dt: 3749, ENC_DEG:  8.70, REF:  0.00, VEL_RAW: -11.72, VEL_AVG: -14.65, I: -8.73, D: -0.00, VEL_OUT: -17.98, MS_MPC: 24179.23, ax:  0.03, ay: -0.06, az:  0.99, gx: -0.58, gy: -0.27, gz: -0.58, OX: -0.77
1746175734.3135443 N:   98, t: 51808079, dt: 2995, ENC_DEG:  7.87, REF:  0.00, VEL_RAW: -22.01, VEL_AVG: -14.74, I: -8.73, D: -0.00, VEL_OUT: -17.98, MS_MPC: 24179.23, ax:  0.03, ay: -0.06, az:  0.99, gx: -0.58, gy: -0.27, gz: -0.58, OX: -0.77
1746175734.486201  N:  100, t: 51819880, dt: 2811, ENC_DEG:  7.71, REF:  0.00, VEL_RAW: -15.63, VEL_AVG: -14.94, I: -8.73, D: -0.00, VEL_OUT: -17.98, MS_MPC: 24179.23, ax:  0.03, ay: -0.06, az:  0.99, gx: -0.58, gy: -0.27, gz: -0.58, OX: -0.77
1746175734.4916916 N:  102, t: 51872835, dt: 2739, ENC_DEG:  6.70, REF:  0.00, VEL_RAW: -16.04, VEL_AVG: -14.92, I: -8.73, D: -0.00, VEL_OUT: -17.98, MS_MPC: 24179.23, ax:  0.03, ay: -0.06, az:  0.99, gx: -0.58, gy: -0.27, gz: -0.58, OX: -0.77
1746175734.499661  N:  103, t: 51931653, dt: 3630, ENC_DEG:  5.69, REF:  0.00, VEL_RAW: -18.16, VEL_AVG: -16.32, I: -25.05, D: -16.27, VEL_OUT: -376.01, MS_MPC: 22295.33, ax:  0.03, ay: -0.04, az:  1.01, gx:  2.59, gy: -0.58, gz: -0.76, OX:  0.03
1746175734.5049288 N:  107, t: 52008227, dt: 16234, ENC_DEG:  5.60, REF:  0.00, VEL_RAW:  2.71, VEL_AVG: -11.67, I: -77.70, D:  1.20, VEL_OUT: -260.04, MS_MPC: 22275.02, ax:  0.04, ay: -0.05, az:  0.99, gx:  0.27, gy:  0.40, gz: -2.17, OX: -0.27
1746175734.54493   N:  108, t: 52131329, dt: 123102, ENC_DEG:  5.56, REF:  0.00, VEL_RAW: -0.36, VEL_AVG: -10.44, I: -88.14, D:  1.23, VEL_OUT: -268.43, MS_MPC: 22264.86, ax:  0.04, ay: -0.03, az:  1.00, gx:  2.66, gy:  2.04, gz:  0.46, OX:  0.11
1746175734.6627245 N:  109, t: 52151436, dt: 20107, ENC_DEG:  5.47, REF:  0.00, VEL_RAW: -4.37, VEL_AVG: -8.97, I: -97.11, D:  1.47, VEL_OUT: -269.23, MS_MPC: 22244.52, ax:  0.03, ay: -0.03, az:  0.99, gx:  4.30, gy:  3.02, gz:  0.58, OX:  0.13
1746175734.6691153 N:  110, t: 52167998, dt: 16562, ENC_DEG:  5.49, REF:  0.00, VEL_RAW:  1.33, VEL_AVG: -7.84, I: -104.95, D:  1.13, VEL_OUT: -277.03, MS_MPC: 22249.61, ax:  0.03, ay: -0.03, az:  0.97, gx:  5.10, gy:  2.59, gz: -0.27, OX: -0.05
1746175734.675099  N:  111, t: 52188402, dt: 20404, ENC_DEG:  5.52, REF:  0.00, VEL_RAW:  1.08, VEL_AVG: -6.45, I: -111.40, D:  1.39, VEL_OUT: -273.36, MS_MPC: 22254.69, ax:  0.02, ay: -0.04, az:  0.98, gx:  5.40, gy:  2.04, gz: -1.68, OX: -0.10
1746175734.6810853 N:  112, t: 52207488, dt: 19086, ENC_DEG:  5.60, REF:  0.00, VEL_RAW:  4.60, VEL_AVG: -4.46, I: -115.86, D:  1.99, VEL_OUT: -256.45, MS_MPC: 22275.02, ax:  0.02, ay: -0.07, az:  0.99, gx:  5.46, gy:  2.66, gz: -2.23, OX: -0.14
1746175734.7795758 N:  116, t: 52290524, dt: 22871, ENC_DEG:  5.56, REF:  0.00, VEL_RAW: -1.92, VEL_AVG:  0.13, I: -120.84, D:  0.03, VEL_OUT: -242.65, MS_MPC: 22264.86, ax:  0.05, ay: -0.07, az:  1.00, gx:  1.19, gy:  2.66, gz:  0.34, OX:  0.05
1746175734.8435767 N:  117, t: 52308087, dt: 17563, ENC_DEG:  5.65, REF:  0.00, VEL_RAW:  5.01, VEL_AVG:  0.54, I: -121.39, D: -0.42, VEL_OUT: -252.38, MS_MPC: 22285.17, ax:  0.05, ay: -0.06, az:  1.01, gx:  0.64, gy:  2.11, gz: -0.15, OX:  0.05
1746175734.850265  N:  118, t: 52327625, dt: 19538, ENC_DEG:  5.65, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.70, I: -122.09, D: -0.16, VEL_OUT: -252.74, MS_MPC: 22285.17, ax:  0.04, ay: -0.07, az:  1.01, gx: -0.21, gy:  1.86, gz: -0.52, OX: -0.05
1746175734.899515  N:  119, t: 52348982, dt: 21357, ENC_DEG:  5.60, REF:  0.00, VEL_RAW: -2.06, VEL_AVG:  0.30, I: -122.39, D:  0.40, VEL_OUT: -243.84, MS_MPC: 22275.02, ax:  0.04, ay: -0.07, az:  1.00, gx: -0.27, gy:  2.78, gz: -0.27, OX: -0.00
1746175734.905429  N:  121, t: 52388662, dt: 20287, ENC_DEG:  5.54, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.41, I: -122.85, D: -0.36, VEL_OUT: -253.49, MS_MPC: 22259.77, ax:  0.05, ay: -0.05, az:  0.97, gx: -0.03, gy:  2.35, gz: -0.34, OX: -0.01
1746175734.911521  N:  123, t: 52427414, dt: 20217, ENC_DEG:  5.60, REF:  0.00, VEL_RAW:  2.17, VEL_AVG:  0.49, I: -123.75, D: -0.09, VEL_OUT: -253.35, MS_MPC: 22275.02, ax:  0.04, ay: -0.10, az:  1.01, gx: -0.34, gy:  1.80, gz: -2.11, OX: -0.13
1746175734.918159  N:  124, t: 52486981, dt: 59567, ENC_DEG:  5.56, REF:  0.00, VEL_RAW: -0.74, VEL_AVG:  0.05, I: -123.80, D:  0.45, VEL_OUT: -243.63, MS_MPC: 22264.86, ax:  0.06, ay: -0.06, az:  0.98, gx: -0.27, gy:  0.52, gz: -1.01, OX:  0.04
1746175734.9239266 N:  126, t: 52532033, dt: 23634, ENC_DEG:  5.65, REF:  0.00, VEL_RAW:  1.86, VEL_AVG:  0.44, I: -124.27, D: -0.41, VEL_OUT: -257.07, MS_MPC: 22285.17, ax:  0.05, ay: -0.09, az:  1.00, gx: -0.64, gy:  0.89, gz: -2.72, OX: -0.29
1746175735.082879  N:  127, t: 52546895, dt: 14862, ENC_DEG:  5.58, REF:  0.00, VEL_RAW: -4.43, VEL_AVG: -0.02, I: -124.29, D:  0.42, VEL_OUT: -244.61, MS_MPC: 22269.94, ax:  0.06, ay: -0.09, az:  0.99, gx: -0.76, gy:  1.56, gz: -1.62, OX:  0.01
1746175735.089111  N:  128, t: 52567424, dt: 20529, ENC_DEG:  5.58, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.14, I: -124.43, D: -0.12, VEL_OUT: -251.39, MS_MPC: 22269.94, ax:  0.06, ay: -0.08, az:  0.98, gx: -0.46, gy:  1.25, gz: -0.46, OX:  0.05
1746175735.0951009 N:  129, t: 52587641, dt: 20217, ENC_DEG:  5.56, REF:  0.00, VEL_RAW: -1.09, VEL_AVG: -0.37, I: -124.80, D: -0.23, VEL_OUT: -255.62, MS_MPC: 22264.86, ax:  0.05, ay: -0.06, az:  0.98, gx: -0.27, gy:  0.52, gz: -1.07, OX:  0.03
1746175735.1008065 N:  130, t: 52609879, dt: 22238, ENC_DEG:  5.54, REF:  0.00, VEL_RAW: -0.99, VEL_AVG: -0.45, I: -125.25, D: -0.08, VEL_OUT: -255.85, MS_MPC: 22259.77, ax:  0.04, ay: -0.07, az:  0.99, gx: -0.40, gy: -0.09, gz: -2.04, OX: -0.09
