1746176115.3156352 N:   55, t: 24701684, dt: 23554, ENC_DEG: 74.73, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.33, I: -12.01, D: -0.17, VEL_OUT: -29.03, MS_MPC: 27873.04, ax: -0.00, ay:  0.02, az:  1.00, gx:  0.31, gy:  0.67, gz: -1.50, OX: -0.07
1746176115.321642  N:   56, t: 24719878, dt: 18194, ENC_DEG: 74.80, REF:  0.00, VEL_RAW:  3.62, VEL_AVG:  0.33, I: -12.34, D: -0.00, VEL_OUT: -28.05, MS_MPC: 27857.29, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.24, gy:  0.55, gz: -1.98, OX: -0.14
1746176115.369502  N:   57, t: 24738222, dt: 18344, ENC_DEG: 74.71, REF:  0.00, VEL_RAW: -4.79, VEL_AVG: -0.07, I: -12.41, D:  0.27, VEL_OUT: -22.82, MS_MPC: 27878.27, ax:  0.00, ay:  0.01, az:  0.99, gx: -0.12, gy:  0.73, gz: -1.50, OX:  0.07
1746176115.3761334 N:   58, t: 24759574, dt: 21352, ENC_DEG: 74.71, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.31, I: -12.72, D: -0.24, VEL_OUT: -30.93, MS_MPC: 27878.27, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.00, gy:  0.61, gz: -1.13, OX:  0.07
1746176115.3816242 N:   59, t: 24778734, dt: 19160, ENC_DEG: 74.73, REF:  0.00, VEL_RAW:  1.15, VEL_AVG:  0.18, I: -12.90, D:  0.13, VEL_OUT: -26.36, MS_MPC: 27873.04, ax:  0.01, ay:  0.02, az:  1.00, gx:  0.12, gy:  0.24, gz: -1.01, OX:  0.13
1746176115.4301145 N:   60, t: 24797243, dt: 18509, ENC_DEG: 74.64, REF:  0.00, VEL_RAW: -4.75, VEL_AVG: -0.12, I: -13.02, D:  0.06, VEL_OUT: -26.59, MS_MPC: 27893.90, ax:  0.01, ay:  0.03, az:  1.01, gx:  0.12, gy:  0.18, gz: -1.13, OX: -0.01
1746176115.4868164 N:   61, t: 24818634, dt: 21391, ENC_DEG: 74.66, REF:  0.00, VEL_RAW:  1.03, VEL_AVG:  0.17, I: -13.19, D: -0.05, VEL_OUT: -28.54, MS_MPC: 27888.70, ax:  0.01, ay:  0.02, az:  1.01, gx: -0.37, gy:  0.37, gz: -1.19, OX: -0.02
1746176115.5477743 N:   62, t: 24837752, dt: 19118, ENC_DEG: 74.62, REF:  0.00, VEL_RAW: -2.30, VEL_AVG: -0.21, I: -13.40, D: -0.05, VEL_OUT: -29.41, MS_MPC: 27899.09, ax:  0.01, ay:  0.02, az:  1.00, gx: -0.24, gy:  0.85, gz: -1.50, OX: -0.06
1746176115.5537548 N:   63, t: 24856922, dt: 19170, ENC_DEG: 74.64, REF:  0.00, VEL_RAW:  1.15, VEL_AVG: -0.02, I: -13.42, D:  0.19, VEL_OUT: -25.16, MS_MPC: 27893.90, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.18, gy:  0.67, gz: -1.50, OX: -0.07
1746176115.5597482 N:   64, t: 24882445, dt: 25523, ENC_DEG: 74.69, REF:  0.00, VEL_RAW:  1.72, VEL_AVG: -0.07, I: -13.49, D: -0.05, VEL_OUT: -28.19, MS_MPC: 27883.49, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.06, gy:  0.92, gz: -0.64, OX:  0.06
1746176115.6107938 N:   68, t: 24927289, dt: 2904, ENC_DEG: 74.62, REF:  0.00, VEL_RAW: -15.13, VEL_AVG: -1.37, I: -13.93, D: -0.35, VEL_OUT: -35.33, MS_MPC: 27893.90, ax:  0.00, ay:  0.02, az:  0.99, gx:  0.43, gy: -0.24, gz: -0.52, OX:  0.00
1746176115.6158195 N:   69, t: 24971822, dt: 44533, ENC_DEG: 74.11, REF:  0.00, VEL_RAW: -11.35, VEL_AVG: -1.92, I: -13.93, D: -0.35, VEL_OUT: -35.33, MS_MPC: 27893.90, ax:  0.00, ay:  0.02, az:  0.99, gx:  0.43, gy: -0.24, gz: -0.52, OX:  0.00
1746176115.621481  N:   70, t: 24974764, dt: 2942, ENC_DEG: 73.98, REF:  0.00, VEL_RAW: -44.81, VEL_AVG: -5.65, I: -13.93, D: -0.35, VEL_OUT: -35.33, MS_MPC: 27893.90, ax:  0.00, ay:  0.02, az:  0.99, gx:  0.43, gy: -0.24, gz: -0.52, OX:  0.00
1746176115.6274688 N:   74, t: 24992261, dt: 2734, ENC_DEG: 73.65, REF:  0.00, VEL_RAW: -48.22, VEL_AVG: -14.22, I: -13.93, D: -0.35, VEL_OUT: -35.33, MS_MPC: 27893.90, ax:  0.00, ay:  0.02, az:  0.99, gx:  0.43, gy: -0.24, gz: -0.52, OX:  0.00
1746176115.633851  N:   75, t: 25024015, dt: 31754, ENC_DEG: 72.91, REF:  0.00, VEL_RAW: -23.53, VEL_AVG: -16.28, I: -13.93, D: -0.35, VEL_OUT: -35.33, MS_MPC: 27893.90, ax:  0.00, ay:  0.02, az:  0.99, gx:  0.43, gy: -0.24, gz: -0.52, OX:  0.00
1746176115.6398351 N:   76, t: 25027035, dt: 3020, ENC_DEG: 72.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -16.42, I: -13.93, D: -0.35, VEL_OUT: -35.33, MS_MPC: 27893.90, ax:  0.00, ay:  0.02, az:  0.99, gx:  0.43, gy: -0.24, gz: -0.52, OX:  0.00
1746176115.665912  N:   77, t: 25035058, dt: 8023, ENC_DEG: 72.71, REF:  0.00, VEL_RAW: -24.65, VEL_AVG: -18.59, I: -13.93, D: -0.35, VEL_OUT: -35.33, MS_MPC: 27893.90, ax:  0.00, ay:  0.02, az:  0.99, gx:  0.43, gy: -0.24, gz: -0.52, OX:  0.00
1746176115.6730528 N:   78, t: 25038114, dt: 3056, ENC_DEG: 72.60, REF:  0.00, VEL_RAW: -35.95, VEL_AVG: -21.34, I: -13.93, D: -0.35, VEL_OUT: -35.33, MS_MPC: 27893.90, ax:  0.00, ay:  0.02, az:  0.99, gx:  0.43, gy: -0.24, gz: -0.52, OX:  0.00
1746176115.6789382 N:   79, t: 25045398, dt: 7284, ENC_DEG: 72.51, REF:  0.00, VEL_RAW: -12.07, VEL_AVG: -22.93, I: -13.93, D: -0.35, VEL_OUT: -35.33, MS_MPC: 27893.90, ax:  0.00, ay:  0.02, az:  0.99, gx:  0.43, gy: -0.24, gz: -0.52, OX:  0.00
1746176115.6841042 N:   81, t: 25052811, dt: 3047, ENC_DEG: 72.40, REF:  0.00, VEL_RAW: -14.42, VEL_AVG: -23.19, I: -13.93, D: -0.35, VEL_OUT: -35.33, MS_MPC: 27893.90, ax:  0.00, ay:  0.02, az:  0.99, gx:  0.43, gy: -0.24, gz: -0.52, OX:  0.00
1746176115.6901045 N:   86, t: 25077518, dt: 2774, ENC_DEG: 72.03, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -16.89, I: -13.93, D: -0.35, VEL_OUT: -35.33, MS_MPC: 27893.90, ax:  0.00, ay:  0.02, az:  0.99, gx:  0.43, gy: -0.24, gz: -0.52, OX:  0.00
1746176115.697012  N:   88, t: 25084417, dt: 3034, ENC_DEG: 71.85, REF:  0.00, VEL_RAW: -29.03, VEL_AVG: -19.24, I: -13.93, D: -0.35, VEL_OUT: -35.33, MS_MPC: 27893.90, ax:  0.00, ay:  0.02, az:  0.99, gx:  0.43, gy: -0.24, gz: -0.52, OX:  0.00
1746176115.7026248 N:   89, t: 25092457, dt: 8040, ENC_DEG: 71.83, REF:  0.00, VEL_RAW: -2.73, VEL_AVG: -17.42, I: -13.93, D: -0.35, VEL_OUT: -35.33, MS_MPC: 27893.90, ax:  0.00, ay:  0.02, az:  0.99, gx:  0.43, gy: -0.24, gz: -0.52, OX:  0.00
1746176115.708214  N:   90, t: 25100422, dt: 7965, ENC_DEG: 71.79, REF:  0.00, VEL_RAW: -5.52, VEL_AVG: -14.88, I: -13.93, D: -0.35, VEL_OUT: -35.33, MS_MPC: 27893.90, ax:  0.00, ay:  0.02, az:  0.99, gx:  0.43, gy: -0.24, gz: -0.52, OX:  0.00
1746176115.7140822 N:   91, t: 25103378, dt: 2956, ENC_DEG: 71.74, REF:  0.00, VEL_RAW: -14.87, VEL_AVG: -15.11, I: -13.93, D: -0.35, VEL_OUT: -35.33, MS_MPC: 27893.90, ax:  0.00, ay:  0.02, az:  0.99, gx:  0.43, gy: -0.24, gz: -0.52, OX:  0.00
1746176115.7200286 N:   92, t: 25110979, dt: 7601, ENC_DEG: 71.59, REF:  0.00, VEL_RAW: -20.24, VEL_AVG: -15.54, I: -13.93, D: -0.35, VEL_OUT: -35.33, MS_MPC: 27893.90, ax:  0.00, ay:  0.02, az:  0.99, gx:  0.43, gy: -0.24, gz: -0.52, OX:  0.00
1746176115.7273974 N:   93, t: 25117414, dt: 6435, ENC_DEG: 71.57, REF:  0.00, VEL_RAW: -3.41, VEL_AVG: -14.63, I: -13.93, D: -0.35, VEL_OUT: -35.33, MS_MPC: 27893.90, ax:  0.00, ay:  0.02, az:  0.99, gx:  0.43, gy: -0.24, gz: -0.52, OX:  0.00
1746176115.733402  N:   94, t: 25120382, dt: 2968, ENC_DEG: 71.50, REF:  0.00, VEL_RAW: -22.22, VEL_AVG: -15.20, I: -13.93, D: -0.35, VEL_OUT: -35.33, MS_MPC: 27893.90, ax:  0.00, ay:  0.02, az:  0.99, gx:  0.43, gy: -0.24, gz: -0.52, OX:  0.00
1746176115.785335  N:   95, t: 25125775, dt: 5393, ENC_DEG: 71.48, REF:  0.00, VEL_RAW: -4.07, VEL_AVG: -14.61, I: -13.93, D: -0.35, VEL_OUT: -35.33, MS_MPC: 27893.90, ax:  0.00, ay:  0.02, az:  0.99, gx:  0.43, gy: -0.24, gz: -0.52, OX:  0.00
