1746017175.320446  N:   40, t: 43272440, dt: 19359, ENC_DEG: 61.09, REF:  0.00, VEL_RAW:  3.41, VEL_AVG:  0.08, I: -6.21, D: -0.07, VEL_OUT: -13.92, MS_MPC: 29563.48, ax:  0.05, ay:  0.01, az:  0.99, gx:  1.31, gy: -0.06, gz: -0.49, OX: -0.02
1746017175.3274276 N:   41, t: 43293302, dt: 20862, ENC_DEG: 61.06, REF:  0.00, VEL_RAW: -1.05, VEL_AVG:  0.17, I: -6.38, D: -0.09, VEL_OUT: -15.41, MS_MPC: 29564.21, ax:  0.04, ay:  0.00, az:  0.99, gx:  1.31, gy:  0.61, gz: -0.43, OX: -0.02
1746017175.3594246 N:   42, t: 43315178, dt: 21876, ENC_DEG: 61.13, REF:  0.00, VEL_RAW:  3.01, VEL_AVG:  0.51, I: -6.89, D: -0.34, VEL_OUT: -22.19, MS_MPC: 29562.01, ax:  0.05, ay:  0.00, az:  0.99, gx:  1.01, gy:  0.67, gz:  0.12, OX:  0.01
1746017175.4731557 N:   43, t: 43332445, dt: 17267, ENC_DEG: 61.02, REF:  0.00, VEL_RAW: -6.36, VEL_AVG: -0.22, I: -7.11, D:  0.28, VEL_OUT: -13.63, MS_MPC: 29565.65, ax:  0.04, ay:  0.01, az:  1.00, gx:  0.76, gy:  0.61, gz:  0.12, OX:  0.11
1746017175.4786253 N:   44, t: 43352420, dt: 19975, ENC_DEG: 61.04, REF:  0.00, VEL_RAW:  1.10, VEL_AVG: -0.03, I: -7.15, D:  0.19, VEL_OUT: -12.73, MS_MPC: 29564.93, ax:  0.05, ay:  0.01, az:  0.99, gx:  0.52, gy:  0.85, gz: -0.06, OX: -0.01
1746017175.4855103 N:   45, t: 43376690, dt: 24270, ENC_DEG: 61.04, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.15, I: -7.29, D: -0.11, VEL_OUT: -17.17, MS_MPC: 29564.93, ax:  0.05, ay:  0.01, az:  0.99, gx:  0.89, gy:  0.85, gz: -0.55, OX: -0.01
1746017175.4914935 N:   46, t: 43396864, dt: 20174, ENC_DEG: 61.04, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.14, I: -7.43, D:  0.01, VEL_OUT: -16.15, MS_MPC: 29564.93, ax:  0.04, ay:  0.01, az:  0.99, gx:  1.43, gy:  0.55, gz: -0.98, OX: -0.04
1746017175.5393462 N:   50, t: 43473038, dt: 20956, ENC_DEG: 61.04, REF:  0.00, VEL_RAW: -2.10, VEL_AVG: -0.10, I: -8.17, D: -0.02, VEL_OUT: -17.60, MS_MPC: 29564.93, ax:  0.04, ay:  0.00, az:  1.00, gx:  3.02, gy: -0.31, gz: -1.34, OX: -0.02
1746017175.545326  N:   51, t: 43493522, dt: 20484, ENC_DEG: 61.02, REF:  0.00, VEL_RAW: -1.07, VEL_AVG: -0.09, I: -8.26, D:  0.02, VEL_OUT: -17.26, MS_MPC: 29565.65, ax:  0.05, ay:  0.00, az:  1.00, gx:  3.33, gy: -0.31, gz: -2.08, OX: -0.03
1746017175.5503104 N:   52, t: 43513742, dt: 20220, ENC_DEG: 61.06, REF:  0.00, VEL_RAW:  2.17, VEL_AVG: -0.19, I: -8.45, D: -0.10, VEL_OUT: -19.85, MS_MPC: 29564.21, ax:  0.05, ay:  0.00, az:  0.99, gx:  3.51, gy: -0.18, gz: -2.01, OX: -0.00
