1746017434.9934652 N:   43, t: 33761319, dt: 21744, ENC_DEG: 74.99, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.03, I: -7.65, D:  0.20, VEL_OUT: -13.57, MS_MPC: 27809.47, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.49, gy:  0.55, gz:  1.53, OX: -0.01
1746017435.0429192 N:   44, t: 33779913, dt: 18594, ENC_DEG: 74.99, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.03, I: -7.68, D:  0.00, VEL_OUT: -15.65, MS_MPC: 27809.47, ax:  0.01, ay: -0.00, az:  0.99, gx: -0.31, gy:  0.06, gz:  0.98, OX: -0.02
1746017435.0990033 N:   45, t: 33801428, dt: 21515, ENC_DEG: 74.99, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.03, I: -7.71, D:  0.00, VEL_OUT: -15.71, MS_MPC: 27809.47, ax:  0.00, ay: -0.00, az:  0.99, gx: -0.18, gy:  0.49, gz:  1.10, OX: -0.00
1746017435.1050184 N:   46, t: 33820136, dt: 18708, ENC_DEG: 75.02, REF:  0.00, VEL_RAW:  1.17, VEL_AVG:  0.16, I: -7.87, D: -0.13, VEL_OUT: -18.61, MS_MPC: 27804.11, ax: -0.00, ay:  0.00, az:  0.99, gx:  0.37, gy:  0.85, gz:  1.95, OX:  0.07
1746017435.1109955 N:   47, t: 33841511, dt: 21375, ENC_DEG: 74.99, REF:  0.00, VEL_RAW: -1.03, VEL_AVG: -0.13, I: -8.00, D:  0.03, VEL_OUT: -17.06, MS_MPC: 27809.47, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.55, gy:  0.92, gz:  2.26, OX:  0.09
1746017435.1169553 N:   48, t: 33859741, dt: 18230, ENC_DEG: 74.99, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.13, I: -8.13, D:  0.00, VEL_OUT: -17.59, MS_MPC: 27809.47, ax:  0.00, ay:  0.02, az:  1.00, gx:  0.73, gy:  0.31, gz:  1.40, OX:  0.04
1746017435.1606863 N:   49, t: 33881081, dt: 21340, ENC_DEG: 74.99, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.13, I: -8.27, D:  0.00, VEL_OUT: -17.85, MS_MPC: 27809.47, ax:  0.01, ay:  0.01, az:  0.99, gx:  0.73, gy: -0.49, gz:  0.00, OX: -0.18
1746017435.166979  N:   50, t: 33901267, dt: 20186, ENC_DEG: 75.06, REF:  0.00, VEL_RAW:  3.27, VEL_AVG:  0.23, I: -8.49, D: -0.10, VEL_OUT: -20.23, MS_MPC: 27793.35, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.73, gy: -0.61, gz:  0.00, OX: -0.08
1746017435.1736996 N:   51, t: 33924497, dt: 23230, ENC_DEG: 74.99, REF:  0.00, VEL_RAW: -2.84, VEL_AVG: -0.10, I: -8.59, D:  0.13, VEL_OUT: -16.85, MS_MPC: 27809.47, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.37, gy: -0.55, gz:  0.85, OX:  0.00
1746017435.1796985 N:   52, t: 33941691, dt: 17194, ENC_DEG: 74.99, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.00, I: -8.59, D:  0.09, VEL_OUT: -16.27, MS_MPC: 27809.47, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.24, gy: -0.31, gz:  1.22, OX:  0.05
