1746017903.072511  N:   49, t: 26124826, dt: 77520, ENC_DEG: 62.18, REF:  0.00, VEL_RAW:  0.28, VEL_AVG: -0.11, I: -8.13, D:  0.02, VEL_OUT: -17.15, MS_MPC: 29520.47, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.06, gy: -0.12, gz: -1.10, OX: -0.06
1746017903.1659973 N:   50, t: 26147941, dt: 23115, ENC_DEG: 62.14, REF:  0.00, VEL_RAW: -1.90, VEL_AVG: -0.08, I: -8.21, D:  0.03, VEL_OUT: -16.93, MS_MPC: 29522.44, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.61, gy:  0.18, gz:  0.00, OX: -0.01
1746017903.1710122 N:   51, t: 26167210, dt: 19269, ENC_DEG: 62.18, REF:  0.00, VEL_RAW:  2.28, VEL_AVG: -0.06, I: -8.28, D:  0.02, VEL_OUT: -17.03, MS_MPC: 29520.47, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.79, gy:  0.31, gz:  0.85, OX:  0.08
1746017903.1776817 N:   52, t: 26184620, dt: 17410, ENC_DEG: 62.18, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.06, I: -8.34, D:  0.00, VEL_OUT: -17.33, MS_MPC: 29520.47, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.67, gy:  0.49, gz:  1.83, OX:  0.09
1746017903.1839886 N:   53, t: 26204734, dt: 20114, ENC_DEG: 62.12, REF:  0.00, VEL_RAW: -3.28, VEL_AVG: -0.14, I: -8.48, D: -0.08, VEL_OUT: -19.11, MS_MPC: 29523.42, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.24, gy:  0.61, gz:  1.65, OX:  0.07
1746017903.1899917 N:   55, t: 26243813, dt: 17843, ENC_DEG: 62.14, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.03, I: -8.56, D:  0.02, VEL_OUT: -17.21, MS_MPC: 29522.44, ax:  0.01, ay:  0.01, az:  0.99, gx:  0.92, gy: -0.06, gz:  0.06, OX:  0.02
1746017903.2279456 N:   56, t: 26267367, dt: 23554, ENC_DEG: 62.18, REF:  0.00, VEL_RAW:  1.87, VEL_AVG: -0.34, I: -8.91, D: -0.31, VEL_OUT: -24.34, MS_MPC: 29520.47, ax:  0.01, ay:  0.00, az:  0.99, gx:  1.40, gy: -0.79, gz: -1.34, OX: -0.15
1746017903.2339275 N:   57, t: 26286498, dt: 19131, ENC_DEG: 62.16, REF:  0.00, VEL_RAW: -1.15, VEL_AVG: -0.14, I: -9.04, D:  0.20, VEL_OUT: -17.43, MS_MPC: 29521.46, ax:  0.01, ay: -0.01, az:  1.00, gx:  1.77, gy: -1.10, gz: -1.22, OX: -0.05
1746017903.2871706 N:   58, t: 26307524, dt: 21026, ENC_DEG: 62.16, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.21, I: -9.26, D: -0.08, VEL_OUT: -21.43, MS_MPC: 29521.46, ax:  0.01, ay: -0.01, az:  1.00, gx:  1.65, gy: -1.34, gz: -0.92, OX: -0.04
1746017903.2937064 N:   59, t: 26325675, dt: 18151, ENC_DEG: 62.16, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.01, I: -9.27, D:  0.20, VEL_OUT: -16.58, MS_MPC: 29521.46, ax:  0.01, ay: -0.01, az:  1.00, gx:  1.34, gy: -1.22, gz: -0.55, OX:  0.02
1746017903.299197  N:   60, t: 26349041, dt: 23366, ENC_DEG: 62.14, REF:  0.00, VEL_RAW: -0.94, VEL_AVG: -0.15, I: -9.42, D: -0.14, VEL_OUT: -21.74, MS_MPC: 29522.44, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.73, gy: -0.79, gz:  0.31, OX:  0.06
