1746025555.262001  N:   81, t: 36073440, dt: 26363, ENC_DEG: 64.80, REF:  0.00, VEL_RAW:  1.67, VEL_AVG:  0.05, I: -11.01, D:  0.06, VEL_OUT: -21.95, MS_MPC: 29363.14, ax: -0.01, ay: -0.03, az:  1.01, gx: -1.46, gy:  2.26, gz:  1.92, OX:  0.13
1746025555.268009  N:   82, t: 36091504, dt: 18064, ENC_DEG: 64.78, REF:  0.00, VEL_RAW: -1.22, VEL_AVG: -0.05, I: -11.06, D:  0.00, VEL_OUT: -22.60, MS_MPC: 29364.81, ax: -0.01, ay: -0.03, az:  1.02, gx: -1.28, gy:  1.53, gz:  1.01, OX: -0.06
1746025555.273953  N:   83, t: 36109017, dt: 17513, ENC_DEG: 64.67, REF:  0.00, VEL_RAW: -6.27, VEL_AVG: -0.38, I: -11.44, D: -0.33, VEL_OUT: -29.99, MS_MPC: 29373.04, ax: -0.01, ay: -0.03, az:  1.02, gx: -1.53, gy:  0.67, gz:  0.40, OX:  0.05
1746025555.3218246 N:   84, t: 36133053, dt: 24036, ENC_DEG: 64.73, REF:  0.00, VEL_RAW:  2.74, VEL_AVG: -0.44, I: -11.87, D: -0.06, VEL_OUT: -28.70, MS_MPC: 29368.12, ax: -0.01, ay: -0.03, az:  1.02, gx: -1.59, gy:  0.49, gz: -0.21, OX: -0.12
1746025555.3278089 N:   85, t: 36148137, dt: 15084, ENC_DEG: 64.75, REF:  0.00, VEL_RAW:  1.46, VEL_AVG: -0.23, I: -12.10, D:  0.21, VEL_OUT: -24.36, MS_MPC: 29366.47, ax: -0.01, ay: -0.04, az:  1.01, gx: -1.40, gy:  0.37, gz: -0.15, OX: -0.02
1746025555.333824  N:   86, t: 36167524, dt: 19387, ENC_DEG: 64.69, REF:  0.00, VEL_RAW: -3.40, VEL_AVG: -0.51, I: -12.61, D: -0.28, VEL_OUT: -33.16, MS_MPC: 29371.41, ax: -0.01, ay: -0.04, az:  1.01, gx: -1.10, gy:  0.49, gz:  0.15, OX: -0.01
1746025555.38168   N:   87, t: 36187186, dt: 19662, ENC_DEG: 64.73, REF:  0.00, VEL_RAW:  2.24, VEL_AVG: -0.32, I: -12.94, D:  0.19, VEL_OUT: -27.25, MS_MPC: 29368.12, ax: -0.01, ay: -0.04, az:  1.00, gx: -0.98, gy:  0.37, gz:  0.09, OX: -0.01
1746025555.3876498 N:   88, t: 36210464, dt: 23278, ENC_DEG: 64.78, REF:  0.00, VEL_RAW:  1.89, VEL_AVG: -0.24, I: -13.17, D:  0.09, VEL_OUT: -27.88, MS_MPC: 29364.81, ax: -0.01, ay: -0.04, az:  1.01, gx: -0.37, gy:  0.18, gz: -0.52, OX:  0.03
1746025555.3936663 N:   89, t: 36228836, dt: 18372, ENC_DEG: 64.73, REF:  0.00, VEL_RAW: -2.39, VEL_AVG: -0.31, I: -13.48, D: -0.07, VEL_OUT: -30.76, MS_MPC: 29368.12, ax: -0.01, ay: -0.04, az:  1.02, gx: -0.31, gy:  0.00, gz: -0.70, OX:  0.00
1746025555.4415536 N:   90, t: 36252071, dt: 23235, ENC_DEG: 64.73, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.39, I: -13.87, D: -0.08, VEL_OUT: -32.44, MS_MPC: 29368.12, ax: -0.01, ay: -0.03, az:  1.02, gx: -0.31, gy:  0.00, gz: -0.52, OX:  0.03
1746025555.4993498 N:   91, t: 36267351, dt: 15280, ENC_DEG: 64.78, REF:  0.00, VEL_RAW:  2.88, VEL_AVG:  0.06, I: -13.93, D:  0.33, VEL_OUT: -25.16, MS_MPC: 29364.81, ax: -0.01, ay: -0.03, az:  1.02, gx: -0.31, gy:  0.00, gz: -0.64, OX:  0.03
1746025555.5043602 N:   92, t: 36288489, dt: 21138, ENC_DEG: 64.69, REF:  0.00, VEL_RAW: -4.16, VEL_AVG: -0.38, I: -14.31, D: -0.32, VEL_OUT: -35.66, MS_MPC: 29371.41, ax: -0.00, ay: -0.03, az:  1.01, gx: -0.37, gy: -0.06, gz: -1.01, OX: -0.06
1746025555.5113194 N:   93, t: 36307590, dt: 19101, ENC_DEG: 64.75, REF:  0.00, VEL_RAW:  3.45, VEL_AVG: -0.23, I: -14.55, D:  0.15, VEL_OUT: -29.93, MS_MPC: 29366.47, ax: -0.00, ay: -0.04, az:  1.02, gx: -0.73, gy: -0.37, gz: -1.31, OX: -0.14
1746025555.5591908 N:   94, t: 36329221, dt: 21631, ENC_DEG: 64.73, REF:  0.00, VEL_RAW: -1.02, VEL_AVG: -0.22, I: -14.76, D:  0.02, VEL_OUT: -31.51, MS_MPC: 29368.12, ax: -0.00, ay: -0.04, az:  1.02, gx: -1.04, gy: -0.49, gz: -1.43, OX:  0.03
1746025555.6210265 N:   95, t: 36348658, dt: 19437, ENC_DEG: 64.78, REF:  0.00, VEL_RAW:  2.26, VEL_AVG:  0.50, I: -15.26, D: -0.28, VEL_OUT: -38.26, MS_MPC: 29364.81, ax: -0.00, ay: -0.04, az:  1.02, gx: -1.40, gy: -0.67, gz: -1.37, OX: -0.03
1746025555.6270103 N:   96, t: 36370053, dt: 21395, ENC_DEG: 64.84, REF:  0.00, VEL_RAW:  3.08, VEL_AVG:  0.52, I: -15.78, D: -0.03, VEL_OUT: -37.08, MS_MPC: 29359.80, ax: -0.00, ay: -0.04, az:  1.01, gx: -1.53, gy: -0.43, gz: -1.13, OX: -0.00
1746025555.6329927 N:   97, t: 36387019, dt: 16966, ENC_DEG: 64.73, REF:  0.00, VEL_RAW: -6.48, VEL_AVG: -0.14, I: -15.92, D:  0.39, VEL_OUT: -29.35, MS_MPC: 29368.12, ax: -0.00, ay: -0.04, az:  1.01, gx: -1.59, gy: -0.31, gz: -1.19, OX: -0.01
