1746025249.6182153 N:   72, t: 56319430, dt: 19489, ENC_DEG: 74.47, REF:  0.00, VEL_RAW:  1.13, VEL_AVG: -0.31, I: -12.76, D: -0.27, VEL_OUT: -31.27, MS_MPC: 27935.14, ax:  0.01, ay:  0.01, az:  1.00, gx:  2.20, gy: -1.43, gz: -3.78, OX: -0.07
1746025249.6241946 N:   73, t: 56343940, dt: 24510, ENC_DEG: 74.44, REF:  0.00, VEL_RAW: -0.90, VEL_AVG: -0.38, I: -13.15, D: -0.07, VEL_OUT: -30.86, MS_MPC: 27940.25, ax:  0.01, ay: -0.00, az:  1.00, gx:  2.32, gy: -1.31, gz: -3.54, OX: -0.10
1746025249.6301508 N:   74, t: 56361319, dt: 17379, ENC_DEG: 74.47, REF:  0.00, VEL_RAW:  1.26, VEL_AVG:  0.43, I: -13.57, D: -0.05, VEL_OUT: -31.89, MS_MPC: 27935.14, ax:  0.01, ay: -0.00, az:  1.01, gx:  2.26, gy: -1.01, gz: -3.17, OX: -0.02
1746025249.6361346 N:   75, t: 56378846, dt: 17527, ENC_DEG: 74.44, REF:  0.00, VEL_RAW: -1.25, VEL_AVG:  0.03, I: -13.60, D:  0.40, VEL_OUT: -23.44, MS_MPC: 27940.25, ax:  0.01, ay: -0.00, az:  1.01, gx:  2.01, gy: -0.76, gz: -2.62, OX:  0.03
1746025249.6780536 N:   76, t: 56400852, dt: 22006, ENC_DEG: 74.44, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.22, I: -13.82, D: -0.20, VEL_OUT: -31.88, MS_MPC: 27940.25, ax:  0.02, ay:  0.00, az:  1.01, gx:  1.83, gy: -0.40, gz: -1.95, OX: -0.00
1746025249.684008  N:   77, t: 56419025, dt: 18173, ENC_DEG: 74.42, REF:  0.00, VEL_RAW: -1.21, VEL_AVG: -0.06, I: -13.88, D:  0.17, VEL_OUT: -26.66, MS_MPC: 27945.35, ax:  0.02, ay:  0.00, az:  1.00, gx:  1.46, gy: -0.64, gz: -2.08, OX: -0.02
1746025249.737863  N:   78, t: 56442844, dt: 23819, ENC_DEG: 74.51, REF:  0.00, VEL_RAW:  3.69, VEL_AVG:  0.09, I: -13.98, D: -0.04, VEL_OUT: -29.26, MS_MPC: 27924.89, ax:  0.01, ay:  0.00, az:  1.00, gx:  1.04, gy: -0.70, gz: -1.65, OX: -0.01
1746025249.7438455 N:   79, t: 56460364, dt: 17520, ENC_DEG: 74.38, REF:  0.00, VEL_RAW: -7.52, VEL_AVG: -0.53, I: -14.51, D: -0.44, VEL_OUT: -38.73, MS_MPC: 27955.52, ax:  0.01, ay:  0.00, az:  1.00, gx:  1.04, gy: -0.52, gz: -1.40, OX:  0.00
1746025249.750833  N:   80, t: 56479457, dt: 19093, ENC_DEG: 74.42, REF:  0.00, VEL_RAW:  2.30, VEL_AVG: -0.26, I: -14.77, D:  0.27, VEL_OUT: -29.47, MS_MPC: 27945.35, ax:  0.01, ay: -0.00, az:  0.99, gx:  1.04, gy: -0.15, gz: -1.59, OX: -0.02
1746025249.7558136 N:   81, t: 56500620, dt: 21163, ENC_DEG: 74.44, REF:  0.00, VEL_RAW:  1.04, VEL_AVG:  0.06, I: -14.83, D:  0.20, VEL_OUT: -28.30, MS_MPC: 27940.25, ax:  0.01, ay: -0.00, az:  0.99, gx:  1.16, gy: -0.27, gz: -1.59, OX:  0.00
