1746025651.388995  N:   77, t: 30231177, dt: 20420, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.51, I: -15.86, D: -0.08, VEL_OUT: -37.59, MS_MPC: 21993.95, ax:  0.01, ay: -0.01, az:  1.01, gx:  0.00, gy: -1.65, gz: -0.67, OX: -0.05
1746025651.4432535 N:   78, t: 30251682, dt: 20505, ENC_DEG:  4.37, REF:  0.00, VEL_RAW: -1.07, VEL_AVG:  0.06, I: -15.92, D:  0.45, VEL_OUT: -27.93, MS_MPC: 21988.80, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.67, gy: -1.40, gz: -0.24, OX:  0.01
1746025651.4492388 N:   79, t: 30269890, dt: 18208, ENC_DEG:  4.33, REF:  0.00, VEL_RAW: -2.41, VEL_AVG:  0.01, I: -15.92, D:  0.06, VEL_OUT: -31.34, MS_MPC: 21978.52, ax: -0.00, ay: -0.01, az:  1.01, gx: -0.67, gy: -0.92, gz: -0.31, OX: -0.02
1746025651.4552228 N:   80, t: 30294005, dt: 24115, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  2.73, VEL_AVG:  0.01, I: -15.93, D: -0.00, VEL_OUT: -31.97, MS_MPC: 21993.95, ax: -0.01, ay: -0.01, az:  1.02, gx: -0.92, gy: -0.43, gz:  0.06, OX:  0.07
1746025651.5030978 N:   81, t: 30308698, dt: 14693, ENC_DEG:  4.35, REF:  0.00, VEL_RAW: -2.99, VEL_AVG:  0.04, I: -15.97, D: -0.03, VEL_OUT: -32.71, MS_MPC: 21983.66, ax: -0.01, ay: -0.01, az:  1.02, gx: -1.04, gy:  0.24, gz:  0.92, OX:  0.02
1746025651.5619378 N:   82, t: 30329910, dt: 21212, ENC_DEG:  4.33, REF:  0.00, VEL_RAW: -1.04, VEL_AVG: -0.21, I: -16.18, D: -0.17, VEL_OUT: -36.12, MS_MPC: 21978.52, ax: -0.01, ay: -0.01, az:  1.01, gx: -0.92, gy:  0.79, gz:  1.10, OX: -0.02
1746025651.5679214 N:   83, t: 30352018, dt: 22108, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  2.98, VEL_AVG:  0.14, I: -16.32, D:  0.07, VEL_OUT: -33.35, MS_MPC: 21993.95, ax: -0.00, ay: -0.01, az:  1.00, gx: -0.67, gy:  1.59, gz:  1.65, OX: -0.01
1746025651.573906  N:   84, t: 30371168, dt: 19150, ENC_DEG:  4.37, REF:  0.00, VEL_RAW: -1.15, VEL_AVG:  0.04, I: -16.37, D:  0.10, VEL_OUT: -32.22, MS_MPC: 21988.80, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.61, gy:  1.59, gz:  1.83, OX:  0.00
1746025651.57989   N:   85, t: 30388555, dt: 17387, ENC_DEG:  4.37, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.04, I: -16.40, D:  0.00, VEL_OUT: -33.15, MS_MPC: 21988.80, ax:  0.01, ay: -0.01, az:  0.99, gx: -0.49, gy:  1.89, gz:  2.44, OX:  0.05
1746025651.5858934 N:   86, t: 30409926, dt: 21371, ENC_DEG:  4.31, REF:  0.00, VEL_RAW: -3.08, VEL_AVG: -0.40, I: -16.80, D: -0.36, VEL_OUT: -41.15, MS_MPC: 21973.37, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.24, gy:  2.38, gz:  2.93, OX:  0.05
1746025651.5918896 N:   87, t: 30430941, dt: 21015, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  4.18, VEL_AVG:  0.04, I: -16.84, D:  0.36, VEL_OUT: -30.46, MS_MPC: 21993.95, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.18, gy:  2.99, gz:  3.36, OX:  0.10
1746025651.6234596 N:   88, t: 30452758, dt: 21817, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.15, I: -16.99, D: -0.12, VEL_OUT: -36.70, MS_MPC: 21993.95, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.00, gy:  2.99, gz:  3.05, OX:  0.00
1746025651.6294332 N:   89, t: 30471057, dt: 18299, ENC_DEG:  4.42, REF:  0.00, VEL_RAW:  1.20, VEL_AVG: -0.05, I: -17.05, D:  0.10, VEL_OUT: -33.64, MS_MPC: 21999.09, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.06, gy:  2.56, gz:  2.87, OX:  0.01
1746025651.6852846 N:   90, t: 30489413, dt: 18356, ENC_DEG:  4.33, REF:  0.00, VEL_RAW: -4.79, VEL_AVG: -0.36, I: -17.41, D: -0.31, VEL_OUT: -41.56, MS_MPC: 21978.52, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.12, gy:  2.26, gz:  2.44, OX: -0.03
1746025651.6892736 N:   91, t: 30513734, dt: 24321, ENC_DEG:  4.31, REF:  0.00, VEL_RAW: -0.90, VEL_AVG: -0.24, I: -17.65, D:  0.13, VEL_OUT: -36.42, MS_MPC: 21973.37, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.18, gy:  1.65, gz:  2.32, OX:  0.02
1746025651.697252  N:   92, t: 30529753, dt: 16019, ENC_DEG:  4.33, REF:  0.00, VEL_RAW:  1.37, VEL_AVG: -0.35, I: -18.00, D: -0.11, VEL_OUT: -40.65, MS_MPC: 21978.52, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.43, gy:  1.22, gz:  2.20, OX:  0.01
1746025651.7560956 N:   93, t: 30549808, dt: 20055, ENC_DEG:  4.37, REF:  0.00, VEL_RAW:  2.19, VEL_AVG:  0.08, I: -18.08, D:  0.27, VEL_OUT: -34.25, MS_MPC: 21988.80, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.79, gy:  0.79, gz:  1.83, OX:  0.00
1746025651.8029737 N:   94, t: 30571010, dt: 21202, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  1.04, VEL_AVG:  0.25, I: -18.33, D: -0.17, VEL_OUT: -40.92, MS_MPC: 21993.95, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.79, gy:  0.55, gz:  1.34, OX:  0.01
1746025651.8109486 N:   95, t: 30591115, dt: 20105, ENC_DEG:  4.37, REF:  0.00, VEL_RAW: -1.09, VEL_AVG: -0.09, I: -18.42, D:  0.17, VEL_OUT: -36.05, MS_MPC: 21988.80, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.79, gy:  0.24, gz:  0.85, OX: -0.02
1746025651.8119447 N:   96, t: 30608818, dt: 17703, ENC_DEG:  4.33, REF:  0.00, VEL_RAW: -2.48, VEL_AVG: -0.20, I: -18.62, D: -0.11, VEL_OUT: -40.33, MS_MPC: 21978.52, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.92, gy:  0.06, gz:  0.73, OX: -0.02
1746025651.8269064 N:   97, t: 30632406, dt: 23588, ENC_DEG:  4.33, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.20, I: -18.82, D:  0.00, VEL_OUT: -39.61, MS_MPC: 21978.52, ax: -0.00, ay: -0.00, az:  0.99, gx: -0.73, gy: -0.18, gz:  0.55, OX:  0.34
1746025651.8758948 N:   98, t: 30651488, dt: 19082, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  3.45, VEL_AVG:  0.35, I: -19.16, D: -0.15, VEL_OUT: -43.29, MS_MPC: 21993.95, ax: -0.00, ay: -0.00, az:  0.99, gx: -0.55, gy: -0.31, gz:  0.49, OX:  0.02
1746025651.8768933 N:   99, t: 30668553, dt: 17065, ENC_DEG:  4.31, REF:  0.00, VEL_RAW: -5.15, VEL_AVG: -0.43, I: -19.59, D: -0.08, VEL_OUT: -44.32, MS_MPC: 21973.37, ax: -0.00, ay: -0.00, az:  0.99, gx: -0.12, gy: -0.18, gz:  0.31, OX:  0.02
1746025651.8778908 N:  100, t: 30693105, dt: 24552, ENC_DEG:  4.33, REF:  0.00, VEL_RAW:  0.89, VEL_AVG: -0.36, I: -19.95, D:  0.07, VEL_OUT: -42.71, MS_MPC: 21978.52, ax:  0.00, ay:  0.03, az:  0.99, gx:  0.12, gy:  0.00, gz:  0.55, OX:  0.79
1746025651.8788872 N:  101, t: 30711288, dt: 18183, ENC_DEG:  4.37, REF:  0.00, VEL_RAW:  2.42, VEL_AVG: -0.25, I: -20.20, D:  0.10, VEL_OUT: -41.94, MS_MPC: 21988.80, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.43, gy: -0.06, gz:  0.79, OX: -0.08
1746025651.9227703 N:  102, t: 30728366, dt: 17078, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  1.29, VEL_AVG:  0.25, I: -20.46, D:  0.00, VEL_OUT: -43.41, MS_MPC: 21993.95, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.73, gy:  0.12, gz:  0.73, OX:  0.01
1746025651.9287543 N:  103, t: 30751828, dt: 23462, ENC_DEG:  4.35, REF:  0.00, VEL_RAW: -1.87, VEL_AVG:  0.17, I: -20.63, D:  0.08, VEL_OUT: -42.16, MS_MPC: 21983.66, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.73, gy: -0.18, gz:  0.55, OX: -0.04
1746025651.9357364 N:  104, t: 30769177, dt: 17349, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  2.53, VEL_AVG:  0.27, I: -20.90, D: -0.10, VEL_OUT: -45.44, MS_MPC: 21993.95, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.61, gy:  0.00, gz:  0.43, OX: -0.00
1746025651.982628  N:  105, t: 30792511, dt: 23334, ENC_DEG:  4.35, REF:  0.00, VEL_RAW: -1.88, VEL_AVG: -0.07, I: -20.97, D:  0.20, VEL_OUT: -40.69, MS_MPC: 21983.66, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.43, gy:  0.24, gz:  0.43, OX:  0.01
