1746024875.7536674 N:   39, t: 26616158, dt: 19421, ENC_DEG: 77.83, REF:  0.00, VEL_RAW: -1.13, VEL_AVG: -0.14, I: -10.81, D:  0.05, VEL_OUT: -22.52, MS_MPC: 27027.58, ax:  0.01, ay: -0.01, az:  0.99, gx:  2.50, gy:  1.59, gz:  0.37, OX: -0.02
1746024875.7596493 N:   40, t: 26638636, dt: 22478, ENC_DEG: 77.83, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.14, I: -10.95, D:  0.00, VEL_OUT: -23.31, MS_MPC: 27027.58, ax:  0.01, ay: -0.01, az:  0.99, gx:  2.20, gy:  0.67, gz: -0.24, OX: -0.02
1746024875.7656329 N:   41, t: 26656077, dt: 17441, ENC_DEG: 77.83, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.05, I: -11.01, D:  0.09, VEL_OUT: -21.70, MS_MPC: 27027.58, ax:  0.01, ay: -0.02, az:  1.00, gx:  1.16, gy: -0.79, gz: -1.04, OX: -0.07
1746024875.7716165 N:   42, t: 26677362, dt: 21285, ENC_DEG: 77.87, REF:  0.00, VEL_RAW:  2.06, VEL_AVG: -0.01, I: -11.02, D:  0.04, VEL_OUT: -21.77, MS_MPC: 27013.95, ax:  0.01, ay: -0.01, az:  1.01, gx:  0.49, gy: -1.83, gz: -1.22, OX: -0.01
1746024875.8135068 N:   43, t: 26701914, dt: 24552, ENC_DEG: 77.83, REF:  0.00, VEL_RAW: -1.79, VEL_AVG: -0.16, I: -11.18, D: -0.15, VEL_OUT: -25.49, MS_MPC: 27027.58, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.18, gy: -2.32, gz: -1.34, OX: -0.03
1746024875.819489  N:   44, t: 26720098, dt: 18184, ENC_DEG: 77.81, REF:  0.00, VEL_RAW: -1.21, VEL_AVG: -0.07, I: -11.26, D:  0.09, VEL_OUT: -22.37, MS_MPC: 27034.38, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.43, gy: -2.26, gz: -1.40, OX:  0.03
1746024875.8255036 N:   45, t: 26738389, dt: 18291, ENC_DEG: 77.87, REF:  0.00, VEL_RAW:  3.60, VEL_AVG:  0.39, I: -11.65, D: -0.32, VEL_OUT: -30.35, MS_MPC: 27013.95, ax:  0.02, ay: -0.02, az:  1.00, gx: -0.49, gy: -2.38, gz: -1.95, OX: -0.08
1746024875.873347  N:   46, t: 26760198, dt: 21809, ENC_DEG: 77.87, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.20, I: -11.85, D:  0.19, VEL_OUT: -23.82, MS_MPC: 27013.95, ax:  0.03, ay: -0.02, az:  0.99, gx: -0.37, gy: -2.14, gz: -1.77, OX: -0.02
1746024875.8793309 N:   47, t: 26781071, dt: 20873, ENC_DEG: 77.83, REF:  0.00, VEL_RAW: -2.11, VEL_AVG: -0.07, I: -11.92, D:  0.13, VEL_OUT: -23.26, MS_MPC: 27027.58, ax:  0.03, ay: -0.03, az:  1.00, gx:  0.31, gy: -2.01, gz: -0.73, OX: -0.04
1746024875.8863282 N:   48, t: 26799365, dt: 18294, ENC_DEG: 77.83, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.01, I: -11.93, D:  0.06, VEL_OUT: -23.43, MS_MPC: 27027.58, ax:  0.03, ay: -0.03, az:  1.01, gx:  0.37, gy: -1.40, gz:  0.37, OX:  0.01
