1746174081.7678192 N:   68, t: 23128733, dt: 20236, ENC_DEG:  5.49, REF:  0.00, VEL_RAW: -1.09, VEL_AVG:  0.32, I: -15.28, D: -0.05, VEL_OUT: -34.18, MS_MPC: 22249.61, ax:  0.06, ay:  0.00, az:  0.99, gx:  0.03, gy:  0.27, gz:  0.06, OX:  0.04
1746174081.821397  N:   69, t: 23147050, dt: 18317, ENC_DEG:  5.47, REF:  0.00, VEL_RAW: -1.20, VEL_AVG:  0.09, I: -15.37, D:  0.22, VEL_OUT: -29.46, MS_MPC: 22244.52, ax:  0.06, ay:  0.01, az:  0.99, gx:  0.09, gy:  0.46, gz:  0.00, OX:  0.02
1746174081.8272858 N:   70, t: 23165249, dt: 18199, ENC_DEG:  5.49, REF:  0.00, VEL_RAW:  1.21, VEL_AVG:  0.42, I: -15.79, D: -0.33, VEL_OUT: -39.07, MS_MPC: 22249.61, ax:  0.05, ay:  0.01, az:  0.99, gx:  0.27, gy:  0.03, gz: -0.12, OX:  0.06
1746174081.8337765 N:   71, t: 23184731, dt: 19482, ENC_DEG:  5.47, REF:  0.00, VEL_RAW: -1.13, VEL_AVG:  0.11, I: -15.91, D:  0.31, VEL_OUT: -29.89, MS_MPC: 22244.52, ax:  0.05, ay:  0.02, az:  0.99, gx:  0.64, gy: -0.09, gz: -0.18, OX:  0.03
1746174081.8399758 N:   72, t: 23206488, dt: 21757, ENC_DEG:  5.45, REF:  0.00, VEL_RAW: -1.01, VEL_AVG:  0.14, I: -16.04, D: -0.02, VEL_OUT: -33.69, MS_MPC: 22239.43, ax:  0.05, ay:  0.01, az:  0.99, gx:  1.01, gy: -0.70, gz: -0.55, OX: -0.07
1746174081.8807805 N:   73, t: 23227710, dt: 21222, ENC_DEG:  5.47, REF:  0.00, VEL_RAW:  1.04, VEL_AVG:  0.22, I: -16.27, D: -0.09, VEL_OUT: -35.63, MS_MPC: 22244.52, ax:  0.05, ay:  0.01, az:  1.00, gx:  1.13, gy: -0.95, gz: -0.98, OX: -0.01
1746174081.8870425 N:   74, t: 23245887, dt: 18177, ENC_DEG:  5.47, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.03, I: -16.30, D:  0.19, VEL_OUT: -31.00, MS_MPC: 22244.52, ax:  0.06, ay:  0.01, az:  1.00, gx:  1.37, gy: -0.70, gz: -0.43, OX: -0.03
1746174081.9413    N:   75, t: 23267759, dt: 21872, ENC_DEG:  5.45, REF:  0.00, VEL_RAW: -1.00, VEL_AVG:  0.23, I: -16.53, D: -0.19, VEL_OUT: -37.27, MS_MPC: 22239.43, ax:  0.06, ay:  0.00, az:  0.99, gx:  1.19, gy: -0.40, gz: -0.18, OX: -0.00
1746174081.9477394 N:   76, t: 23285987, dt: 18228, ENC_DEG:  5.52, REF:  0.00, VEL_RAW:  3.62, VEL_AVG:  0.14, I: -16.66, D:  0.09, VEL_OUT: -33.76, MS_MPC: 22254.69, ax:  0.06, ay:  0.00, az:  0.99, gx:  0.70, gy: -0.70, gz: -0.06, OX:  0.01
1746174081.9537613 N:   77, t: 23304996, dt: 19009, ENC_DEG:  5.47, REF:  0.00, VEL_RAW: -2.31, VEL_AVG:  0.11, I: -16.77, D:  0.03, VEL_OUT: -34.35, MS_MPC: 22244.52, ax:  0.05, ay:  0.00, az:  0.99, gx:  0.46, gy: -0.64, gz:  0.00, OX:  0.02
1746174081.9598653 N:   78, t: 23327760, dt: 22764, ENC_DEG:  5.52, REF:  0.00, VEL_RAW:  1.93, VEL_AVG:  0.09, I: -16.86, D:  0.01, VEL_OUT: -34.53, MS_MPC: 22254.69, ax:  0.05, ay:  0.01, az:  0.99, gx:  0.52, gy: -0.70, gz: -0.43, OX:  0.02
1746174082.0621963 N:   79, t: 23350837, dt: 23077, ENC_DEG:  5.49, REF:  0.00, VEL_RAW: -0.95, VEL_AVG: -0.08, I: -16.94, D:  0.02, VEL_OUT: -34.44, MS_MPC: 22249.61, ax:  0.05, ay:  0.01, az:  1.00, gx:  0.40, gy: -0.76, gz: -0.67, OX: -0.02
1746174082.119605  N:   80, t: 23366154, dt: 15317, ENC_DEG:  5.47, REF:  0.00, VEL_RAW: -1.43, VEL_AVG: -0.10, I: -17.04, D: -0.03, VEL_OUT: -35.42, MS_MPC: 22244.52, ax:  0.05, ay:  0.01, az:  1.00, gx:  0.15, gy: -1.07, gz: -0.85, OX: -0.02
1746174082.1256945 N:   81, t: 23390813, dt: 24659, ENC_DEG:  5.47, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.00, I: -17.05, D:  0.10, VEL_OUT: -33.14, MS_MPC: 22244.52, ax:  0.05, ay:  0.01, az:  1.00, gx:  0.09, gy: -1.01, gz: -1.16, OX: -0.02
1746174082.1798594 N:   82, t: 23407140, dt: 16327, ENC_DEG:  5.54, REF:  0.00, VEL_RAW:  4.04, VEL_AVG:  0.23, I: -17.28, D: -0.23, VEL_OUT: -39.14, MS_MPC: 22259.77, ax:  0.06, ay:  0.00, az:  0.99, gx: -0.15, gy: -0.34, gz: -0.61, OX: -0.02
1746174082.2371998 N:   84, t: 23445809, dt: 20611, ENC_DEG:  5.52, REF:  0.00, VEL_RAW:  2.13, VEL_AVG:  0.28, I: -17.58, D: -0.26, VEL_OUT: -40.62, MS_MPC: 22254.69, ax:  0.05, ay:  0.01, az:  0.99, gx: -0.09, gy: -0.58, gz: -0.79, OX:  0.01
1746174082.2431257 N:   87, t: 23506481, dt: 20976, ENC_DEG:  5.47, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.10, I: -17.79, D: -0.08, VEL_OUT: -37.39, MS_MPC: 22244.52, ax:  0.06, ay:  0.01, az:  1.00, gx: -0.27, gy: -0.58, gz: -1.28, OX: -0.01
1746174082.2988086 N:   88, t: 23525879, dt: 19398, ENC_DEG:  5.45, REF:  0.00, VEL_RAW: -1.13, VEL_AVG: -0.30, I: -18.09, D: -0.20, VEL_OUT: -41.22, MS_MPC: 22239.43, ax:  0.06, ay:  0.01, az:  1.00, gx:  0.03, gy: -0.52, gz: -1.46, OX: -0.04
1746174082.304054  N:   90, t: 23571437, dt: 25211, ENC_DEG:  5.47, REF:  0.00, VEL_RAW: -1.74, VEL_AVG: -0.14, I: -18.40, D:  0.02, VEL_OUT: -38.03, MS_MPC: 22244.52, ax:  0.05, ay:  0.00, az:  0.99, gx: -0.03, gy: -0.21, gz: -1.10, OX: -0.00
1746174082.3105156 N:   93, t: 23627906, dt: 17204, ENC_DEG:  5.49, REF:  0.00, VEL_RAW:  1.28, VEL_AVG:  0.25, I: -18.98, D: -0.11, VEL_OUT: -41.57, MS_MPC: 22249.61, ax:  0.05, ay:  0.00, az:  0.99, gx:  0.40, gy: -0.58, gz: -1.34, OX: -0.01
1746174082.316707  N:   94, t: 23645169, dt: 17263, ENC_DEG:  5.52, REF:  0.00, VEL_RAW:  1.27, VEL_AVG:  0.02, I: -19.01, D:  0.23, VEL_OUT: -35.95, MS_MPC: 22254.69, ax:  0.05, ay:  0.01, az:  1.00, gx:  0.46, gy: -0.34, gz: -1.04, OX:  0.01
1746174082.322203  N:   96, t: 23684993, dt: 13552, ENC_DEG:  5.47, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.01, I: -19.21, D:  0.18, VEL_OUT: -36.75, MS_MPC: 22244.52, ax:  0.05, ay: -0.00, az:  1.00, gx:  0.34, gy: -0.34, gz: -0.49, OX: -0.02
1746174082.3607795 N:   97, t: 23705236, dt: 20243, ENC_DEG:  5.49, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.20, I: -19.40, D: -0.18, VEL_OUT: -42.60, MS_MPC: 22249.61, ax:  0.05, ay: -0.00, az:  1.00, gx:  0.27, gy:  0.09, gz:  0.43, OX:  0.04
1746174082.4184828 N:   98, t: 23726470, dt: 21234, ENC_DEG:  5.47, REF:  0.00, VEL_RAW: -1.03, VEL_AVG:  0.20, I: -19.60, D: -0.00, VEL_OUT: -41.25, MS_MPC: 22244.52, ax:  0.05, ay:  0.00, az:  0.99, gx:  0.27, gy:  0.34, gz:  0.92, OX:  0.02
