1746174370.202757  N:   76, t: 24368202, dt: 2744, ENC_DEG: 81.54, REF:  0.00, VEL_RAW:  8.01, VEL_AVG: -5.06, I: -20.09, D:  0.21, VEL_OUT: -38.54, MS_MPC: 25556.12, ax: -0.02, ay: -0.00, az:  1.01, gx:  0.67, gy: -0.58, gz: -0.34, OX: -0.26
1746174370.2093575 N:   77, t: 24429066, dt: 60864, ENC_DEG: 80.38, REF:  0.00, VEL_RAW: -19.13, VEL_AVG: -6.44, I: -20.09, D:  0.21, VEL_OUT: -38.54, MS_MPC: 25556.12, ax: -0.02, ay: -0.00, az:  1.01, gx:  0.67, gy: -0.58, gz: -0.34, OX: -0.26
1746174370.2160113 N:   78, t: 24432097, dt: 3031, ENC_DEG: 80.27, REF:  0.00, VEL_RAW: -36.25, VEL_AVG: -9.57, I: -20.09, D:  0.21, VEL_OUT: -38.54, MS_MPC: 25556.12, ax: -0.02, ay: -0.00, az:  1.01, gx:  0.67, gy: -0.58, gz: -0.34, OX: -0.26
1746174370.2224145 N:   79, t: 24438569, dt: 6472, ENC_DEG: 80.22, REF:  0.00, VEL_RAW: -6.79, VEL_AVG: -10.11, I: -20.09, D:  0.21, VEL_OUT: -38.54, MS_MPC: 25556.12, ax: -0.02, ay: -0.00, az:  1.01, gx:  0.67, gy: -0.58, gz: -0.34, OX: -0.26
1746174370.2412806 N:   80, t: 24441537, dt: 2968, ENC_DEG: 80.09, REF:  0.00, VEL_RAW: -44.43, VEL_AVG: -13.90, I: -20.09, D:  0.21, VEL_OUT: -38.54, MS_MPC: 25556.12, ax: -0.02, ay: -0.00, az:  1.01, gx:  0.67, gy: -0.58, gz: -0.34, OX: -0.26
1746174370.247006  N:   81, t: 24446801, dt: 5264, ENC_DEG: 80.03, REF:  0.00, VEL_RAW: -12.52, VEL_AVG: -14.78, I: -20.09, D:  0.21, VEL_OUT: -38.54, MS_MPC: 25556.12, ax: -0.02, ay: -0.00, az:  1.01, gx:  0.67, gy: -0.58, gz: -0.34, OX: -0.26
1746174370.2537286 N:   82, t: 24453146, dt: 6345, ENC_DEG: 79.94, REF:  0.00, VEL_RAW: -13.85, VEL_AVG: -16.23, I: -20.09, D:  0.21, VEL_OUT: -38.54, MS_MPC: 25556.12, ax: -0.02, ay: -0.00, az:  1.01, gx:  0.67, gy: -0.58, gz: -0.34, OX: -0.26
1746174370.2592356 N:   83, t: 24456104, dt: 2958, ENC_DEG: 79.81, REF:  0.00, VEL_RAW: -44.57, VEL_AVG: -19.95, I: -20.09, D:  0.21, VEL_OUT: -38.54, MS_MPC: 25556.12, ax: -0.02, ay: -0.00, az:  1.01, gx:  0.67, gy: -0.58, gz: -0.34, OX: -0.26
1746174370.2652428 N:   86, t: 24472050, dt: 2763, ENC_DEG: 79.59, REF:  0.00, VEL_RAW: -31.81, VEL_AVG: -19.83, I: -20.09, D:  0.21, VEL_OUT: -38.54, MS_MPC: 25556.12, ax: -0.02, ay: -0.00, az:  1.01, gx:  0.67, gy: -0.58, gz: -0.34, OX: -0.26
1746174370.2722158 N:   88, t: 24483027, dt: 3031, ENC_DEG: 79.37, REF:  0.00, VEL_RAW: -43.50, VEL_AVG: -23.17, I: -20.09, D:  0.21, VEL_OUT: -38.54, MS_MPC: 25556.12, ax: -0.02, ay: -0.00, az:  1.01, gx:  0.67, gy: -0.58, gz: -0.34, OX: -0.26
