1746173754.1572087 N:   55, t: 27843248, dt: 21114, ENC_DEG: 78.62, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.05, I: -12.21, D: -0.01, VEL_OUT: -24.99, MS_MPC: 26774.81, ax: -0.01, ay: -0.00, az:  0.98, gx:  0.92, gy:  0.67, gz: -0.58, OX:  0.01
1746173754.1625967 N:   57, t: 27884280, dt: 20803, ENC_DEG: 78.58, REF:  0.00, VEL_RAW: -5.28, VEL_AVG: -0.30, I: -12.92, D:  0.10, VEL_OUT: -27.85, MS_MPC: 26789.28, ax: -0.02, ay: -0.00, az:  1.00, gx:  2.01, gy:  0.24, gz:  0.09, OX:  0.01
1746173754.168575  N:   58, t: 27902074, dt: 17794, ENC_DEG: 78.64, REF:  0.00, VEL_RAW:  3.70, VEL_AVG:  0.25, I: -13.17, D:  0.06, VEL_OUT: -28.23, MS_MPC: 26767.57, ax: -0.02, ay:  0.01, az:  1.00, gx:  1.89, gy: -0.06, gz: -0.21, OX:  0.06
1746173754.1745596 N:   59, t: 27923234, dt: 21160, ENC_DEG: 78.62, REF:  0.00, VEL_RAW: -1.04, VEL_AVG: -0.16, I: -13.33, D:  0.09, VEL_OUT: -27.33, MS_MPC: 26774.81, ax: -0.01, ay:  0.00, az:  1.00, gx:  1.77, gy: -0.18, gz: -1.01, OX: -0.08
1746173754.180584  N:   60, t: 27947948, dt: 24714, ENC_DEG: 78.58, REF:  0.00, VEL_RAW: -1.78, VEL_AVG: -0.20, I: -13.53, D: -0.05, VEL_OUT: -29.59, MS_MPC: 26789.28, ax: -0.01, ay: -0.01, az:  1.00, gx:  1.46, gy: -0.49, gz: -0.46, OX: -0.04
1746173754.272631  N:   61, t: 27961996, dt: 14048, ENC_DEG: 78.62, REF:  0.00, VEL_RAW:  3.14, VEL_AVG: -0.03, I: -13.57, D:  0.17, VEL_OUT: -25.77, MS_MPC: 26774.81, ax: -0.01, ay: -0.01, az:  1.02, gx:  0.98, gy: -0.06, gz:  0.21, OX: -0.11
1746173754.2785878 N:   62, t: 27982224, dt: 20228, ENC_DEG: 78.66, REF:  0.00, VEL_RAW:  2.17, VEL_AVG:  0.24, I: -13.80, D: -0.20, VEL_OUT: -32.01, MS_MPC: 26760.30, ax: -0.01, ay: -0.01, az:  1.03, gx:  0.55, gy:  0.37, gz:  0.64, OX:  0.05
1746173754.284668  N:   63, t: 28003832, dt: 21608, ENC_DEG: 78.62, REF:  0.00, VEL_RAW: -2.03, VEL_AVG:  0.02, I: -13.83, D:  0.22, VEL_OUT: -25.72, MS_MPC: 26774.81, ax: -0.01, ay: -0.00, az:  1.02, gx: -0.73, gy:  0.85, gz:  0.95, OX: -0.00
1746173754.2902405 N:   64, t: 28023960, dt: 20128, ENC_DEG: 78.62, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.38, I: -14.21, D: -0.36, VEL_OUT: -35.86, MS_MPC: 26774.81, ax: -0.01, ay: -0.00, az:  1.01, gx: -1.40, gy:  0.67, gz:  0.70, OX:  0.05
1746173754.2972448 N:   66, t: 28063807, dt: 21023, ENC_DEG: 78.69, REF:  0.00, VEL_RAW:  1.05, VEL_AVG:  0.46, I: -14.77, D: -0.36, VEL_OUT: -37.74, MS_MPC: 26753.03, ax: -0.01, ay: -0.01, az:  0.98, gx: -1.53, gy:  0.73, gz: -0.15, OX: -0.04
1746173754.3370733 N:   67, t: 28068245, dt: 4438, ENC_DEG: 78.62, REF:  0.00, VEL_RAW: -14.86, VEL_AVG: -0.78, I: -14.77, D: -0.36, VEL_OUT: -37.74, MS_MPC: 26753.03, ax: -0.01, ay: -0.01, az:  0.98, gx: -1.53, gy:  0.73, gz: -0.15, OX: -0.04
1746173754.3431723 N:   68, t: 28076183, dt: 7938, ENC_DEG: 78.62, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -1.05, I: -14.77, D: -0.36, VEL_OUT: -37.74, MS_MPC: 26753.03, ax: -0.01, ay: -0.01, az:  0.98, gx: -1.53, gy:  0.73, gz: -0.15, OX: -0.04
