1746174675.1065757 N:   64, t: 23444948, dt: 7986, ENC_DEG: 73.28, REF:  0.00, VEL_RAW: -27.52, VEL_AVG: -9.81, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.1129217 N:   65, t: 23447898, dt: 2950, ENC_DEG: 73.24, REF:  0.00, VEL_RAW: -14.90, VEL_AVG: -11.13, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.1186967 N:   66, t: 23453468, dt: 5570, ENC_DEG: 73.13, REF:  0.00, VEL_RAW: -19.72, VEL_AVG: -12.77, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.1246479 N:   71, t: 23472167, dt: 3763, ENC_DEG: 72.80, REF:  0.00, VEL_RAW: -23.35, VEL_AVG: -19.60, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.1306424 N:   72, t: 23492202, dt: 20035, ENC_DEG: 72.47, REF:  0.00, VEL_RAW: -16.45, VEL_AVG: -19.76, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.1366432 N:   73, t: 23495224, dt: 3022, ENC_DEG: 72.45, REF:  0.00, VEL_RAW: -7.27, VEL_AVG: -18.08, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.1427813 N:   75, t: 23504539, dt: 2965, ENC_DEG: 72.20, REF:  0.00, VEL_RAW: -51.86, VEL_AVG: -20.86, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.1492012 N:   76, t: 23512581, dt: 8042, ENC_DEG: 72.16, REF:  0.00, VEL_RAW: -5.46, VEL_AVG: -19.02, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.1547825 N:   77, t: 23520489, dt: 7908, ENC_DEG: 72.05, REF:  0.00, VEL_RAW: -13.89, VEL_AVG: -18.94, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.162642  N:   78, t: 23523471, dt: 2982, ENC_DEG: 72.07, REF:  0.00, VEL_RAW:  7.34, VEL_AVG: -16.68, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.1697016 N:   79, t: 23530866, dt: 7395, ENC_DEG: 71.96, REF:  0.00, VEL_RAW: -14.87, VEL_AVG: -17.07, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.1757054 N:   80, t: 23538900, dt: 8034, ENC_DEG: 71.83, REF:  0.00, VEL_RAW: -16.42, VEL_AVG: -16.06, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.2246592 N:   81, t: 23541845, dt: 2945, ENC_DEG: 71.74, REF:  0.00, VEL_RAW: -29.84, VEL_AVG: -18.16, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.2313116 N:   82, t: 23549850, dt: 8005, ENC_DEG: 71.63, REF:  0.00, VEL_RAW: -13.72, VEL_AVG: -16.64, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.2373166 N:   83, t: 23552753, dt: 2903, ENC_DEG: 71.65, REF:  0.00, VEL_RAW:  7.57, VEL_AVG: -14.06, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.242652  N:   84, t: 23560759, dt: 8006, ENC_DEG: 71.46, REF:  0.00, VEL_RAW: -24.70, VEL_AVG: -14.75, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.2486403 N:   89, t: 23578218, dt: 3862, ENC_DEG: 71.19, REF:  0.00, VEL_RAW: -17.07, VEL_AVG: -14.15, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.254449  N:   90, t: 23620963, dt: 42745, ENC_DEG: 70.62, REF:  0.00, VEL_RAW: -13.36, VEL_AVG: -15.88, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.2606382 N:   91, t: 23623959, dt: 2996, ENC_DEG: 70.56, REF:  0.00, VEL_RAW: -22.05, VEL_AVG: -16.48, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.2674782 N:   92, t: 23631295, dt: 7336, ENC_DEG: 70.42, REF:  0.00, VEL_RAW: -17.97, VEL_AVG: -16.61, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.2726288 N:   93, t: 23634212, dt: 2917, ENC_DEG: 70.36, REF:  0.00, VEL_RAW: -22.61, VEL_AVG: -16.00, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.278481  N:   94, t: 23641849, dt: 7637, ENC_DEG: 70.25, REF:  0.00, VEL_RAW: -14.39, VEL_AVG: -16.06, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.52568   N:   95, t: 23646038, dt: 4189, ENC_DEG: 70.20, REF:  0.00, VEL_RAW: -10.49, VEL_AVG: -17.56, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.531996  N:   96, t: 23649064, dt: 3026, ENC_DEG: 70.16, REF:  0.00, VEL_RAW: -14.53, VEL_AVG: -16.72, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.5389664 N:   97, t: 23653196, dt: 4132, ENC_DEG: 70.14, REF:  0.00, VEL_RAW: -5.32, VEL_AVG: -15.33, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
