1746526904.3916352 N:   42, t: 40595090, dt: 18163, ENC_DEG: 40.10, REF:  0.00, VEL_RAW: -2.42, VEL_AVG: -0.27, I: -6.86, D: -0.14, VEL_OUT: -17.78, MS_MPC: 28497.71, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.06, gy: -0.15, gz: -0.37, OX: -0.00
1746526904.3976195 N:   43, t: 40610556, dt: 15466, ENC_DEG: 40.15, REF:  0.00, VEL_RAW:  2.84, VEL_AVG: -0.51, I: -7.36, D: -0.24, VEL_OUT: -22.18, MS_MPC: 28502.79, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.12, gy:  0.15, gz: -0.18, OX: -0.13
1746526904.5459642 N:   44, t: 40632653, dt: 22097, ENC_DEG: 40.21, REF:  0.00, VEL_RAW:  2.98, VEL_AVG: -0.05, I: -7.41, D:  0.46, VEL_OUT: -10.77, MS_MPC: 28510.40, ax:  0.00, ay:  0.00, az:  1.01, gx:  0.00, gy: -0.15, gz:  0.73, OX:  0.09
1746526904.5516872 N:   45, t: 40650950, dt: 18297, ENC_DEG: 40.15, REF:  0.00, VEL_RAW: -3.60, VEL_AVG:  0.12, I: -7.54, D: -0.07, VEL_OUT: -17.06, MS_MPC: 28502.79, ax:  0.00, ay:  0.00, az:  1.01, gx:  0.49, gy:  0.52, gz:  0.92, OX:  0.01
1746526904.5576215 N:   46, t: 40671334, dt: 20384, ENC_DEG: 40.15, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.12, I: -7.66, D:  0.00, VEL_OUT: -16.57, MS_MPC: 28502.79, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.55, gy:  0.70, gz:  1.28, OX:  0.03
1746526904.5636027 N:   47, t: 40696541, dt: 25207, ENC_DEG: 40.12, REF:  0.00, VEL_RAW: -0.87, VEL_AVG: -0.12, I: -7.78, D:  0.00, VEL_OUT: -16.77, MS_MPC: 28500.25, ax:  0.01, ay: -0.00, az:  0.99, gx: -0.06, gy:  0.27, gz:  0.85, OX: -0.04
1746526904.569594  N:   50, t: 40756000, dt: 24110, ENC_DEG: 40.15, REF:  0.00, VEL_RAW: -1.82, VEL_AVG: -0.23, I: -8.20, D: -0.05, VEL_OUT: -19.19, MS_MPC: 28502.79, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.67, gy: -0.46, gz:  1.04, OX: -0.04
1746526904.6096542 N:   51, t: 40794042, dt: 38042, ENC_DEG: 40.15, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.32, I: -8.52, D: -0.09, VEL_OUT: -21.16, MS_MPC: 28502.79, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.43, gy: -0.46, gz:  0.55, OX: -0.01
1746526904.6153395 N:   52, t: 40814988, dt: 20946, ENC_DEG: 40.19, REF:  0.00, VEL_RAW:  2.10, VEL_AVG:  0.24, I: -8.76, D:  0.08, VEL_OUT: -19.07, MS_MPC: 28507.87, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.43, gy: -0.64, gz:  0.31, OX:  0.08
1746526904.6217144 N:   53, t: 40831259, dt: 16271, ENC_DEG: 40.17, REF:  0.00, VEL_RAW: -1.35, VEL_AVG:  0.13, I: -8.89, D:  0.11, VEL_OUT: -17.90, MS_MPC: 28505.33, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.06, gy: -0.46, gz:  0.12, OX:  0.10
1746526904.6697896 N:   54, t: 40856540, dt: 25281, ENC_DEG: 40.12, REF:  0.00, VEL_RAW: -1.74, VEL_AVG:  0.18, I: -9.07, D: -0.06, VEL_OUT: -20.52, MS_MPC: 28500.25, ax:  0.00, ay:  0.02, az:  1.01, gx: -0.06, gy: -0.46, gz: -0.06, OX: -0.01
1746526904.6755953 N:   55, t: 40874714, dt: 18174, ENC_DEG: 40.10, REF:  0.00, VEL_RAW: -1.21, VEL_AVG: -0.16, I: -9.22, D:  0.03, VEL_OUT: -19.74, MS_MPC: 28497.71, ax:  0.00, ay:  0.02, az:  1.01, gx:  0.43, gy:  0.03, gz: -0.43, OX:  0.02
1746526904.6815836 N:   56, t: 40892102, dt: 17388, ENC_DEG: 40.21, REF:  0.00, VEL_RAW:  6.32, VEL_AVG:  0.12, I: -9.35, D:  0.03, VEL_OUT: -19.58, MS_MPC: 28510.40, ax:  0.00, ay:  0.01, az:  1.01, gx:  0.49, gy: -0.03, gz: -0.49, OX: -0.04
1746526904.7295477 N:   57, t: 40915261, dt: 23159, ENC_DEG: 40.12, REF:  0.00, VEL_RAW: -3.79, VEL_AVG:  0.11, I: -9.45, D:  0.02, VEL_OUT: -19.81, MS_MPC: 28500.25, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.73, gy:  0.27, gz: -0.79, OX: -0.10
1746526904.7892554 N:   58, t: 40932262, dt: 17001, ENC_DEG: 40.19, REF:  0.00, VEL_RAW:  3.88, VEL_AVG:  0.43, I: -9.88, D: -0.32, VEL_OUT: -27.29, MS_MPC: 28507.87, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.85, gy:  0.15, gz: -0.37, OX: -0.04
1746526904.7947443 N:   59, t: 40952323, dt: 20061, ENC_DEG: 40.12, REF:  0.00, VEL_RAW: -3.29, VEL_AVG:  0.23, I: -10.11, D:  0.20, VEL_OUT: -20.49, MS_MPC: 28500.25, ax:  0.00, ay:  0.00, az:  0.99, gx:  0.55, gy: -0.09, gz: -0.24, OX: -0.11
1746526904.8013873 N:   60, t: 40971874, dt: 19551, ENC_DEG: 40.21, REF:  0.00, VEL_RAW:  4.50, VEL_AVG:  0.49, I: -10.60, D: -0.26, VEL_OUT: -28.68, MS_MPC: 28510.40, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.18, gy:  0.03, gz:  0.12, OX:  0.06
1746526904.8073697 N:   61, t: 40992159, dt: 20285, ENC_DEG: 40.08, REF:  0.00, VEL_RAW: -6.50, VEL_AVG: -0.24, I: -10.84, D:  0.25, VEL_OUT: -21.65, MS_MPC: 28495.17, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.12, gy: -0.21, gz:  0.12, OX: -0.06
1746526904.8133419 N:   62, t: 41015293, dt: 23134, ENC_DEG: 40.15, REF:  0.00, VEL_RAW:  2.85, VEL_AVG:  0.15, I: -10.99, D:  0.10, VEL_OUT: -22.48, MS_MPC: 28502.79, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.49, gy: -0.46, gz:  0.24, OX:  0.06
