1746526683.7103276 N:   84, t: 25302948, dt: 15488, ENC_DEG:  4.77, REF:  0.00, VEL_RAW:  1.42, VEL_AVG:  0.30, I: -13.71, D: -0.30, VEL_OUT: -33.33, MS_MPC: 22081.18, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.06, gy:  0.55, gz:  0.27, OX:  0.07
1746526683.807795  N:   85, t: 25322451, dt: 19503, ENC_DEG:  4.75, REF:  0.00, VEL_RAW: -1.13, VEL_AVG:  0.13, I: -13.83, D:  0.17, VEL_OUT: -27.22, MS_MPC: 22076.06, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.61, gz:  0.21, OX: -0.02
1746526683.8138113 N:   86, t: 25347887, dt: 25436, ENC_DEG:  4.75, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.10, I: -13.93, D:  0.02, VEL_OUT: -28.65, MS_MPC: 22076.06, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.24, gy:  0.67, gz: -0.21, OX: -0.10
1746526683.867086  N:   87, t: 25364001, dt: 16114, ENC_DEG:  4.79, REF:  0.00, VEL_RAW:  2.73, VEL_AVG:  0.30, I: -14.24, D: -0.20, VEL_OUT: -33.52, MS_MPC: 22086.31, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.79, gz: -0.09, OX:  0.10
1746526683.8740485 N:   88, t: 25384054, dt: 20053, ENC_DEG:  4.79, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.02, I: -14.26, D:  0.28, VEL_OUT: -25.91, MS_MPC: 22086.31, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.12, gy:  0.67, gz:  0.03, OX:  0.02
1746526683.9272606 N:   90, t: 25428313, dt: 25315, ENC_DEG:  4.73, REF:  0.00, VEL_RAW: -1.74, VEL_AVG: -0.15, I: -14.70, D:  0.14, VEL_OUT: -29.60, MS_MPC: 22070.94, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.37, gy:  0.24, gz: -0.46, OX: -0.04
1746526683.933241  N:   91, t: 25447420, dt: 19107, ENC_DEG:  4.81, REF:  0.00, VEL_RAW:  4.60, VEL_AVG:  0.57, I: -15.27, D: -0.42, VEL_OUT: -40.42, MS_MPC: 22091.43, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.12, gy:  0.49, gz:  0.03, OX: -0.03
1746526683.9392219 N:   93, t: 25488276, dt: 24704, ENC_DEG:  4.73, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.14, I: -15.48, D: -0.07, VEL_OUT: -33.08, MS_MPC: 22070.94, ax:  0.00, ay:  0.01, az:  0.99, gx: -0.24, gy: -0.49, gz:  0.82, OX:  0.20
1746526683.986686  N:   94, t: 25503488, dt: 15212, ENC_DEG:  4.70, REF:  0.00, VEL_RAW: -1.44, VEL_AVG: -0.26, I: -15.73, D: -0.12, VEL_OUT: -35.26, MS_MPC: 22065.81, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.37, gy: -0.31, gz:  0.52, OX:  0.04
1746526683.9927316 N:   96, t: 25546553, dt: 22673, ENC_DEG:  4.68, REF:  0.00, VEL_RAW: -2.91, VEL_AVG: -0.36, I: -16.10, D: -0.36, VEL_OUT: -39.41, MS_MPC: 22060.69, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.43, gy: -0.12, gz:  0.76, OX: -0.00
