1746526526.4259999 N:   87, t: 31925724, dt: 19807, ENC_DEG:  3.34, REF:  0.00, VEL_RAW: -3.33, VEL_AVG:  0.10, I: -17.75, D:  0.22, VEL_OUT: -34.34, MS_MPC: 21745.90, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.09, gy: -0.12, gz:  0.79, OX:  0.01
1746526526.4329824 N:   88, t: 31944869, dt: 19145, ENC_DEG:  3.32, REF:  0.00, VEL_RAW: -1.15, VEL_AVG: -0.15, I: -17.91, D: -0.05, VEL_OUT: -37.88, MS_MPC: 21740.71, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.09, gy:  0.18, gz:  1.40, OX:  0.05
1746526526.437966  N:   89, t: 31965173, dt: 20304, ENC_DEG:  3.36, REF:  0.00, VEL_RAW:  2.16, VEL_AVG:  0.03, I: -17.93, D:  0.13, VEL_OUT: -34.89, MS_MPC: 21751.10, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.15, gy:  0.24, gz:  1.10, OX:  0.02
1746526526.44395   N:   90, t: 31985674, dt: 20501, ENC_DEG:  3.34, REF:  0.00, VEL_RAW: -1.07, VEL_AVG:  0.01, I: -17.95, D:  0.01, VEL_OUT: -35.87, MS_MPC: 21745.90, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.27, gy:  0.12, gz:  0.73, OX:  0.02
1746526526.448937  N:   94, t: 32066162, dt: 19069, ENC_DEG:  3.41, REF:  0.00, VEL_RAW:  3.46, VEL_AVG:  0.14, I: -19.02, D:  0.09, VEL_OUT: -38.55, MS_MPC: 21761.48, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.09, gy:  0.37, gz:  0.12, OX: -0.00
1746526526.5457792 N:   95, t: 32125087, dt: 58925, ENC_DEG:  3.36, REF:  0.00, VEL_RAW: -0.75, VEL_AVG:  0.44, I: -19.45, D: -0.30, VEL_OUT: -46.22, MS_MPC: 21751.10, ax:  0.01, ay: -0.00, az:  0.99, gx: -0.21, gy:  0.06, gz:  0.37, OX:  0.04
1746526526.551766  N:   96, t: 32145422, dt: 20335, ENC_DEG:  3.36, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.15, I: -19.60, D:  0.28, VEL_OUT: -37.86, MS_MPC: 21751.10, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.40, gy: -0.24, gz:  0.31, OX: -0.01
1746526526.5577433 N:   97, t: 32170514, dt: 25092, ENC_DEG:  3.39, REF:  0.00, VEL_RAW:  0.88, VEL_AVG:  0.48, I: -20.08, D: -0.33, VEL_OUT: -48.27, MS_MPC: 21756.29, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.34, gy: -0.06, gz:  0.24, OX:  0.03
1746526526.5627327 N:   98, t: 32184513, dt: 13999, ENC_DEG:  3.34, REF:  0.00, VEL_RAW: -3.14, VEL_AVG: -0.26, I: -20.34, D:  0.22, VEL_OUT: -41.10, MS_MPC: 21745.90, ax:  0.01, ay: -0.00, az:  0.99, gx: -0.15, gy:  0.00, gz:  0.37, OX: -0.00
1746526526.6020348 N:  100, t: 32227109, dt: 21631, ENC_DEG:  3.39, REF:  0.00, VEL_RAW:  1.02, VEL_AVG:  0.28, I: -20.73, D: -0.18, VEL_OUT: -46.11, MS_MPC: 21756.29, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.09, gy: -0.18, gz:  0.06, OX: -0.05
