1746526288.6451025 N:   58, t: 26545876, dt: 19075, ENC_DEG: 13.93, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.25, I: -7.30, D: -0.18, VEL_OUT: -18.91, MS_MPC: 24114.71, ax:  0.01, ay: -0.01, az:  0.99, gx: -0.49, gy: -1.37, gz: -0.73, OX:  0.01
1746526288.7002506 N:   60, t: 26585988, dt: 17018, ENC_DEG: 13.91, REF:  0.00, VEL_RAW:  1.29, VEL_AVG: -0.11, I: -7.63, D:  0.11, VEL_OUT: -15.28, MS_MPC: 24110.10, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.18, gy: -1.13, gz:  0.24, OX:  0.08
1746526288.7057717 N:   61, t: 26685823, dt: 99835, ENC_DEG: 13.95, REF:  0.00, VEL_RAW:  0.44, VEL_AVG:  0.01, I: -7.64, D:  0.10, VEL_OUT: -14.43, MS_MPC: 24119.33, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.61, gy:  0.27, gz: -0.12, OX:  0.06
1746526288.7124417 N:   64, t: 26746298, dt: 16157, ENC_DEG: 13.95, REF:  0.00, VEL_RAW:  4.08, VEL_AVG: -0.03, I: -7.95, D:  0.18, VEL_OUT: -14.42, MS_MPC: 24119.33, ax:  0.01, ay: -0.01, az:  0.99, gx:  0.55, gy:  0.09, gz: -0.79, OX: -0.05
1746526288.7178242 N:   65, t: 26845574, dt: 99276, ENC_DEG: 13.93, REF:  0.00, VEL_RAW: -0.22, VEL_AVG:  0.19, I: -8.14, D: -0.16, VEL_OUT: -19.74, MS_MPC: 24114.71, ax:  0.01, ay: -0.01, az:  1.00, gx: -1.28, gy: -0.21, gz:  0.06, OX:  0.11
1746526288.7240012 N:   68, t: 26907274, dt: 20591, ENC_DEG: 13.98, REF:  0.00, VEL_RAW:  2.13, VEL_AVG:  0.15, I: -8.60, D: -0.04, VEL_OUT: -19.05, MS_MPC: 24123.95, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.31, gy: -0.82, gz: -0.98, OX: -0.02
1746526288.8189337 N:   69, t: 26926523, dt: 19249, ENC_DEG: 13.95, REF:  0.00, VEL_RAW: -1.14, VEL_AVG:  0.17, I: -8.77, D: -0.03, VEL_OUT: -19.55, MS_MPC: 24119.33, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.46, gz: -0.85, OX:  0.00
1746526288.8247764 N:   70, t: 26946779, dt: 20256, ENC_DEG: 13.91, REF:  0.00, VEL_RAW: -2.17, VEL_AVG: -0.01, I: -8.78, D:  0.17, VEL_OUT: -15.94, MS_MPC: 24110.10, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.37, gy: -0.40, gz: -0.92, OX: -0.00
1746526288.8307266 N:   71, t: 26971274, dt: 24495, ENC_DEG: 13.87, REF:  0.00, VEL_RAW: -1.79, VEL_AVG:  0.00, I: -8.78, D:  0.00, VEL_OUT: -17.55, MS_MPC: 24100.86, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.55, gy: -0.40, gz: -0.73, OX:  0.01
1746526288.8367126 N:   72, t: 26987587, dt: 16313, ENC_DEG: 13.95, REF:  0.00, VEL_RAW:  5.39, VEL_AVG:  0.34, I: -9.12, D: -0.34, VEL_OUT: -25.10, MS_MPC: 24119.33, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.73, gy: -0.09, gz: -0.79, OX:  0.01
1746526288.8427277 N:   74, t: 27025182, dt: 18617, ENC_DEG: 13.95, REF:  0.00, VEL_RAW:  1.18, VEL_AVG:  0.31, I: -9.65, D: -0.10, VEL_OUT: -23.37, MS_MPC: 24119.33, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.31, gy: -0.46, gz: -0.73, OX: -0.04
1746526288.882703  N:   75, t: 27047699, dt: 22517, ENC_DEG: 13.93, REF:  0.00, VEL_RAW: -0.98, VEL_AVG:  0.46, I: -10.10, D: -0.15, VEL_OUT: -26.22, MS_MPC: 24114.71, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.00, gy:  0.03, gz: -0.55, OX:  0.01
1746526288.9402204 N:   76, t: 27066712, dt: 19013, ENC_DEG: 13.93, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.12, I: -10.22, D:  0.34, VEL_OUT: -18.19, MS_MPC: 24114.71, ax:  0.01, ay: -0.00, az:  1.01, gx: -0.06, gy:  0.34, gz: -0.55, OX: -0.02
1746526288.94607   N:   77, t: 27085271, dt: 18559, ENC_DEG: 13.93, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.13, I: -10.35, D: -0.02, VEL_OUT: -22.22, MS_MPC: 24114.71, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.12, gy:  0.21, gz: -0.49, OX:  0.01
1746526288.9520574 N:   78, t: 27108705, dt: 23434, ENC_DEG: 13.93, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.22, I: -10.57, D: -0.08, VEL_OUT: -24.14, MS_MPC: 24114.71, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.12, gy: -0.03, gz: -0.31, OX:  0.04
1746526288.957624  N:   79, t: 27127035, dt: 18330, ENC_DEG: 13.87, REF:  0.00, VEL_RAW: -3.60, VEL_AVG: -0.18, I: -10.74, D:  0.04, VEL_OUT: -22.87, MS_MPC: 24100.86, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.24, gy:  0.27, gz: -0.43, OX:  0.06
1746526288.9646945 N:   80, t: 27145277, dt: 18242, ENC_DEG: 13.91, REF:  0.00, VEL_RAW:  2.41, VEL_AVG: -0.15, I: -10.90, D:  0.02, VEL_OUT: -23.12, MS_MPC: 24110.10, ax:  0.01, ay: -0.00, az:  0.99, gx: -0.06, gy:  0.34, gz: -0.85, OX: -0.02
1746526289.0607378 N:   81, t: 27165731, dt: 20454, ENC_DEG: 13.89, REF:  0.00, VEL_RAW: -1.07, VEL_AVG: -0.15, I: -11.05, D:  0.01, VEL_OUT: -23.53, MS_MPC: 24105.47, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.06, gy: -0.34, gz: -1.16, OX: -0.15
1746526289.0676937 N:   82, t: 27188024, dt: 22293, ENC_DEG: 13.91, REF:  0.00, VEL_RAW:  0.99, VEL_AVG:  0.11, I: -11.16, D:  0.04, VEL_OUT: -23.11, MS_MPC: 24110.10, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.31, gy: -0.21, gz: -1.22, OX: -0.01
1746526289.1213536 N:   83, t: 27205716, dt: 17692, ENC_DEG: 13.89, REF:  0.00, VEL_RAW: -1.24, VEL_AVG:  0.16, I: -11.32, D: -0.05, VEL_OUT: -24.70, MS_MPC: 24105.47, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.49, gy: -0.15, gz: -0.31, OX:  0.03
1746526289.127152  N:   84, t: 27228033, dt: 22317, ENC_DEG: 13.87, REF:  0.00, VEL_RAW: -0.98, VEL_AVG: -0.37, I: -11.69, D: -0.21, VEL_OUT: -29.22, MS_MPC: 24100.86, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.49, gy:  0.15, gz:  0.31, OX:  0.01
1746526289.1341348 N:   86, t: 27271518, dt: 26244, ENC_DEG: 13.95, REF:  0.00, VEL_RAW:  3.35, VEL_AVG: -0.09, I: -12.06, D:  0.18, VEL_OUT: -23.26, MS_MPC: 24119.33, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.24, gy:  0.15, gz:  0.98, OX:  0.07
1746526289.1391194 N:   87, t: 27288724, dt: 17206, ENC_DEG: 13.89, REF:  0.00, VEL_RAW: -3.83, VEL_AVG: -0.33, I: -12.39, D: -0.24, VEL_OUT: -30.49, MS_MPC: 24105.47, ax:  0.00, ay: -0.00, az:  0.99, gx: -0.24, gy: -0.09, gz:  0.67, OX:  0.04
1746526289.1451716 N:   89, t: 27326010, dt: 19210, ENC_DEG: 13.89, REF:  0.00, VEL_RAW:  1.14, VEL_AVG: -0.34, I: -13.17, D:  0.10, VEL_OUT: -28.76, MS_MPC: 24105.47, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.37, gy: -0.03, gz:  0.24, OX:  0.01
1746526289.2384348 N:   90, t: 27348089, dt: 22079, ENC_DEG: 13.93, REF:  0.00, VEL_RAW:  1.99, VEL_AVG: -0.17, I: -13.34, D:  0.17, VEL_OUT: -26.74, MS_MPC: 24114.71, ax:  0.00, ay:  0.00, az:  1.01, gx:  0.43, gy:  0.46, gz: -0.18, OX:  0.04
1746526289.2434657 N:   91, t: 27365362, dt: 17273, ENC_DEG: 13.95, REF:  0.00, VEL_RAW:  1.27, VEL_AVG:  0.23, I: -13.57, D: -0.06, VEL_OUT: -30.09, MS_MPC: 24119.33, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.61, gy:  0.27, gz: -0.37, OX:  0.01
1746526289.2504041 N:   92, t: 27386213, dt: 20851, ENC_DEG: 13.87, REF:  0.00, VEL_RAW: -4.22, VEL_AVG: -0.32, I: -13.89, D: -0.09, VEL_OUT: -31.82, MS_MPC: 24100.86, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.67, gy:  0.21, gz: -0.85, OX: -0.06
1746526289.256386  N:   93, t: 27406444, dt: 20231, ENC_DEG: 13.91, REF:  0.00, VEL_RAW:  2.17, VEL_AVG: -0.05, I: -13.94, D:  0.27, VEL_OUT: -25.65, MS_MPC: 24110.10, ax:  0.01, ay: -0.01, az:  1.01, gx:  0.06, gy: -0.09, gz: -0.92, OX: -0.01
1746526289.2613738 N:   95, t: 27448748, dt: 22056, ENC_DEG: 13.95, REF:  0.00, VEL_RAW:  2.99, VEL_AVG:  0.13, I: -14.29, D:  0.09, VEL_OUT: -29.02, MS_MPC: 24119.33, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.61, gy:  0.09, gz: -0.49, OX:  0.01
1746526289.324988  N:   96, t: 27467780, dt: 19032, ENC_DEG: 13.89, REF:  0.00, VEL_RAW: -3.46, VEL_AVG: -0.07, I: -14.37, D:  0.06, VEL_OUT: -28.90, MS_MPC: 24105.47, ax:  0.01, ay: -0.01, az:  0.99, gx: -0.55, gy: -0.03, gz: -0.12, OX: -0.03
1746526289.3259852 N:   97, t: 27486723, dt: 18943, ENC_DEG: 13.91, REF:  0.00, VEL_RAW:  1.16, VEL_AVG:  0.02, I: -14.39, D:  0.05, VEL_OUT: -28.47, MS_MPC: 24110.10, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.61, gy: -0.03, gz:  0.37, OX:  0.11
1746526289.362101  N:   98, t: 27506483, dt: 19760, ENC_DEG: 13.95, REF:  0.00, VEL_RAW:  2.22, VEL_AVG: -0.07, I: -14.46, D: -0.05, VEL_OUT: -30.13, MS_MPC: 24119.33, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.61, gy:  0.21, gz:  0.61, OX:  0.02
1746526289.3680882 N:   99, t: 27527975, dt: 21492, ENC_DEG: 13.89, REF:  0.00, VEL_RAW: -3.07, VEL_AVG: -0.01, I: -14.47, D:  0.06, VEL_OUT: -28.38, MS_MPC: 24105.47, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.55, gy:  0.27, gz:  0.00, OX:  0.02
