1746526026.5643141 N:   66, t: 90364558, dt: 18683, ENC_DEG: 27.77, REF:  0.00, VEL_RAW: -3.53, VEL_AVG: -0.16, I: -9.93, D:  0.08, VEL_OUT: -20.71, MS_MPC: 26738.78, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.49, gy: -0.79, gz:  0.09, OX:  0.04
1746526026.5713155 N:   67, t: 90380669, dt: 16111, ENC_DEG: 27.77, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.11, I: -10.04, D:  0.05, VEL_OUT: -20.63, MS_MPC: 26738.78, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.31, gy: -0.85, gz:  0.34, OX:  0.07
1746526026.5783017 N:   68, t: 90400904, dt: 20235, ENC_DEG: 27.77, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.25, I: -10.29, D: -0.14, VEL_OUT: -24.54, MS_MPC: 26738.78, ax:  0.01, ay: -0.00, az:  1.01, gx: -0.37, gy: -0.43, gz:  0.09, OX: -0.02
1746526026.6214411 N:   69, t: 90424695, dt: 23791, ENC_DEG: 27.82, REF:  0.00, VEL_RAW:  1.85, VEL_AVG: -0.01, I: -10.30, D:  0.24, VEL_OUT: -18.30, MS_MPC: 26746.12, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.18, gy: -0.31, gz: -0.03, OX: -0.09
1746526026.627422  N:   70, t: 90443157, dt: 18462, ENC_DEG: 27.82, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.01, I: -10.31, D:  0.00, VEL_OUT: -20.73, MS_MPC: 26746.12, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.18, gy: -0.18, gz:  0.15, OX: -0.02
1746526026.6322594 N:   71, t: 90460161, dt: 17004, ENC_DEG: 27.82, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.17, I: -10.48, D: -0.16, VEL_OUT: -24.25, MS_MPC: 26746.12, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.00, gy: -0.43, gz:  0.34, OX: -0.01
1746526026.6796117 N:   72, t: 90482479, dt: 22318, ENC_DEG: 27.80, REF:  0.00, VEL_RAW: -0.98, VEL_AVG:  0.09, I: -10.57, D:  0.08, VEL_OUT: -21.20, MS_MPC: 26742.45, ax:  0.01, ay: -0.01, az:  0.99, gx: -0.18, gy: -0.31, gz:  0.40, OX:  0.01
1746526026.7384098 N:   73, t: 90500778, dt: 18299, ENC_DEG: 27.80, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.09, I: -10.66, D:  0.00, VEL_OUT: -22.19, MS_MPC: 26742.45, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.18, gy: -0.18, gz:  0.27, OX: -0.01
1746526026.7443945 N:   74, t: 90519880, dt: 19102, ENC_DEG: 27.77, REF:  0.00, VEL_RAW: -1.15, VEL_AVG: -0.22, I: -10.88, D: -0.13, VEL_OUT: -25.33, MS_MPC: 26738.78, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.37, gy: -0.49, gz:  0.89, OX:  0.00
1746526026.7505386 N:   75, t: 90543543, dt: 23663, ENC_DEG: 27.77, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.05, I: -10.93, D:  0.17, VEL_OUT: -20.58, MS_MPC: 26738.78, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.12, gy:  0.18, gz:  1.62, OX:  0.00
