1746527978.8075614 N:   60, t: 25716331, dt: 21333, ENC_DEG:  4.42, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.24, I: -9.73, D: -0.10, VEL_OUT: -22.90, MS_MPC: 21999.09, ax:  0.01, ay: -0.01, az:  1.01, gx:  0.43, gy: -1.59, gz: -2.11, OX: -0.01
1746527978.8630362 N:   61, t: 25758013, dt: 41682, ENC_DEG:  4.40, REF:  0.00, VEL_RAW: -0.53, VEL_AVG: -0.07, I: -9.80, D:  0.18, VEL_OUT: -18.52, MS_MPC: 21993.95, ax:  0.02, ay: -0.02, az:  1.02, gx: -0.18, gy: -1.10, gz: -1.86, OX: -0.02
1746527978.8684762 N:   62, t: 25776321, dt: 18308, ENC_DEG:  4.42, REF:  0.00, VEL_RAW:  1.20, VEL_AVG:  0.21, I: -10.01, D: -0.14, VEL_OUT: -23.59, MS_MPC: 21999.09, ax:  0.02, ay: -0.02, az:  1.02, gx: -0.43, gy: -0.12, gz: -0.76, OX:  0.02
1746527978.874454  N:   63, t: 25800050, dt: 23729, ENC_DEG:  4.42, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.13, I: -10.14, D:  0.08, VEL_OUT: -20.76, MS_MPC: 21999.09, ax:  0.02, ay: -0.01, az:  1.01, gx: -0.18, gy:  0.12, gz: -0.03, OX:  0.02
1746527978.8804736 N:   66, t: 25856034, dt: 20499, ENC_DEG:  4.42, REF:  0.00, VEL_RAW:  1.07, VEL_AVG:  0.10, I: -10.38, D: -0.09, VEL_OUT: -22.69, MS_MPC: 21999.09, ax:  0.01, ay: -0.01, az:  0.99, gx:  0.06, gy:  0.98, gz:  0.82, OX: -0.02
1746527978.8864582 N:   69, t: 25917500, dt: 21660, ENC_DEG:  4.42, REF:  0.00, VEL_RAW:  2.03, VEL_AVG:  0.16, I: -10.96, D:  0.03, VEL_OUT: -23.18, MS_MPC: 21999.09, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.18, gy:  1.53, gz:  1.13, OX:  0.01
1746527978.927472  N:   70, t: 25936615, dt: 19115, ENC_DEG:  4.40, REF:  0.00, VEL_RAW: -1.15, VEL_AVG: -0.10, I: -11.06, D:  0.06, VEL_OUT: -22.56, MS_MPC: 21993.95, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.18, gy:  1.22, gz:  1.13, OX: -0.01
1746527978.9338062 N:   71, t: 25955116, dt: 18501, ENC_DEG:  4.46, REF:  0.00, VEL_RAW:  3.56, VEL_AVG:  0.30, I: -11.36, D: -0.20, VEL_OUT: -27.71, MS_MPC: 22009.37, ax:  0.01, ay: -0.01, az:  0.99, gx: -0.24, gy:  1.10, gz:  0.89, OX: -0.00
1746527978.9863582 N:   72, t: 25975826, dt: 20710, ENC_DEG:  4.40, REF:  0.00, VEL_RAW: -3.18, VEL_AVG:  0.04, I: -11.40, D:  0.27, VEL_OUT: -20.50, MS_MPC: 21993.95, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.12, gy:  0.43, gz:  0.40, OX:  0.00
1746527978.9910488 N:   73, t: 25996391, dt: 20565, ENC_DEG:  4.44, REF:  0.00, VEL_RAW:  2.14, VEL_AVG:  0.26, I: -11.65, D: -0.22, VEL_OUT: -28.10, MS_MPC: 22004.22, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.49, gy:  0.55, gz:  0.15, OX: -0.00
1746527978.99673   N:   74, t: 26017493, dt: 21102, ENC_DEG:  4.37, REF:  0.00, VEL_RAW: -3.12, VEL_AVG: -0.10, I: -11.76, D:  0.15, VEL_OUT: -22.99, MS_MPC: 21988.80, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.55, gy:  0.06, gz:  0.15, OX:  0.03
1746527979.1044524 N:   75, t: 26035052, dt: 17559, ENC_DEG:  4.44, REF:  0.00, VEL_RAW:  3.75, VEL_AVG:  0.21, I: -11.97, D: -0.11, VEL_OUT: -27.11, MS_MPC: 22004.22, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.24, gz: -0.27, OX:  0.03
1746527979.110542  N:   76, t: 26056140, dt: 21088, ENC_DEG:  4.37, REF:  0.00, VEL_RAW: -3.13, VEL_AVG: -0.16, I: -12.12, D:  0.05, VEL_OUT: -25.27, MS_MPC: 21988.80, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.49, gz: -0.64, OX: -0.02
1746527979.1160862 N:   77, t: 26075469, dt: 19329, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.14, I: -12.26, D:  0.02, VEL_OUT: -25.76, MS_MPC: 21993.95, ax:  0.01, ay: -0.00, az:  1.01, gx: -0.06, gy: -0.24, gz: -0.46, OX:  0.02
1746527979.1222117 N:   78, t: 26099992, dt: 24523, ENC_DEG:  4.42, REF:  0.00, VEL_RAW:  0.90, VEL_AVG:  0.13, I: -12.39, D:  0.01, VEL_OUT: -25.88, MS_MPC: 21999.09, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.12, gy: -0.06, gz: -1.07, OX: -0.00
1746527979.1282284 N:   81, t: 26158450, dt: 22649, ENC_DEG:  4.35, REF:  0.00, VEL_RAW: -3.88, VEL_AVG: -0.22, I: -13.00, D:  0.06, VEL_OUT: -27.62, MS_MPC: 21983.66, ax:  0.01, ay: -0.01, az:  0.99, gx:  0.31, gy: -0.12, gz: -0.76, OX: -0.00
1746527979.1674654 N:   82, t: 26177040, dt: 18590, ENC_DEG:  4.42, REF:  0.00, VEL_RAW:  3.55, VEL_AVG:  0.17, I: -13.17, D:  0.04, VEL_OUT: -27.63, MS_MPC: 21999.09, ax:  0.01, ay: -0.01, az:  0.99, gx:  0.06, gy:  0.12, gz: -1.19, OX:  0.01
1746527979.1737359 N:   83, t: 26196326, dt: 19286, ENC_DEG:  4.44, REF:  0.00, VEL_RAW:  1.14, VEL_AVG: -0.03, I: -13.20, D:  0.14, VEL_OUT: -25.24, MS_MPC: 22004.22, ax:  0.02, ay: -0.01, az:  1.01, gx: -0.18, gy: -0.12, gz: -1.19, OX: -0.14
1746527979.2274687 N:   84, t: 26220904, dt: 24578, ENC_DEG:  4.40, REF:  0.00, VEL_RAW: -1.79, VEL_AVG:  0.09, I: -13.29, D: -0.06, VEL_OUT: -28.04, MS_MPC: 21993.95, ax:  0.02, ay: -0.02, az:  1.01, gx: -0.49, gy: -0.18, gz: -0.46, OX: -0.02
1746527979.2344804 N:   85, t: 26237074, dt: 16170, ENC_DEG:  4.35, REF:  0.00, VEL_RAW: -2.72, VEL_AVG: -0.32, I: -13.61, D: -0.23, VEL_OUT: -32.68, MS_MPC: 21983.66, ax:  0.02, ay: -0.02, az:  1.01, gx: -0.55, gy:  0.06, gz: -0.03, OX:  0.01
1746527979.2874978 N:   86, t: 26255321, dt: 18247, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  2.41, VEL_AVG:  0.14, I: -13.75, D:  0.17, VEL_OUT: -27.21, MS_MPC: 21993.95, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.43, gy:  0.85, gz:  1.19, OX:  0.10
1746527979.2928653 N:   87, t: 26276111, dt: 20790, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.17, I: -13.92, D: -0.02, VEL_OUT: -29.77, MS_MPC: 21993.95, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.31, gy:  0.61, gz:  1.25, OX:  0.08
