1746527868.1782815 N:   67, t: 51713185, dt: 19430, ENC_DEG: 26.52, REF:  0.00, VEL_RAW: -2.26, VEL_AVG: -0.10, I: -15.52, D:  0.27, VEL_OUT: -29.32, MS_MPC: 26526.82, ax:  0.01, ay:  0.01, az:  1.01, gx: -0.06, gy: -0.37, gz: -0.37, OX: -0.09
1746527868.2207522 N:   68, t: 51732605, dt: 19420, ENC_DEG: 26.50, REF:  0.00, VEL_RAW: -1.13, VEL_AVG:  0.03, I: -15.55, D:  0.06, VEL_OUT: -30.80, MS_MPC: 26523.05, ax:  0.01, ay:  0.01, az:  1.01, gx: -0.06, gy:  0.00, gz:  0.12, OX: -0.03
1746527868.3421152 N:   71, t: 51793054, dt: 19367, ENC_DEG: 26.57, REF:  0.00, VEL_RAW:  1.13, VEL_AVG:  0.07, I: -15.95, D:  0.09, VEL_OUT: -31.64, MS_MPC: 26534.35, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.06, gy:  0.43, gz:  0.67, OX: -0.09
1746527868.3480663 N:   72, t: 51812480, dt: 19426, ENC_DEG: 26.48, REF:  0.00, VEL_RAW: -4.52, VEL_AVG: -0.06, I: -16.01, D:  0.01, VEL_OUT: -32.52, MS_MPC: 26519.28, ax:  0.00, ay:  0.02, az:  0.99, gx: -0.06, gy:  0.55, gz:  0.79, OX:  0.11
1746527868.3544652 N:   73, t: 51833101, dt: 20621, ENC_DEG: 26.54, REF:  0.00, VEL_RAW:  3.20, VEL_AVG:  0.11, I: -16.11, D: -0.05, VEL_OUT: -33.79, MS_MPC: 26530.59, ax: -0.00, ay:  0.02, az:  1.00, gx:  0.06, gy:  0.49, gz:  0.31, OX:  0.01
1746527868.3594613 N:   74, t: 51852565, dt: 19464, ENC_DEG: 26.50, REF:  0.00, VEL_RAW: -2.26, VEL_AVG: -0.16, I: -16.27, D: -0.05, VEL_OUT: -34.59, MS_MPC: 26523.05, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.06, gy:  0.18, gz: -0.24, OX: -0.04
1746527868.3654373 N:   78, t: 51937898, dt: 24313, ENC_DEG: 26.54, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.13, I: -16.60, D: -0.09, VEL_OUT: -35.38, MS_MPC: 26530.59, ax: -0.00, ay:  0.02, az:  1.00, gx:  0.37, gy:  0.55, gz:  0.49, OX: -0.02
1746527868.4060843 N:   79, t: 51975824, dt: 37926, ENC_DEG: 26.52, REF:  0.00, VEL_RAW: -0.58, VEL_AVG:  0.01, I: -16.61, D:  0.12, VEL_OUT: -32.16, MS_MPC: 26526.82, ax:  0.01, ay:  0.02, az:  0.99, gx:  0.31, gy:  0.00, gz:  0.12, OX:  0.00
1746527868.411293  N:   80, t: 51994137, dt: 18313, ENC_DEG: 26.54, REF:  0.00, VEL_RAW:  1.20, VEL_AVG:  0.21, I: -16.82, D: -0.19, VEL_OUT: -37.63, MS_MPC: 26530.59, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.18, gy:  0.06, gz:  0.12, OX:  0.00
1746527868.4663036 N:   81, t: 52014798, dt: 20661, ENC_DEG: 26.54, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.21, I: -17.02, D:  0.00, VEL_OUT: -36.10, MS_MPC: 26530.59, ax:  0.00, ay:  0.02, az:  1.00, gx:  0.31, gy:  0.18, gz: -0.12, OX:  0.00
1746527868.4718657 N:   82, t: 52033715, dt: 18917, ENC_DEG: 26.52, REF:  0.00, VEL_RAW: -1.16, VEL_AVG: -0.07, I: -17.09, D:  0.14, VEL_OUT: -33.51, MS_MPC: 26526.82, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.24, gy:  0.24, gz: -0.61, OX: -0.05
1746527868.477621  N:   83, t: 52056025, dt: 22310, ENC_DEG: 26.52, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.16, I: -17.25, D: -0.09, VEL_OUT: -37.09, MS_MPC: 26526.82, ax:  0.01, ay:  0.01, az:  0.99, gx:  0.18, gy: -0.12, gz: -0.18, OX:  0.05
1746527868.4836032 N:   84, t: 52074179, dt: 18154, ENC_DEG: 26.54, REF:  0.00, VEL_RAW:  1.21, VEL_AVG:  0.31, I: -17.57, D: -0.15, VEL_OUT: -39.77, MS_MPC: 26530.59, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.24, gy: -0.18, gz: -0.24, OX: -0.06
1746527868.5252242 N:   85, t: 52094264, dt: 20085, ENC_DEG: 26.54, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.05, I: -17.62, D:  0.27, VEL_OUT: -33.04, MS_MPC: 26530.59, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.06, gy:  0.00, gz: -0.49, OX:  0.02
1746527868.5318322 N:   86, t: 52113596, dt: 19332, ENC_DEG: 26.57, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.33, I: -17.95, D: -0.28, VEL_OUT: -42.02, MS_MPC: 26534.35, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.18, gy:  0.12, gz: -0.31, OX: -0.07
1746527868.6412349 N:   87, t: 52132935, dt: 19339, ENC_DEG: 26.52, REF:  0.00, VEL_RAW: -2.27, VEL_AVG: -0.04, I: -17.99, D:  0.29, VEL_OUT: -33.48, MS_MPC: 26526.82, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.18, gy:  0.12, gz:  0.31, OX:  0.02
1746527868.6472187 N:   88, t: 52153738, dt: 20803, ENC_DEG: 26.54, REF:  0.00, VEL_RAW:  1.06, VEL_AVG:  0.23, I: -18.21, D: -0.19, VEL_OUT: -40.58, MS_MPC: 26530.59, ax:  0.00, ay:  0.02, az:  1.00, gx:  0.24, gy:  0.06, gz:  0.61, OX:  0.11
1746527868.702016  N:   89, t: 52176143, dt: 22405, ENC_DEG: 26.54, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.05, I: -18.26, D:  0.18, VEL_OUT: -35.23, MS_MPC: 26530.59, ax: -0.00, ay:  0.02, az:  1.00, gx:  0.18, gy:  0.43, gz:  0.24, OX:  0.02
1746527868.76095   N:   90, t: 52193536, dt: 17393, ENC_DEG: 26.59, REF:  0.00, VEL_RAW:  2.53, VEL_AVG:  0.26, I: -18.52, D: -0.21, VEL_OUT: -41.75, MS_MPC: 26538.11, ax:  0.00, ay:  0.02, az:  1.00, gx:  0.31, gy:  0.18, gz: -0.24, OX: -0.02
1746527868.7659538 N:   92, t: 52234112, dt: 20072, ENC_DEG: 26.48, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.24, I: -18.90, D: -0.10, VEL_OUT: -41.19, MS_MPC: 26519.28, ax:  0.01, ay:  0.01, az:  0.99, gx:  0.55, gy:  0.49, gz: -0.18, OX:  0.09
1746527868.7719202 N:   93, t: 52276882, dt: 42770, ENC_DEG: 26.57, REF:  0.00, VEL_RAW:  2.06, VEL_AVG: -0.07, I: -18.97, D:  0.17, VEL_OUT: -36.89, MS_MPC: 26534.35, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.49, gy:  0.31, gz:  0.00, OX: -0.00
1746527868.7777822 N:   95, t: 52312510, dt: 18418, ENC_DEG: 26.50, REF:  0.00, VEL_RAW: -2.39, VEL_AVG: -0.28, I: -19.32, D: -0.20, VEL_OUT: -43.38, MS_MPC: 26523.05, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.31, gy:  0.24, gz: -0.12, OX:  0.05
1746527868.826742  N:   97, t: 52380215, dt: 43638, ENC_DEG: 26.50, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.38, I: -19.70, D: -0.10, VEL_OUT: -44.17, MS_MPC: 26523.05, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.18, gy:  0.06, gz: -0.06, OX:  0.02
1746527868.832032  N:   98, t: 52383050, dt: 2835, ENC_DEG: 26.48, REF:  0.00, VEL_RAW: -7.75, VEL_AVG: -1.12, I: -19.70, D: -0.10, VEL_OUT: -44.17, MS_MPC: 26523.05, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.18, gy:  0.06, gz: -0.06, OX:  0.02
