1746011060.8563533 N:   81, t: 26625474, dt: 19334, ENC_DEG: 73.63, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.12, I: -15.85, D: -0.05, VEL_OUT: -33.37, MS_MPC: 28122.37, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.21, gy: -0.79, gz: -1.34, OX: -0.08
1746011060.9650948 N:   82, t: 26647081, dt: 21607, ENC_DEG: 73.70, REF:  0.00, VEL_RAW:  3.05, VEL_AVG:  0.45, I: -16.30, D: -0.33, VEL_OUT: -40.43, MS_MPC: 28108.09, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.15, gy: -0.43, gz: -0.85, OX: -0.03
1746011060.972064  N:   86, t: 26727200, dt: 22240, ENC_DEG: 73.70, REF:  0.00, VEL_RAW:  0.99, VEL_AVG:  0.23, I: -17.16, D:  0.16, VEL_OUT: -34.99, MS_MPC: 28108.09, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.21, gy: -0.24, gz: -0.00, OX:  0.00
1746011060.97801   N:   87, t: 26788297, dt: 61097, ENC_DEG: 73.65, REF:  0.00, VEL_RAW: -0.72, VEL_AVG:  0.38, I: -17.54, D: -0.16, VEL_OUT: -40.48, MS_MPC: 28117.62, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.09, gy:  0.24, gz: -0.24, OX: -0.04
1746011060.9849904 N:   88, t: 26806685, dt: 18388, ENC_DEG: 73.68, REF:  0.00, VEL_RAW:  1.19, VEL_AVG:  0.12, I: -17.67, D:  0.26, VEL_OUT: -33.98, MS_MPC: 28112.86, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.03, gy: -0.06, gz:  0.43, OX:  0.01
1746011060.990977  N:   92, t: 26886577, dt: 21236, ENC_DEG: 73.68, REF:  0.00, VEL_RAW: -1.03, VEL_AVG:  0.50, I: -19.28, D: -0.09, VEL_OUT: -44.50, MS_MPC: 28112.86, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.21, gy: -0.43, gz:  0.06, OX:  0.00
1746011061.026603  N:   93, t: 26906630, dt: 20053, ENC_DEG: 73.63, REF:  0.00, VEL_RAW: -2.19, VEL_AVG:  0.22, I: -19.51, D:  0.28, VEL_OUT: -38.47, MS_MPC: 28122.37, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.15, gy: -0.73, gz: -0.31, OX: -0.01
1746011061.032577  N:   94, t: 26929136, dt: 22506, ENC_DEG: 73.59, REF:  0.00, VEL_RAW: -1.95, VEL_AVG: -0.19, I: -19.70, D:  0.03, VEL_OUT: -41.07, MS_MPC: 28131.83, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.34, gy: -0.37, gz: -0.00, OX:  0.00
1746011061.1460102 N:   95, t: 26945986, dt: 16850, ENC_DEG: 73.68, REF:  0.00, VEL_RAW:  5.22, VEL_AVG:  0.51, I: -20.21, D: -0.32, VEL_OUT: -48.72, MS_MPC: 28112.86, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.27, gy: -0.18, gz:  0.12, OX: -0.01
1746011061.2025099 N:   96, t: 26967432, dt: 21446, ENC_DEG: 73.68, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.51, I: -20.73, D:  0.00, VEL_OUT: -46.57, MS_MPC: 28112.86, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.52, gy:  0.18, gz:  0.43, OX:  0.00
1746011061.209492  N:   97, t: 26986656, dt: 19224, ENC_DEG: 73.61, REF:  0.00, VEL_RAW: -3.43, VEL_AVG:  0.04, I: -20.76, D:  0.47, VEL_OUT: -37.14, MS_MPC: 28127.10, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.21, gy:  0.31, gz:  1.10, OX:  0.05
