1746010295.850532  N:   61, t: 77342966, dt: 23350, ENC_DEG: 82.51, REF:  0.00, VEL_RAW: -2.82, VEL_AVG: -0.31, I: -9.76, D: -0.07, VEL_OUT: -23.29, MS_MPC: 25280.52, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.00, gy:  0.06, gz:  0.00, OX: -0.01
1746010295.8575184 N:   62, t: 77361120, dt: 18154, ENC_DEG: 82.46, REF:  0.00, VEL_RAW: -2.42, VEL_AVG: -0.43, I: -10.19, D: -0.12, VEL_OUT: -25.95, MS_MPC: 25299.95, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.18, gz:  0.12, OX: -0.01
1746010295.8985374 N:   63, t: 77383892, dt: 22772, ENC_DEG: 82.49, REF:  0.00, VEL_RAW:  0.96, VEL_AVG: -0.03, I: -10.22, D:  0.40, VEL_OUT: -16.76, MS_MPC: 25290.24, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.12, gy: -0.06, gz:  0.24, OX:  0.02
1746010295.9035213 N:   64, t: 77401177, dt: 17285, ENC_DEG: 82.53, REF:  0.00, VEL_RAW:  2.54, VEL_AVG:  0.35, I: -10.57, D: -0.31, VEL_OUT: -27.75, MS_MPC: 25270.79, ax:  0.01, ay:  0.01, az:  0.99, gx:  0.18, gy: -0.06, gz:  0.18, OX:  0.06
1746010295.9105053 N:   65, t: 77421620, dt: 20443, ENC_DEG: 82.51, REF:  0.00, VEL_RAW: -1.07, VEL_AVG: -0.02, I: -10.60, D:  0.32, VEL_OUT: -18.21, MS_MPC: 25280.52, ax:  0.00, ay:  0.00, az:  1.01, gx:  0.31, gy:  0.06, gz: -0.37, OX: -0.07
1746010296.0133321 N:   66, t: 77440148, dt: 18528, ENC_DEG: 82.53, REF:  0.00, VEL_RAW:  1.19, VEL_AVG: -0.01, I: -10.61, D:  0.01, VEL_OUT: -21.27, MS_MPC: 25270.79, ax:  0.01, ay: -0.00, az:  1.01, gx:  0.12, gy:  0.31, gz: -0.49, OX: -0.05
1746010296.018353  N:   67, t: 77462332, dt: 22184, ENC_DEG: 82.53, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.08, I: -10.69, D: -0.06, VEL_OUT: -22.76, MS_MPC: 25270.79, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.12, gy:  0.31, gz: -0.18, OX: -0.02
1746010296.0248606 N:   68, t: 77479605, dt: 17273, ENC_DEG: 82.49, REF:  0.00, VEL_RAW: -2.54, VEL_AVG: -0.14, I: -10.82, D: -0.06, VEL_OUT: -23.59, MS_MPC: 25290.24, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.18, gy:  0.24, gz:  0.37, OX:  0.01
1746010296.0318413 N:   69, t: 77501331, dt: 21726, ENC_DEG: 82.49, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.06, I: -10.88, D:  0.08, VEL_OUT: -21.59, MS_MPC: 25290.24, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.00, gy:  0.61, gz:  0.61, OX:  0.08
1746010296.0378268 N:   71, t: 77540786, dt: 20203, ENC_DEG: 82.46, REF:  0.00, VEL_RAW: -4.35, VEL_AVG: -0.14, I: -11.15, D: -0.02, VEL_OUT: -23.87, MS_MPC: 25299.95, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.49, gy:  0.98, gz:  0.06, OX: -0.01
1746010296.0791452 N:   72, t: 77559490, dt: 18704, ENC_DEG: 82.46, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.42, I: -11.57, D: -0.28, VEL_OUT: -30.22, MS_MPC: 25299.95, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.43, gy:  0.67, gz: -0.24, OX: -0.03
