1746010455.6243346 N:   56, t: 30401570, dt: 19749, ENC_DEG: 82.68, REF:  0.00, VEL_RAW: -1.11, VEL_AVG: -0.07, I: -8.10, D: -0.05, VEL_OUT: -17.36, MS_MPC: 25202.22, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.12, gy: -0.15, gz: -0.24, OX: -0.02
1746010455.6305587 N:   57, t: 30421892, dt: 20322, ENC_DEG: 82.71, REF:  0.00, VEL_RAW:  1.08, VEL_AVG:  0.02, I: -8.12, D:  0.05, VEL_OUT: -15.96, MS_MPC: 25192.36, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.03, gz:  0.12, OX:  0.01
1746010455.674147  N:   58, t: 30442287, dt: 20395, ENC_DEG: 82.75, REF:  0.00, VEL_RAW:  2.15, VEL_AVG:  0.49, I: -8.61, D: -0.47, VEL_OUT: -26.73, MS_MPC: 25172.59, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.12, gy:  0.09, gz:  0.31, OX:  0.01
1746010455.6803908 N:   62, t: 30521288, dt: 20210, ENC_DEG: 82.77, REF:  0.00, VEL_RAW:  3.26, VEL_AVG:  0.12, I: -9.38, D: -0.03, VEL_OUT: -20.26, MS_MPC: 25162.69, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.21, gz: -0.31, OX: -0.02
1746010455.737948  N:   63, t: 30565763, dt: 44475, ENC_DEG: 82.75, REF:  0.00, VEL_RAW: -0.49, VEL_AVG:  0.34, I: -9.71, D: -0.22, VEL_OUT: -24.96, MS_MPC: 25172.59, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.31, gy:  0.40, gz: -0.24, OX: -0.00
1746010455.743938  N:   64, t: 30580932, dt: 15169, ENC_DEG: 82.71, REF:  0.00, VEL_RAW: -2.90, VEL_AVG:  0.02, I: -9.73, D:  0.32, VEL_OUT: -16.45, MS_MPC: 25192.36, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.00, gy:  0.46, gz: -0.43, OX: -0.04
1746010455.750874  N:   65, t: 30600402, dt: 19470, ENC_DEG: 82.75, REF:  0.00, VEL_RAW:  2.26, VEL_AVG: -0.02, I: -9.75, D: -0.00, VEL_OUT: -19.70, MS_MPC: 25172.59, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.18, gy:  0.70, gz:  0.00, OX:  0.04
1746010455.755862  N:   66, t: 30624756, dt: 24354, ENC_DEG: 82.68, REF:  0.00, VEL_RAW: -2.71, VEL_AVG: -0.24, I: -10.00, D: -0.23, VEL_OUT: -24.69, MS_MPC: 25202.22, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.24, gy:  0.34, gz: -0.12, OX:  0.01
1746010455.7618442 N:   68, t: 30667220, dt: 25399, ENC_DEG: 82.82, REF:  0.00, VEL_RAW:  4.33, VEL_AVG:  0.50, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
1746010455.8580692 N:   70, t: 30674719, dt: 2881, ENC_DEG: 82.68, REF:  0.00, VEL_RAW: -15.25, VEL_AVG: -2.62, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
1746010455.8640544 N:   71, t: 30680987, dt: 6268, ENC_DEG: 82.66, REF:  0.00, VEL_RAW: -3.51, VEL_AVG: -2.84, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
1746010455.9179597 N:   72, t: 30683927, dt: 2940, ENC_DEG: 82.57, REF:  0.00, VEL_RAW: -29.89, VEL_AVG: -5.22, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
1746010455.9229102 N:   73, t: 30691673, dt: 7746, ENC_DEG: 82.53, REF:  0.00, VEL_RAW: -5.67, VEL_AVG: -5.69, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
1746010455.928965  N:   79, t: 30716235, dt: 2700, ENC_DEG: 82.16, REF:  0.00, VEL_RAW: -16.27, VEL_AVG: -12.95, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
1746010455.9349544 N:   80, t: 30787396, dt: 71161, ENC_DEG: 81.06, REF:  0.00, VEL_RAW: -15.44, VEL_AVG: -14.59, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
1746010455.9411337 N:   83, t: 30797288, dt: 2728, ENC_DEG: 80.79, REF:  0.00, VEL_RAW: -16.10, VEL_AVG: -17.87, I: -10.55, D: -0.45, VEL_OUT: -30.67, MS_MPC: 25142.83, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.40, gz: -0.12, OX: -0.01
