1746010661.9132764 N:   78, t: 63865493, dt: 18188, ENC_DEG: 59.02, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.24, I: -14.27, D:  0.00, VEL_OUT: -30.92, MS_MPC: 29610.50, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.37, gy: -0.37, gz:  0.31, OX: -0.01
1746010661.9192612 N:   79, t: 63884948, dt: 19455, ENC_DEG: 59.11, REF:  0.00, VEL_RAW:  4.52, VEL_AVG:  0.24, I: -14.51, D: -0.01, VEL_OUT: -31.54, MS_MPC: 29609.36, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.37, gy: -0.18, gz:  0.79, OX:  0.01
1746010661.9252431 N:   80, t: 63909008, dt: 24060, ENC_DEG: 59.11, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.33, I: -14.84, D: -0.08, VEL_OUT: -33.83, MS_MPC: 29609.36, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.43, gy:  0.00, gz:  0.67, OX:  0.03
1746010661.9616654 N:   81, t: 63928254, dt: 19246, ENC_DEG: 59.06, REF:  0.00, VEL_RAW: -2.28, VEL_AVG:  0.03, I: -14.87, D:  0.30, VEL_OUT: -27.08, MS_MPC: 29609.94, ax: -0.01, ay:  0.01, az:  1.00, gx: -0.18, gy:  0.00, gz:  0.61, OX:  0.01
1746010662.080797  N:   82, t: 63944662, dt: 16408, ENC_DEG: 59.02, REF:  0.00, VEL_RAW: -2.68, VEL_AVG: -0.45, I: -15.33, D: -0.42, VEL_OUT: -39.39, MS_MPC: 29610.50, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.12, gy:  0.24, gz:  0.43, OX:  0.01
1746010662.1411572 N:   83, t: 63967507, dt: 22845, ENC_DEG: 59.09, REF:  0.00, VEL_RAW:  2.88, VEL_AVG: -0.12, I: -15.44, D:  0.33, VEL_OUT: -28.72, MS_MPC: 29609.66, ax: -0.01, ay:  0.01, az:  0.99, gx:  0.06, gy: -0.12, gz: -0.12, OX:  0.00
1746010662.147142  N:   84, t: 63985849, dt: 18342, ENC_DEG: 59.11, REF:  0.00, VEL_RAW:  1.20, VEL_AVG:  0.32, I: -15.76, D: -0.20, VEL_OUT: -36.75, MS_MPC: 29609.36, ax: -0.00, ay:  0.01, az:  0.99, gx:  0.12, gy: -0.24, gz: -0.24, OX: -0.02
1746010662.153127  N:   85, t: 64005158, dt: 19309, ENC_DEG: 59.06, REF:  0.00, VEL_RAW: -2.28, VEL_AVG:  0.02, I: -15.79, D:  0.30, VEL_OUT: -28.85, MS_MPC: 29609.94, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.06, gy: -0.73, gz: -0.92, OX: -0.03
1746010662.1591094 N:   89, t: 64084535, dt: 14221, ENC_DEG: 59.13, REF:  0.00, VEL_RAW:  1.55, VEL_AVG:  0.41, I: -16.49, D: -0.29, VEL_OUT: -40.00, MS_MPC: 29609.06, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.43, gy: -0.49, gz: -0.92, OX: -0.03
1746010662.1650984 N:   92, t: 64144448, dt: 18188, ENC_DEG: 59.06, REF:  0.00, VEL_RAW: -1.21, VEL_AVG: -0.24, I: -17.36, D: -0.10, VEL_OUT: -38.09, MS_MPC: 29609.94, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.37, gy: -0.12, gz: -0.37, OX:  0.01
