1746003088.4699707 N:   41, t: 30234806, dt: 19452, ENC_DEG: 15.51, REF:  0.00, VEL_RAW:  1.13, VEL_AVG:  0.06, I: -6.15, D:  0.15, VEL_OUT: -11.49, MS_MPC: 24443.73, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.21, gy: -0.31, gz:  0.00, OX: -0.00
1746003088.4759557 N:   42, t: 30257821, dt: 23015, ENC_DEG: 15.51, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.06, I: -6.22, D:  0.00, VEL_OUT: -13.07, MS_MPC: 24443.73, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.27, gy: -0.37, gz: -0.18, OX:  0.01
1746003088.4809856 N:   43, t: 30274911, dt: 17090, ENC_DEG: 15.54, REF:  0.00, VEL_RAW:  1.29, VEL_AVG:  0.27, I: -6.48, D: -0.20, VEL_OUT: -17.62, MS_MPC: 24448.24, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.34, gy: -0.37, gz: -0.24, OX: -0.01
1746003088.486927  N:   45, t: 30313617, dt: 19644, ENC_DEG: 15.51, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.17, I: -6.82, D:  0.00, VEL_OUT: -15.33, MS_MPC: 24443.73, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.64, gy: -0.37, gz: -0.18, OX: -0.01
1746003088.525673  N:   46, t: 30335028, dt: 21411, ENC_DEG: 15.54, REF:  0.00, VEL_RAW:  1.03, VEL_AVG:  0.25, I: -7.07, D: -0.09, VEL_OUT: -17.55, MS_MPC: 24448.24, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.76, gy: -0.37, gz:  0.12, OX:  0.01
1746003088.5321217 N:   47, t: 30354430, dt: 19402, ENC_DEG: 15.56, REF:  0.00, VEL_RAW:  1.13, VEL_AVG:  0.26, I: -7.34, D: -0.01, VEL_OUT: -17.37, MS_MPC: 24452.77, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.64, gy: -0.18, gz:  0.24, OX: -0.01
1746003088.5875142 N:   48, t: 30375389, dt: 20959, ENC_DEG: 15.51, REF:  0.00, VEL_RAW: -2.10, VEL_AVG:  0.09, I: -7.42, D:  0.17, VEL_OUT: -13.97, MS_MPC: 24443.73, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.40, gy: -0.06, gz:  0.67, OX:  0.03
1746003088.5934908 N:   49, t: 30393768, dt: 18379, ENC_DEG: 15.49, REF:  0.00, VEL_RAW: -1.20, VEL_AVG:  0.07, I: -7.49, D:  0.02, VEL_OUT: -15.49, MS_MPC: 24439.20, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.34, gy: -0.18, gz:  0.67, OX:  0.01
1746003088.598361  N:   50, t: 30418920, dt: 25152, ENC_DEG: 15.54, REF:  0.00, VEL_RAW:  1.75, VEL_AVG:  0.00, I: -7.49, D:  0.07, VEL_OUT: -14.33, MS_MPC: 24448.24, ax:  0.01, ay:  0.01, az:  0.99, gx:  0.15, gy: -0.12, gz:  0.73, OX:  0.03
1746003088.6053503 N:   51, t: 30433424, dt: 14504, ENC_DEG: 15.49, REF:  0.00, VEL_RAW: -3.03, VEL_AVG: -0.53, I: -8.03, D: -0.53, VEL_OUT: -26.70, MS_MPC: 24439.20, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.03, gy: -0.43, gz:  0.61, OX: -0.01
1746003088.6454003 N:   52, t: 30458929, dt: 25505, ENC_DEG: 15.47, REF:  0.00, VEL_RAW: -0.86, VEL_AVG: -0.17, I: -8.19, D:  0.37, VEL_OUT: -14.42, MS_MPC: 24434.68, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.03, gy: -0.43, gz:  0.55, OX: -0.01
1746003088.6513822 N:   53, t: 30477820, dt: 18891, ENC_DEG: 15.49, REF:  0.00, VEL_RAW:  1.16, VEL_AVG: -0.17, I: -8.36, D:  0.00, VEL_OUT: -18.34, MS_MPC: 24439.20, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.09, gy: -0.18, gz:  0.31, OX: -0.07
