1745417321.2602582 N:   53, t: 44044615, dt: 20246, ENC_DEG: 29.27, REF:  0.00, VEL_RAW:  2.17, VEL_AVG:  0.00, I: -8.69, D:  0.00, VEL_OUT: -17.40, MS_MPC: 26984.29, ax:  0.01, ay:  0.01, az:  0.99, gx:  0.18, gy:  0.37, gz:  0.61, OX: -0.01
1745417321.2672431 N:   54, t: 44064924, dt: 20309, ENC_DEG: 29.29, REF:  0.00, VEL_RAW:  1.08, VEL_AVG:  0.00, I: -8.70, D:  0.00, VEL_OUT: -17.41, MS_MPC: 26987.84, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.37, gy: -0.18, gz:  0.31, OX: -0.01
1745417321.304216  N:   55, t: 44086737, dt: 21813, ENC_DEG: 29.27, REF:  0.00, VEL_RAW: -1.01, VEL_AVG:  0.10, I: -8.80, D: -0.10, VEL_OUT: -19.56, MS_MPC: 26984.29, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.31, gy:  0.00, gz:  0.43, OX:  0.01
1745417321.3105826 N:   56, t: 44105049, dt: 18312, ENC_DEG: 29.25, REF:  0.00, VEL_RAW: -1.20, VEL_AVG: -0.09, I: -8.89, D:  0.01, VEL_OUT: -18.68, MS_MPC: 26980.74, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.37, gy:  0.00, gz:  0.43, OX: -0.00
1745417321.364261  N:   57, t: 44124193, dt: 19144, ENC_DEG: 29.22, REF:  0.00, VEL_RAW: -1.15, VEL_AVG: -0.45, I: -9.34, D: -0.35, VEL_OUT: -26.69, MS_MPC: 26977.19, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.24, gy: -0.06, gz:  0.12, OX: -0.03
1745417321.4829657 N:   58, t: 44146035, dt: 21842, ENC_DEG: 29.27, REF:  0.00, VEL_RAW:  2.01, VEL_AVG:  0.10, I: -9.44, D:  0.35, VEL_OUT: -16.44, MS_MPC: 26984.29, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.00, gz: -0.06, OX: -0.01
1745417321.4879973 N:   59, t: 44169613, dt: 23578, ENC_DEG: 29.29, REF:  0.00, VEL_RAW:  0.93, VEL_AVG:  0.26, I: -9.70, D: -0.15, VEL_OUT: -23.52, MS_MPC: 26987.84, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.24, gy: -0.18, gz: -0.18, OX: -0.00
1745417321.494934  N:   60, t: 44184103, dt: 14490, ENC_DEG: 29.25, REF:  0.00, VEL_RAW: -3.03, VEL_AVG: -0.33, I: -10.02, D: -0.07, VEL_OUT: -23.99, MS_MPC: 26980.74, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.24, gy:  0.00, gz: -0.24, OX: -0.02
1745417321.4999216 N:   61, t: 44204586, dt: 20483, ENC_DEG: 29.25, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.03, I: -10.05, D:  0.30, VEL_OUT: -17.38, MS_MPC: 26980.74, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.49, gy: -0.12, gz: -0.24, OX:  0.00
1745417321.505907  N:   66, t: 44307433, dt: 21641, ENC_DEG: 29.20, REF:  0.00, VEL_RAW: -1.02, VEL_AVG: -0.44, I: -11.00, D: -0.17, VEL_OUT: -28.16, MS_MPC: 26973.63, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.31, gz:  0.00, OX: -0.01
