1745417419.9554355 N:   51, t: 33210790, dt: 17215, ENC_DEG: 31.86, REF:  0.00, VEL_RAW: -1.28, VEL_AVG:  0.19, I: -10.41, D: -0.10, VEL_OUT: -23.65, MS_MPC: 27390.57, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.37, gy:  0.06, gz:  0.09, OX: -0.00
1745417419.962416  N:   52, t: 33233239, dt: 22449, ENC_DEG: 31.80, REF:  0.00, VEL_RAW: -2.94, VEL_AVG: -0.25, I: -10.66, D: -0.06, VEL_OUT: -24.42, MS_MPC: 27380.56, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.06, gz: -0.03, OX:  0.01
1745417419.967404  N:   54, t: 33273972, dt: 23414, ENC_DEG: 31.84, REF:  0.00, VEL_RAW: -0.94, VEL_AVG: -0.10, I: -10.91, D:  0.06, VEL_OUT: -22.19, MS_MPC: 27387.23, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.00, gy: -0.18, gz: -0.15, OX:  0.01
1745417419.9734175 N:   55, t: 33293159, dt: 19187, ENC_DEG: 31.86, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.21, I: -11.12, D: -0.11, VEL_OUT: -25.41, MS_MPC: 27390.57, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.00, gy: -0.06, gz: -0.09, OX:  0.01
1745417420.0644784 N:   56, t: 33311530, dt: 18371, ENC_DEG: 31.82, REF:  0.00, VEL_RAW: -2.39, VEL_AVG:  0.01, I: -11.13, D:  0.20, VEL_OUT: -20.33, MS_MPC: 27383.89, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.12, gy: -0.18, gz: -0.27, OX:  0.01
1745417420.0708106 N:   57, t: 33337118, dt: 25588, ENC_DEG: 31.84, REF:  0.00, VEL_RAW:  0.86, VEL_AVG: -0.13, I: -11.26, D: -0.13, VEL_OUT: -25.13, MS_MPC: 27387.23, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.18, gy: -0.31, gz: -0.09, OX:  0.00
1745417420.0772684 N:   58, t: 33352225, dt: 15107, ENC_DEG: 31.86, REF:  0.00, VEL_RAW:  1.45, VEL_AVG:  0.14, I: -11.40, D: -0.01, VEL_OUT: -24.29, MS_MPC: 27390.57, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.24, gy: -0.06, gz: -0.15, OX: -0.01
1745417420.0832949 N:   59, t: 33371448, dt: 19223, ENC_DEG: 31.84, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.07, I: -11.47, D:  0.07, VEL_OUT: -22.90, MS_MPC: 27387.23, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.31, gy: -0.12, gz: -0.40, OX: -0.05
1745417420.0892339 N:   60, t: 33390828, dt: 19380, ENC_DEG: 31.84, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.00, I: -11.47, D:  0.06, VEL_OUT: -22.34, MS_MPC: 27387.23, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.24, gy: -0.31, gz: -0.27, OX:  0.03
1745417420.0942173 N:   61, t: 33412813, dt: 21985, ENC_DEG: 31.84, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.12, I: -11.59, D: -0.11, VEL_OUT: -25.52, MS_MPC: 27387.23, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.12, gy: -0.06, gz: -0.15, OX: -0.00
1745417420.1858745 N:   62, t: 33434933, dt: 22120, ENC_DEG: 31.86, REF:  0.00, VEL_RAW:  0.99, VEL_AVG: -0.04, I: -11.63, D:  0.08, VEL_OUT: -22.79, MS_MPC: 27390.57, ax:  0.01, ay: -0.00, az:  1.01, gx:  0.06, gy:  0.24, gz: -0.09, OX: -0.01
1745417420.1917696 N:   63, t: 33452318, dt: 17385, ENC_DEG: 31.86, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.07, I: -11.70, D: -0.03, VEL_OUT: -24.45, MS_MPC: 27390.57, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.24, gy:  0.31, gz:  0.15, OX:  0.03
1745417420.197776  N:   64, t: 33470670, dt: 18352, ENC_DEG: 31.93, REF:  0.00, VEL_RAW:  3.59, VEL_AVG:  0.61, I: -12.31, D: -0.54, VEL_OUT: -36.21, MS_MPC: 27400.56, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.49, gy:  0.31, gz:  0.46, OX:  0.05
1745417420.203761  N:   65, t: 33494959, dt: 24289, ENC_DEG: 31.86, REF:  0.00, VEL_RAW: -2.71, VEL_AVG:  0.07, I: -12.39, D:  0.54, VEL_OUT: -20.05, MS_MPC: 27390.57, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.12, gy:  0.18, gz:  0.21, OX:  0.01
1745417420.209778  N:   66, t: 33513182, dt: 18223, ENC_DEG: 31.86, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.15, I: -12.53, D: -0.08, VEL_OUT: -27.35, MS_MPC: 27390.57, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.18, gy:  0.18, gz:  0.21, OX: -0.02
1745417420.2458131 N:   67, t: 33531545, dt: 18363, ENC_DEG: 31.86, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.05, I: -12.59, D:  0.10, VEL_OUT: -24.76, MS_MPC: 27390.57, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.24, gy:  0.24, gz:  0.27, OX:  0.02
1745417420.2540603 N:   68, t: 33552198, dt: 20653, ENC_DEG: 31.88, REF:  0.00, VEL_RAW:  1.06, VEL_AVG:  0.34, I: -12.93, D: -0.29, VEL_OUT: -32.16, MS_MPC: 27393.90, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.31, gy:  0.31, gz:  0.34, OX:  0.06
1745417420.2600458 N:   69, t: 33571526, dt: 19328, ENC_DEG: 31.86, REF:  0.00, VEL_RAW: -1.14, VEL_AVG:  0.18, I: -13.11, D:  0.17, VEL_OUT: -26.30, MS_MPC: 27390.57, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.37, gy:  0.06, gz:  0.52, OX: -0.01
1745417420.3064299 N:   70, t: 33595380, dt: 23854, ENC_DEG: 31.86, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.05, I: -13.16, D:  0.12, VEL_OUT: -25.65, MS_MPC: 27390.57, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.43, gy: -0.06, gz:  0.21, OX: -0.03
